,날짜,기사제목,본문내용
0, 2021.04.04 17:07,"[시그널] 상장 반년 만에 음반 사업 분할하는 빅히트, 배터리 빠진 L...","
레이블 사업 물적분할 해 빅히트 뮤직 신설키로자회사 하이브아이피·하이브쓰리식스티는 흡수합병공격적  행보···외부 투자 유치 예상되나 주주설득 관건서울경제 편집자註 이 기사는 2021년 4월 4일 1103 프리미엄 컨버전스 미디어  시그널 에 표출된 기사입니다하이브옛 빅히트가 유가증권시장에 입성한 지 6개월만에 회사내 매출 비중이 가장 높은 레이블사업의 물적분할을 결정한 가운데 투자자들의 공감을 받을 수 있을 지 주목된다 지난해 핵심 사업부문인 배터리 사업부의 물적 분할을 진행한 화학051910 역시 국민연금을 비롯한 주주들의 반대에 부딪힌 바 있다지난 1일 하이브는 이사회 결의를 통해 하이브로부터 기존 빅히트 엔터테인먼트의 레이블 사업부문을 단순·물적분할해 빅히트뮤직 을 신설하기로 결정했다 빅히트뮤직은 빅히트엔터테인먼트의 음악·음반 제작 및 유통 소속 연예인 매니지먼트를 담당한다빅히트뮤직이 가져가는 음반·레이블 사업부는 하이브의 연간 매출 비중 중 40 이상을 차지하는 핵심 사업부다 해당 사업부의 지난해 말 기준 연간 매출액 약 4400억 원을 보였다 핵심 사업부를 떼어내면 하이브에는 경영 지원 조직과 부동산 임대업의 기능만 남아 자체 매출은 크게 줄어든다 분할 후 존속회사의 지난해 연간 기준 매출액은 140억원에 불과하다하이브는 이에 100 자회사인 하이브아이피’와 하이브쓰리식스티’를 흡수 합병하기로 했다 빅히트의 정체성이라고 해도 과언이 아닌 음반 사업이 빠진 자리를 이들 자회사가 채우는 형태다 빅히트엔터의 공연과 기획상품굿즈을 담당하는 자회사로 각각 연간 매출액이 1000억원  당기순이익 100억 원이 넘지만 음반·레이블 사업부와 비교하면 몸집은 작다이번 지배구조 변화를 두고 투자업계에서는 하이브가 빅히트뮤직을 활용해 외부 투자 유치에 나설 것으로 예상하고 있다 신규 투자 유치를 받거나 국내외 증시에서 기업공개를 하는 방안 등이 거론된다 음반·레이블 사업을 앞세워 국내 주요 벤처캐피탈과 사모펀드의 펀딩을 받고 국내 증시에 입성했던 하이브는 또 한 번 이 사업부로 대규모 투자금을 유치할 수 있다는 의미다공격적으로 를 펼치고 있는 하이브는 추가적인 자금 조달 방안이 필요했던 것으로 보인다 올 초 하이브는 자회사 비엔엑스를 통해 네이버의 팬 커뮤니티 서비스 플랫폼 브이라이브 사업부를 약 2000억원에 인수했다 최근에는 해외 사업 진출을 위해 미국 현지 레이블을 9억5000만 달러약 1조 원에 사들였다 상장으로 확보한 공모 자금9600억 원을 넘어선 규모다 회사는 오는 6월 2000억원 규모의 제3자배정 유상증자와 4300억원 규모 공모 유상증자를 동시 추진해 총 6300억 원 규모의 자금을 확보할 예정이다하이브 측은 빅히트뮤직의  가능성을 부인하고 있다 하이브는 “하이브 체제 출범과 함께 기업 경쟁력을 더욱 높이고자 사업구조를 개편하게 됐다며 분할되는 빅히트뮤직의 매각이나  등은 고려하고 있지 않다”고 공식 입장을 밝혔다지배구조를 변경하기에 앞서 기관투자자를 비롯한 주주들과 공감대를 형성해야 한다는 숙제가 남았다 물적분할 방식으로 기존 주주들이 하이브를 통해 자회사가 되는 빅히트뮤직을 간접적으로 소유하는 구조가 돼 이론적으로 하이브의 기업 가치는 변화가 없다 그러나 회사의 음반·레이블 사업을 강조하며 증시에 입성한 지 6개월 밖에 되지 않아 핵심 사업부를 떼어내는 지배구조 상의 중대한 변화가 발생했다 향후 외부 투자 유치로 지분이 희석돼 주주 가치에 피해를 입을 수 있다는 지적도 나온다 지난해 화학도 물적분할을 시도할 당시 주주들의 반대에 부딪힌 바 있다 지분을 10 이상 보유했던 국민연금은 수탁자책임전문위원회에서 의결권 행사 방향을 심의한 끝에 분할안에 반대하기로 결정했다 당시 국민연금은 분할계획의 취지에는 공감하나 지분가치 희석 등 주주가치 훼손 우려가 있다고 판단했다 국민연금의 하이브 지분 보유량은 현재까지 공개된 바 없다상법상 이번 하이브가 추진하는 단순 물적 분할과 소규모 합병은 주주들이 주식매수권을 청구할 수 없다 하이브는 분할을 위한 주주총회를 오는 5월 14일 진행할 예정이다 기업분할결정은 주주총회의 특별 의결 사안으로 주주들의 동의가 필요하다 자회사 합병에 대한 반대 의사 표시는 가능하다 하이브의 발행주식 총수의 100분의 20 이상에 해당하는 주식을 소유한 주주가 합병 공고일로부터 2주간 내에 서면으로 합병에 반대하는 의사를 통지하면 소규모합병으로 본 합병을 진행할 수 없다조윤희 기자 "
1, 2021.04.01 11:00,'포춘 500대 기업'서 SK하이닉스-LG화학 탈락…삼성전자 19위,"
			 머니투데이 오동희 산업1부 선임기자 삼성전자 서초사옥사진김창현 기자 삼성전자의 포춘 글로벌 500대 기업 순위가 4단계 떨어졌다 또 하이닉스와 화학은 500대 기업 순위권 밖으로 밀려났다1일 한국경제연구원원장 권태신 이하 한경연’이 2020 포춘 글로벌 500  500’을 바탕으로 한국·미국·일본·중국의 글로벌 기업 수·매출액·매출비중 지표를 분석한 결과 이같이 나타났다 특히 500위 이내에 든 국내 기업수가 줄어든 것은 물론 500위 내에 포함된 14개 기업 중 10개의 순위도 떨어져 한국 기업의 경쟁력이 크게 후퇴한 것으로 조사됐다포춘글로벌 500대 기업은 미국 경제매거진 포춘이 매년 전세계 기업의 매출액을 기준으로 글로벌 500대 기업을 선정해당연도 3월까지 완료된 회계연도 기준 2020년  500의 포함된 한국 기업의 실적은 2019년하는 것이다2020년 포춘 글로벌 500에 포함된 기업 수의 경우 중국이 5개사 늘어난 124개이며 일본은 1개 늘어 53개 기업이 포함됐다 미국은 전년과 같은 121개 기업인 반면 한국은 2019년 16개사에서 하이닉스 화학이 빠지면서 14개사로 줄었다 자료 한국경제연구원한국 기업들의 포춘 글로벌 500 순위 하락세도 두드러졌다 500대 기업에 포함된 14개사 중 10개사삼성전자   전자 한국전력 기아차 한화 칼텍스 삼성생명 삼성물산의 순위가 떨어졌고 4개사현대차 현대모비스 금융 만이 순위가 소폭 상승했다구체적으로 삼성전자는 4단계2019년 15위→ 2020년 19위 주는 24단계73위→ 97위 포스코는 23단계171위→ 194위 전자 22단계185위→ 207위 한국전력은 34단계193위→ 227위 하락했다 하이닉스2019년 335위와 화학2019년 490위은 2019년 글로벌 500대 기업에 포함됐으나 2020년에는 제외됐다삼성전자의 경우 2016년 경쟁사인 애플에 순위 역전애플 9위 삼성전자 13위을 허용한 이후 2020년 현재 순위 격차가 7단계애플 12위 삼성전자 19위로 크게 벌어진 상황이다 반면 삼성전자와 화웨이 격차는 2019년 46단계에서 30단계로 줄었다포스코도 2017년 주요 경쟁사 중 2위 자리를 바오우중국에 뺏긴 후 2020년 현재 3위를 유지하고는 있으나 4위인 니폰스틸일본과 격차가 축소되고 있는 상황이라 3위 수성도 쉽지 않다한편 전년 대비 순위가 상승한 기업은 4개사로 현대차가 10단계94위→ 84위 현대모비스393위→ 385위와 금융434위→ 426위이 각각 8단계 올랐고 는 26단계463위→ 437위 상승했다자료 한국경제연구원2020년 포춘 글로벌 500의 국가별 매출액 합계 측면에서 미국은 9조 8063억달러로 직전해보다 43 늘었고 중국은 8조 2949억 달러로 48 증가했다 반면 일본은 3조 1291억달러로 02 줄었고 한국은 9094억달러로 120 감소했다 한국 기업의 매출액이 글로벌 500대 기업의 매출액에서 차지하는 비중도 2019년 28에서 2020년 24로 04포인트 일본은 96에서 94로 02포인트 줄었다 반면 미국288→ 295과 중국242→ 249은 각각 07포인트씩 늘었다 글로벌 500대 기업에서도 중국의 성장세가 두드러졌다 2000년까지만 해도 글로벌 500대 기업에 속한 기업이 10개사에 불과했던 중국은 2004년 15개사로 한국을 추월했고 2012년에는 73개사로 일본을 추월했다 이후 지속적으로 증가해 2020년 124개사로 사상 처음으로 미국을 제쳤다자료 한국경제연구원미국은 2000년 179개사 2005년 176개사 2010년 139개사 등 감소 추세를 보였고 결국 2020년 121개사에 그치면서 중국에 1위를 내줬다 일본은 2000년 107개로 미국 다음으로 많은 기업이 글로벌 500대 기업에 포함되었으나 2005년 81개 2010년 71개 등 지속적으로 감소하여 2012년 68개로 중국에 추월을 허용했다재계 관계자는국내 기업들의 경쟁력 약화와 관련 삼성전자와 하이닉스의 경우 2019년 반도체 부문이 약세를 기록한 시점이었다며 주력산업이었던 반도체 호황기를 지나 반도체 시황이 슬로우했던 영향도 있었다고 말했다추광호 한경연 경제정책실장은 “우리나라의 경우 최저임금과 근로시간 단축 등 정부의 친노동 정책의 영향도 있었다며 국내 대기업의 글로벌 경쟁력이 점점 위축되는 만큼 글로벌 스탠다드에 부합하지 않는 불합리한 규제를 개선해 한국 기업이 세계 시장에서 공정한 경쟁을 할 수 있도록 지원해야 한다”고 주장했다오동희 산업1부 선임기자 "
2, 2021.04.01 04:55,LG화학 역대급 실적 전망…'테슬라 납품' LG엔솔도 성장세,"
			 머니투데이 최민경 기자 에너지솔루션 배터리 자료사진	화학의 1분기 영업이익이 1조원을 돌파하며 창사 이래 최대치를 기록할 전망이다 석유화학 부문의 마진 개선과 자회사 에너지솔루션의 실적 개선 덕분이다 특히 지난해 코나 리콜 비용을 부담하며 1600억원대 영업손실을 기록했던 에너지솔루션은 1분기에만 2000억원대의 영업이익을 기록할 것으로 관측된다  31일 금융정보업체 에프앤가이드에 따르면 화학의 올해 1분기 영업이익 추정치는 전년 동기 대비 2738 증가한 8840억원이다 그러나  추정치는 점점 상승하고 있다 이날 보고서를 낸 현대차증권 메리츠증권 등 일부 증권사들은 화학의 1분기 영업이익이 1조원을 상회하며 역대 최대 영업이익을 달성할 것으로 예상했다━美 한파로 석유화학 반사이익테슬라 납품 배터리도 수요↑━영업이익의 대부분을 차지하는 석유화학부문은 저밀도 폴리에틸렌 폴리염화비닐 등의 기초소재를 중심으로 전례 없는 이익을 시현할 전망이다 는 건축 자재에 주로 쓰이는 플라스틱인데 전방의 건설 경기 회복으로 수익성이 계속 좋아지고 있다 는 비닐 포장재 등에 사용되는데 이 역시 위생·보건에 대한 관심이 높아지며 수요가 크게 늘고 있다특히 지난 2월 미국 한파 영향으로 북미 에탄분해설비들이 2주가량 가동을 중단한 것이 1분기 폴리에틸렌 수급에 영향을 미쳤다 북미 폴리에틸렌 공급 규모 중 40에 공급 차질이 발생하면서 글로벌 가격이 높아진 상황이다 배터리 자회사인 에너지솔루션의 실적도 개선될 전망이다 에너지솔루션은 지난해 코나 화재로 인한 리콜 비용 5550억원을 충당금으로 반영하면서 적자를 낸 바 있다 나이스신용평가는 지난해 에너지솔루션의 연간 기준 영업손실을 1667억원으로 추산했다 리콜 비용을 지난해 실적에 반영하면서 올해는 악재가 지나갔다는 평가다 현대차증권은 에너지솔루션의 1분기 영업이익이 2300억원을 기록할 것으로 전망했다 특히 중국 상하이 테슬라에 납품하는 원통형 배터리 수요가 호조세를 보이고 있다 2월부턴 테슬라가 모델 를 판매하면서 지속적으로 성장할 전망이다 ━폭스바겐 배터리 내재화 발표 걱정 안해기술 개발로 대응━에너지솔루션은 전날 애널리스트 간담회를 열고 폭스바겐의 배터리 내재화 전략 발표에 대해서도 걱정하지 않는다는 입장을 밝혔다 앞서 지난 15일 폭스바겐은 2023년부터 각형 배터리를 도입해 2030년까지 6개의 배터리 공장을 설립하고 자사 배터리 탑재 차량을 판매한다는 계획을 발표한 바 있다 이에 대해 에너지솔루션은 배터리 기술 및 생산력은 진입 장벽이 높기 때문에 완성차 업체들이 내재화를 추진해도 따라잡기 힘들다는 입장이다 배터리를 내재화하면 위험 부담도 커지기 때문에 실제로 내재화하는 완성차 업체는 최대 30 내외일 전망이다 에너지솔루션은 △주력 시장에 규모의 경제 확보해 원가 절감 △각형 배터리 등 외형 연구 △전고체·리튬인산철·셀투팩 등의 기술 개발로 대응할 방침이다 에너지솔루션은 전고체 배터리의 경우 고분자계 황화물계로 개발 중인데 20252026년까지 고분자계 전고체 배터리를 양산할 수 있을 것으로 보인다  배터리도 20232024년을 목표로 기술을 개발 중이다 최민경 기자 00"
3, 2021.03.31 17:11,"""폭스바겐 영향없다"" LG화학 자신감…1Q영업익 1조 '최대치' 전망","
			 머니투데이 최민경 기자 에너지솔루션 배터리 자료사진 화학의 올해 1분기 영업이익이 1조원을 돌파하며 창사 이래 최대치를 기록할 것이란 전망이 나오고 있다 석유화학 부문의 마진 개선과 자회사 에너지솔루션의 실적 개선 덕분이다 특히 지난해 코나 리콜 비용을 부담하며 1600억원대 영업손실을 기록했던 에너지솔루션은 1분기에만 2000억원대의 영업이익을 기록할 것으로 관측된다  31일 금융정보업체 에프앤가이드에 따르면 화학의 올해 1분기 영업이익 추정치는 전년 동기 대비 2738 증가한 8840억원이다 하지만 추정치는 점점 상승하고 있다 이날 보고서를 낸 현대차증권 메리츠증권 이베스트증권 등은 화학의 1분기 영업이익이 1조원을 넘어 역대 최대 영업이익을 기록할 것으로 예상했다 영업이익의 대부분을 차지하는 석유화학부문은 저밀도 폴리에틸렌 폴리염화비닐 등의 기초소재를 중심으로 전례 없는 이익을 시현할 전망이다 는 건축 자재에 주로 쓰이는 플라스틱인데 전방의 건설 경기 회복으로 수익성이 계속 좋아지고 있다 는 비닐 포장재 등에 사용되는데 이 역시 위생·보건에 대한 관심이 높아지며 수요가 크게 늘고 있다특히 지난 2월 미국 한파 영향으로 북미 에탄분해설비들이 2주가량 가동을 중단한 것이 1분기 폴리에틸렌 수급에 영향을 미쳤다 북미 폴리에틸렌 공급 규모 중 40에 공급 차질이 발생하면서 글로벌 가격이 높아진 상황이다 배터리 자회사인 에너지솔루션의 실적도 개선될 전망이다 에너지솔루션은 지난해 코나 화재로 인한 리콜 비용 5550억원을 충당금으로 반영하면서 적자를 낸 바 있다 나이스신용평가는 지난해 에너지솔루션의 연간 기준 영업손실을 1667억원으로 추산했다 리콜 비용을 지난해 실적에 반영하면서 올해는 악재가 지나갔다는 평가다 현대차증권은 에너지솔루션의 1분기 영업이익이 2300억원을 기록할 것으로 전망했다 특히 중국 상하이 테슬라에 납품하는 원통형 배터리 수요가 호조세를 보이고 있다 2월부턴 테슬라가 모델 를 판매하면서 지속적으로 성장할 전망이다 에너지솔루션은 전날 애널리스트 간담회를 열고 폭스바겐의 배터리 내재화 전략 발표에 대해서도 걱정하지 않는다는 입장을 밝혔다 앞서 폭스바겐은 2023년부터 각형 배터리를 도입해 2030년까지 6개의 배터리 공장을 설립하고 자사 배터리 탑재 차량을 판매한다는 계획을 발표한 바 있다 이에 대해 에너지솔루션은 배터리 기술 및 생산력은 진입 장벽이 높기 때문에 완성차 업체들이 내재화를 추진해도 따라잡기 힘들다는 입장이다 내재화 비중을 확대하면 위험 부담도 커지기 때문에 내재화 업체는 최대 30 내외일 전망이다 에너지솔루션은 완성차업체들의 내재화 발표에 △주력 시장에 규모의 경제 확보해 원가 절감 △각형 배터리 등 외형 연구 △전고체·리튬인산철·셀투팩 등의 기술 개발로 대응할 방침이다 에너지솔루션은 전고체 배터리의 경우 고분자계 황화물계로 개발 중인데 20252026년까지 고분자계 전고체 배터리를 양산할 수 있을 것으로 보인다  배터리도 20232024년을 목표로 기술을 개발 중이다 최민경 기자 00"
4, 2021.03.31 12:54,"시노펙스, LG화학에서 인수한 PVDF 사업 본격적 턴어라운드 예상","
인도네시아 첫 필터방식 적용 찌아씀 정수장 공사완료 다음달 통수25년간 정수장 운영권 필터공급 병입수생수 판매 등 1석 3조 국내 해수 담수화 시설 공업용수 및 하수처리 시스템에 필터공급 예정찌아씀 정수장 시스템 시노펙스가 화학에서 인수한  사업이 사업인수 약 18개월만에 본격적인 턴어라운드가 예상된다시노펙스는 인도네시아 최초로  멤브레인 필터 방식을 적용한 찌아씀 정수장의 공사를 완료했으며 다음달 내로 통수와 함께 본격적인 운영을 시작할 것이라고 31일 밝혔다시노펙스는 찌아씀 정수장을 25년간 운영후에 수방시에 기부하는 구조이며 정수장 운영권 정수필터 공급 병입수생수 판매까지 가능해 이른바 1석 3조의 수익을 예상하고 있다 시노펙스는 찌아씀 정수장에 화학으로부터 인수한 소재의 멤브레인 필터와 자체 개발한 정수 시스템을 적용했으며 초당 100리터의 물을 정수하여 공급할 수 있다 찌아씀 정수장은 블라나깐 지역의 약 10만명에게 수도물을 공급하며 시노펙스는 수방시 수도국으로부터 대금을 지급받는 안정적인 구조이다찌아씀 정수장 전경 시노펙스 관계자는 이번 찌아씀 정수장을 계기로 향후 수방시에 건설 예정인 16개 정수장에 대한 건설 및 운영에 대한 우선협상 대상자로 선정되어 있어 향후에도 지속적인 사업확대가 가능하다고 밝혔다 또한  시노펙스는 찌아씀 정수장에 멤브레인 필터와 시스템을 동시에 공급한 실적을 바탕으로 베트남을 비롯한 동남아 지역은 물론 중국 등 해외 시장과 국내 정수 시장도 적극적으로 공략해 나갈 전략이다 시노펙스는 국내 공업용수시스템 하수처리시스템 해수담수화 시설 등에 멤브레인 필터를 공급할 계획으로 국내 시장에도 매출 확대를 예상하고 있다 미국 필터관련 다국적 기업의 임원 출신으로 올해 3월에 시노펙스에 합류한 노시갑 부사장은 실제 시노펙스에 들어와 보니 외부에 알려진 것에 비해 훨씬 높은 기술력을 확보하고 있는데 놀랐다며 향후 시노펙스가 글로벌 기업으로 성장할 수 있도록 최선을 다하겠다며 포부를 밝혔다   안병준 기자"
5, 2021.03.31 09:07,"""LG화학, 화학 부문 저력…배터리 수익성 회복""-BNK투자","
			 머니투데이 정혜윤 기자 투자증권이 화학의 1분기 실적이 컨센서스증권사 추정치 평균를 19 상회할 것이라고 31일 전망했다 투자증권은 화학 투자의견 매수 목표주가는 150만원을 유지했다 지난 30일 기준 화학 주가는 80만8000원이었다 김현태 투자증권 연구원은 화학 1분기 영업이익을 1조 514억원으로 전망했다 석유화학 제품의 가격 스프레드제품 가격에서 원료비를 뺀 수치 상승이 맞물려 해당 부문 영업이익이 전년동기대비 255 늘어난 8613억원으로 크게 증가한 것이 주된 원인이다 전지부문도 지난해 4분기 충당금 설정에 따른 대규모 적자에서 1분기 영업이익 1583억원으로 다시 5대 마진을 회복할 것으로 내다봤다 김 연구원은 지난해 말부터 이어진 배터리 리콜 이슈와 미국 국제무역위원회 소송 최근 완성차 업체들의 배터리 내재화 계획 발표 등으로 주가가 크게 하락했다고 설명했다 그는 대규모 리콜 비용은 향후 충당금 비율을 높이는 압력이 될 수 있지만 아직 명확한 화재 원인이 규명되지 않은 상태에서 선반영한 비용이기 때문에 당장 재무 비율에 부담이 되지 않을 전망이라고 했다 그는 상승 여력이 과해보일 수 있지만 목표주가 150만원을 유지한다고 했다 금리상승에 따른 고주가수익비율주 부담 각종 배터리 이슈에 따른 센티먼트투자심리 악화 등을 감안하더라도 화학 부문의 이익 레벨·가치 상승이 충분히 상쇄 가능하다는 분석이다 정혜윤 기자 12"
6, 2021.03.31 08:20,"""LG화학, 석유화학 제품 가격 상승 덕에 1분기 실적 예상치 웃돌 ...","
			 투자증권은 화학051910의 1분기 실적이 컨센서스증권사 평균 전망치를 19 웃돌 것이라고 31일 전망했다 투자의견 매수’와 목표주가 150만원을 유지했다김현태 연구원은 화학의 1분기 연결 기준 영업이익이 1조514억원을 기록할 것으로 내다봤다 석유화학 제품의 가격 상승과 스프레드원료와 최종 제품의 가격 차이 확대 덕에 해당 부문 영업이익이 전년 동기 대비 255증가한 8613억원을 기록할 전망이다김 연구원은 지난해 말부터 이어진 배터리 리콜 이슈와 미국 국제무역위원회 소송 및 완성차 업체들의 배터리 내재화 계획 등으로 화학 주가가 크게 하락했다며 그러나 리콜 비용은 아직 명확한 화재 원인이 규명되지 않은 상태에서 선반영한 비용이기 때문에 당장 재무에 부담이 되지 않으며 완성차의 배터리 내재화 역시 10년에 걸친 중장기 계획이라고 설명했다 해당 이슈들이 화학 주가에 미칠 영향은 제한적이라는 설명이다노자운 기자  "
7, 2021.03.31 07:52,"LG화학, 올 1·4분기 영업익 1조 시대 전망-메리츠","
출처뉴시스 사진뉴시스 파이낸셜뉴스 화학이 올해 1·4분기 영업이익 1조원 시대를 열 것이라는 전망이 나왔다 북미지역 한파 영향으로 단기 공급 부족 현상이 나타나면서 역대급 실적이 예상된다는 분석이다   3월 31일 메리츠증권은 화학이 올해 1·4분기 연결 기준 매출 10조7643억원 영업이익 1조141억원을 거둘 것으로 전망했다 전년 동기 대비 매출은 513 영업이익은 3288 증가할 것으로 내다봤다 시장전망치컨센서스와 비교해도 각각 155 147 웃도는 수준이다   사업부문별 영업이익은 기초소재 7985억원  에너지솔루션 1354억원 첨단소재 334억원 등으로 추정됐다   노우호 메리츠증권 연구원은 여수 가동 중단에 따라 일회성 비용 800억원가량이 반영됐지만 지난달 북미 지역 한파로 석유화학의 단기 공급 부족 현상이 나타나면서 전례 없던 실적을 거둘 것이라며 특히 폴리염화비닐과 저밀도폴리에틸렌은 역대급 수익성을 보이고 있다고 설명했다   에너지솔루션의 영업이익은 1354억원으로 추정된다 원통형 1050억원 중대형 119억원으로 예상됐다 이미 주력 고객사 테슬라가 올해 연간 100만대 생산 계획을 발표했다 연중 원통형 전지의 공급 부족이 나타나면서 수익성이 유지될 것으로 전망된다   노 연구원은 폭스바겐 때문에 중장기적으로 유럽 시장 내 점유율 유지 불확실성을 상쇄할 수 있을 것이라며 에너지솔루션은 원가절감 및 기술혁신과 확대되는 시장 규모에 대응하는 규모의 경제를 확보 중이라고 분석했다   강구귀 기자   "
8, 2021.03.31 07:42,"[클릭 e종목] ""LG화학, 1Q 영업익 1兆… '역대급' 전망""","
분기 사상 최대 실적 기대북미 한파로 석유화학 실적↑이미지출처연합뉴스아시아경제 이민우 기자 화학이 올해 1분기 영업이익 1조원 시대를 열 것이라는 전망이 나왔다 북미지역 한파 영향으로 단기 공급 부족 현상이 나타나면서 역대급 실적을 거둘 수 있었다는 분석이다31일 메리츠증권은 화학이 올해 1분기 연결 기준 매출 10조7643억원 영업이익 1조141억원을 거둘 것으로 전망했다 전년 동기 대비 매출은 513 영업이익은 3288 증가할 것으로 내다봤다 시장전망치컨센서스와 비교해도 각각 155 147 웃도는 수준이다 화학 분기 역대 최대 실적이다사업부문별 영업이익은 기초소재 7985억원  에너지솔루션 1354억원 첨단소재 334억원 등으로 추정됐다 실적 추정치 상향의 주 배경은 기초소재였다 노우호 메리츠증권 연구원은 여수 가동 중단에 따라 일회성 비용 800억원가량이 반영됐지만 지난달 북미 지역 한파로 석유화학의 단기 공급 부족 현상이 나타나면서 전례 없던 실적을 거둘 것이라며 특히 폴리염화비닐과 저밀도폴리에틸렌은 역대급 수익성을 보이고 있다고 설명했다 는 공급이 제한된 상황에서 전방 건설 경기 회복 및 장갑용 수요가 증가한 점이 주효했다 는 전방 보건·위생용 수요 확대가 수익성 호조의 배경이라는 설명이다한편 에너지솔루션의 영업이익은 1354억원으로 추정된다 원통형 1050억원 중대형 119억원으로 예상됐다 이미 주력 고객사 테슬라가 올해 연간 100만대 생산 계획을 발표했다 연중 원통형 전지의 공급 부족이 나타나면서 수익성이 유지될 것으로 전망된다화학 주가에 악재였던 폭스바겐의 자체 배터리 공급 계획 발표에도 대응하고 있다 화학은 최근 미국 내 전기차 배터리 생산을 공격적으로 늘리겠다고 밝혔다 2025년까지 기존 5기가와트를 포함해 최대 145까지 생산능력을 확대할 방침이다 과의 제2공장 투자를 포함해 사업협력 관계 강화하고 신규 고객사를 확보하며 미국 시장 내 점유율을 늘릴 것으로 예상된다 노 연구원은 폭스바겐 때문에 중장기적으로 유럽 시장 내 점유율 유지 불확실성을 상쇄할 수 있을 것이라며 에너지솔루션은 원가절감 및 기술혁신과 확대되는 시장 규모에 대응하는 규모의 경제를 확보 중이라고 분석했다이민우 기자 "
9, 2021.03.30 17:49,"""플라스틱 사용 줄여주실 거죠?"" 신학철 LG화학 부회장 '깜짝' 지명...","
생활 속 플라스틱 사용 줄이기 실천운동 동참 요청한정애 환경부 장관서울경제 한정애 환경부 장관이 30일 “플라스틱 사용 줄이기 실천에 동참해달라”며 신학철 화학 부회장을 깜짝 지명했다한 장관의 신 부회장 지명은 환경부가 실시하는 제2차 생활 속 플라스틱 사용 줄이기 실천 운동’을 함께하자는 취지다 이 운동은 아이스버킷 챌린지’처럼 영향력 있는 인물이 소셜네트워크서비스를 통해 한 인물을 지목하고 이 사람이 또다시 다른 사람에게 바통을 넘기는 방식으로 진행되는 캠페인이다이 캠페인에 참여하면 일회용 컵 대신 텀블러를 사용하거나 플라스틱 빨대 사용을 줄이는 방식으로 자발적인 플라스틱 사용 감소 활동을 펼쳐야 한다한 장관이 국내 대표적인 석유화학 업체인 화학의 신 부회장에게 플라스틱 사용 감소를 권한 것은 화학이 플라스틱 열분해 민관 협의체에 참여하는 등 플라스틱의 순환 이용 활성화에 적극적으로 참여하고 있는 점 등을 감안한 것으로 보인다 또 최근 국내 스타트업과 손잡고 플라스틱 용기 재활용을 통한 비즈니스 모델 구축에 나서는 등 환경·사회·지배구조 사업 확대에 힘쓰고 있는 점 등도 이번 지명에 영향을 미쳤다는 분석이다신학철 화학 부회장한편 한 장관은 다음 캠페인 주자로 신 부회장과 함께 김성원·송옥주·전혜숙 국회의원과 전해철 행정안전부 장관 서욱 국방부 장관 등 총 6명을 지목했다그는 “신종 코로나바이러스 감염증코로나19으로 달라진 우리의 일상생활 속에서 서로에 대한 배려는 더하되 불필요한 플라스틱 사용은 빼는 일에 국민 여러분들의 힘을 보태주기를 바란다”고 말했다세종서일범 기자 "
