,날짜,기사제목,본문내용
0, 2021.04.05 18:35,"LG전자, 스마트폰 버리고 미래차 택했다","
26년史 막내리는 모바일사업5조 적자 극복 못하고 7월 철수내달까지는 기존계약 물량 생산3500명 달하는 임직원 고용유지신사업 전장 · 배터리에 집중배치  전자가 애물단지였던 스마트폰 사업에서 26년 만에 결국 철수키로 했다 이에 따라 전자 설립 이후 최대 규모인 관련 임직원 3400여명의 대이동 조치도 오는 5월까지 완료할 계획이다   전자는 5일 이사회를 소집하고 7월 31일자로 스마트폰 사업에서 완전히 철수키로 했다 이에 따라 전자 사업부문은 △생활가전 △홈엔터테인먼트 △자동차부품 △비즈니스솔루션 등 4개로 줄게 됐다   전자는 휴대폰 시장의 양강체제가 굳어지고 가격경쟁은 더욱 심화되는 가운데 전자는 대응 미흡으로 성과를 내지 못했다고 실패를 인정했다 이어 내부자원을 효율화하고 경쟁우위를 확보할 수 있는 핵심사업에 역량을 집중할 것이라며 오랫동안 쌓아온 휴대폰사업의 자산과 노하우는 기존 사업의 경쟁력을 강화하고 미래사업을 준비하기 위해 적극 활용하겠다고 밝혔다   사업부의 지난해 매출은 5조2171억원으로 전체의 82다 사업부는 지난 2015년부터 누적적자가 5조원까지 불어났다 수년간 사업부 수장 교체와 변화를 거듭했으나 백약이 무효였다 회사는 사업 종료로 단기적으로는 전사 매출액의 감소가 있을 수 있으나 중장기적으로는 사업체질 및 재무구조 개선 효과가 기대된다고 말했다   전자는 거래처와 약속한 제품을 공급할 수 있도록 5월 말까지 휴대폰을 생산키로 했다 사업 종료에 따른 거래처와 협력사의 손실을 보상하기 위한 합의도 진행할 예정이다 사업 종료 이후에도 고객이 불편을 겪지 않도록 충분한 사후서비스를 제공키로 했다 스마트폰사업에서 손을 뗀다 해도 사내 혹은 그룹 계열사 이동을 통한 고용유지는 계속된다   지난해 말 기준 부문의 직원 수는 총 3449명으로 설립 이래 최대 인원이 한꺼번에 이동하게 된다 이 인력 상당수는 미래먹거리인 전장 배터리 쪽에 전진 배치된다   이연모 사업본부장부사장은 이날 직원설명회를 열고 향후 운영계획과 직원들의 전환배치 일정 등을 공유하면서 미안하다고 사과했다 이 부사장은 전자 내 사업부와 그룹 계열사 등으로 직원 이동에 대한 공모를 실시할 것이라며 전자 안에선 가전··전장부품·기업간거래2로 계열사로는 디스플레이와 반도체 등으로 가게 될 것이다 이동조직을 결정하지 못한 인원은 최종적으로 전자에 남을 것이라고 전했다   계열사 공모는 13일까지 최대 6지망으로 신청받고 5월 말까지 최종 배치를 마무리할 예정이다 우선 이달 712일 에너지솔루션으로 이동할 직원들을 지원받는다 이어 19일부터 사무직과 개발인력 수백명이 에너지솔루션으로 발령이 시작된다 에너지솔루션 디스플레이 그룹 계열사인 실리콘웍스 측의 설명회도 다음주까지 순차 진행된다 회사는 개별 인원의 의향을 우선적으로 고려해 개인의 장기적 성장 관점에서 효과적 재배치가 될 수 있도록 추진할 것이라고 덧붙였다     김경민 기자 "
1, 2021.04.05 18:30,"'애물단지' 떼낸 LG전자, 실적 날아오른다 [LG 스마트폰사업 철수]","
1분기 이미 역대급 영업익 예고코로나 특수까지 겹쳐 전망 밝아  7일 1·4분기 잠정 실적 발표를 앞둔 전자는 12년 만에 분기 영업이익 신기록을 세울 것으로 전망된다 특히 5조 적자 모바일 사업을 털어내면서 코로나19 특수를 타고 승승장구해 온 전자는 상반기 실적 개선이 기대된다   5일 관련 업계와 금융정보업체 에프앤가이드 등에 따르면 전자의 1·4분기 매출에 대한 시장 전망치컨센서스는 17조7878억원 영업이익은 1조1798억원으로 집계됐다 이는 전년동기 대비 각각 2074 82 증가한 수치다 이 같은 1·4분기 매출 전망치는 역대 1·4분기 가운데 최대치다 전자는 지난 2018년에 1·4분기 최대 실적을 기록했는데 당시 매출은 15조1230억원이었다   시장은 이번에 전자가 시장 컨센서스를 훨씬 웃도는 실적을 거둘 것으로 예측하고 있다   최근 들어 영업이익이 최대 1조2000억원 후반대를 기록할 것이란 전망치가 나왔다 증권1조4870억원 키움증권1조3634억원 대신증권1조3010억원 하이투자증권1조3260억원 등이 1·4분기 영업이익을 1조2000억원 후반에서 1조3000억원 초반으로 예상했다 이에 따라 전자는 12년 만에 역대 최대 분기 영업이익을 기록할 것으로 예상된다 역대 분기 영업이익 최대치는 2009년 2·4분기에 달성한 1조2438억원이다   영업이익 1조3260억원을 예상한 고의영 하이투자증권 연구원은 미국의 가전제품 출하 데이터는 지난 20년래 최고치라며 선진국을 중심으로 백신이 보급되고 있어도 여전히 외부 활동이 제한되고 있으므로 내구재에 대한 소비가 강력하게 발생 중이라고 설명했다   전자 역대급 분기 실적의 저력은 스팀가전을 중심으로 한 신가전에서 나올 것이란 게 업계의 분석이다 생활가전을 담당하는 사업본부는 1·4분기 가운데 처음으로 매출 6조원 영업이익 8000억원을 넘어설 것으로 예측된다 매출은 1·4분기 사상 최대를 기록하고 영업이익은 역대 분기 최대 기록을 달성할 것으로 보인다 무엇보다 스마트폰 사업을 철수하는 동시에 전장부품 쪽을 지속 키울 것으로 예상되면서 향후 실적 전망은 더욱 밝다  1 김서원 기자 "
2, 2021.04.05 18:12,육일씨엔에쓰 “LG전자 휴대폰 사업 종료로 강화유리 거래중단”,"
			 이데일리 유준하 기자 육일씨엔에쓰191410는 5일 전자066570의 휴대폰 사업 종료에 따라 휴대폰용 강화유리 납품 거래를 중단한다고 공시했다해당 거래처에 대한 매출액은 472억원으로 지난해 매출액 대비 618 수준이다회사 측은 “고객사의 사업종료로 인해 올 하반기는 강화유리 매출액의 감소가 예상되나 고객사와 협의를 통해 손실을 최소화 하고자 한다”며 “고객사와 미결업무 논의 및 타사업부 또는 계열사 등으로 비지니스 확대 협의를 통해 안정적인 사업 모멘텀을 확보할 것”이라고 설명했다이에 한국거래소 코스닥시장본부는 투자자 보호를 위해 상장적격성 실질심사 심사대상 여부에 대한 확정일까지 주권매매거래를 정지한다고 이날 밝혔다유준하 "
3, 2021.04.05 18:00,"""미안하다"" ""안타깝다""…고개숙인 LG전자 경영진","
			 머니투데이 오상헌 기자 이연모 사업본부장 직원설명회서 폰 철수 미안하다이철훈 한국모바일그룹장 유통점에 어렵고 힘든 선택서울뉴스1 성동훈 기자  전자가 누적 영업적자만 5조원에 달하는 스마트폰 사업의 철수를 확정 발표했다 전자는 이날 서울 여의도 본사에서 이사회를 열고 오는 7월31일부로 사업부문휴대폰 사업 생산 및 판매를 종료하는 내용을 확정했다고 밝혔다 사진은 이날 오전 서울 영등포구 트윈타워 모습 202145뉴스1  폰 26년 영욕의 역사에 마침표를 찍는 전자 휴대폰 사업부 경영진들이 머리를 숙였다 이연모 전자 모바일커뮤니케이션 사업본부장부사장은 휴대폰 사업 종료 발표 직후인 5일 오전 10시30분쯤 직원 설명회를 열어 사업을 철수하게 됐다 미안하다며 임직원들에게 사과의 뜻을 전했다 사내 방송으로 진행된 설명회는 사업본부 소속 구성원3449명들이 지켜봤다고 한다 이 본부장은 설명회에서 전자 내 다른 사업부와 그룹 계열사 등으로 직원 이동에 대한 공모를 하겠다며 사업본부 직원들의 전환배치 일정도 공유했다  전자는  사업본부 소속 직원들을 사내 가전과  전장 부품 기업간거래2 관련 부서로 이동 배치하고 디스플레이 유플러스 이노텍 에너지솔루션 등 계열사로도 6월까지 전환 배치할 계획이다 이철훈 전자 한국영업본부 한국모바일그룹장도 휴대폰 유통업계에 안내문을 보내 휴대폰 사업 종료 결정 사실을 알리고 이런 소식을 전하게 돼 안타까운 마음을 금할 수 없다며 급변하는 시장 정세에 대응하고 미래 가치에 집중하기 위한 어렵고 힘든 선택이었음을 양해해 달라고 당부했다 이 그룹장은 사업 종료 후에도 전자 제품을 사용하는 고객들이 불편하지 않도록  업그레이드 보안 품질 관련 소프트웨어 업데이트 및 사후 서비스를 제공할 예정이라며 재고 소진 시까지 판매도 차질없이 지속되도록 하겠다고 했다 오상헌 기자 "
4, 2021.04.05 17:47,"'철수 공식화' LG전자 주가 2.5% 급락, '지분 투자' 로보스타·...","
			 ◆ 폰 철수 공식화 ◆전자가 적자 사업부인 휴대폰사업부 철수를 공식화하며 향후 주가 전망에 관심이 모아진다5일 전자 주가는 전 거래일2일에 비해 252 내린 15만4500원에 마감했다 휴대폰사업부 철수가 이미 주가에 반영됐던 만큼 이날 차익실현 매물이 나온 때문으로 보인다 앞서 회사 측이 처음으로 휴대폰사업부 철수 가능성을 언급한 지난 1월 20일 전자 주가는 13가량 올랐고 다음날에도 11가량 올랐다 금융투자업계에서는 휴대폰사업부 철수를 예상된 결과로 받아들이며 미래 성장사업의 확대 가능성이 향후 주가를 결정할 것으로 보고 있다 익명을 요구한 한 금융투자업계 관계자는 회사 측이 콘퍼런스콜을 통해 휴대폰사업부의 실질적 영업중단 시점을 6월로 보고 2분기에 중단 영업손익을 적용할 예정이라고 밝혔다며 관련 실적은 현재 추정하기 어렵지만 하반기부터는 실적 개선이 본격화될 것으로 보인다고 말했다 애플의 자율주행 전기차와의 협업 가능성이 거론되는 전장사업부와 로봇사업 등에서 가시적인 성과를 내야 주가의 상승동력이 생길 수 있다는 의견이 많다 실제 이날 전자가 각각 20 10를 지분 투자한 로봇업체 로보스타와 로보티즈는 각각 1276 772 올랐다 로봇사업 확대에 대한 기대감이 반영된 때문이다 강봉진 기자"
5, 2021.04.05 16:23,"[LG폰 철수]LG전자, 3700명 임직원 '재배치' 수요조사 착수","
5일 이사회 결의 후 이연모 사업본부장 부사장전 직원 대상 사내 설명회 진행미안하다는 뜻도 함께 전달전자의 스마트폰 사업 철수가 임박한 2일 전자 본사가 위치한 서울 여의도 트윈타워의 모습 문호남 기자 아시아경제 차민영 기자 전자가 5일 스마트폰 사업 철수를 공식화하고 3700여명의 모바일커뮤니케이션즈사업본부 인력 재배치를 위한 수요 조사에 착수했다전자 이연모 사업본부장 부사장은 이날 이사회 결의 후 직원 대상 사내 설명회에서 사업 종료의 배경과 향후 재배치 일정 등을 설명하면서 직접 미안하다는 뜻을 밝힌 것으로 전해졌다전자는 이날부터 바로 개별 인원들의 의향과 사업부·계열사 수요 조사를 통해 인력 재배치 과정에 들어갈 예정이다 먼저 에너지솔루션으로 넘어갈 직원 공모를 시작으로 계열사·사업본부 재배치를 6월 말까지 마무리할 계획이다 가전 공장과 연구소가 있는 경남 창원 자동차부품 사업본부 마그나와의 합작법인 에너지솔루션 디스플레이 등 계열사 수요가 많을 것으로 예상된다 전자는 핵심 모바일 기술 등 연구개발은 지속할 예정이어서 일부 인력은 6 원천기술 확보 등으로 재배치될 수 있다전자는 6 이동통신 카메라 소프트웨어 등 핵심 모바일 기술은 차세대  가전 전장부품 로봇 등에 필요한 역량이기 때문에 부문 중심으로 연구개발을 지속할 것이라며 이를 통해 자율주행은 물론 사람 사물 공간 등이 긴밀하고 유기적으로 연결된 만물지능인터넷 시대를 대비하겠다고 밝혔다해외 전자 스마트폰 공장은 용도가 변경될 것으로 예상된다 전자는 베트남 브라질 인도 등에 공장을 가지고 있고 이 중 대부분 설비가 베트남에 집중돼 있다 전자는 앞서 2019년 국내 스마트폰 생산을 담당해온 평택 공장 가동을 중단하고 해외로 기지를 이전했다 차민영 기자 "
6, 2021.04.05 16:10,"""인재 모십니다""…로봇사업에 힘실어주는 삼성·LG전자","
삼성 이달 중 세트부문 로봇 개발 전문가 최종 합격자 발표 로봇 조작·주행위한 물체 인식 등 기술 개발 전문가 모집이데일리 신민준 기자 삼성전자005930와 전자066570가 미래 새 성장 동력 중 하나인 로봇 분야의 인재들을 영입하며 로봇 사업에 힘을 실어주고 있다  삼성봇 핸디왼쪽과 클로이 살균봇오른쪽 사진삼성 전자삼성 부문장 직속 로봇사업화 신설5일 전자업계에 따르면 삼성전자는 이달 중 세트부문 로봇 개발 전문가 경력사원 최종 합격자를 발표한다 앞서 삼성전자는 지난 2월 26일부터 3월 9일까지 지원 접수를 받았다 근무지역은 수원사업장이다 업무는 △로봇 구동용 회로 설계와 제어 개발 △로봇용 회로 최적·표준화 등이다이번 채용이 관심을 끄는 이유는 삼성리서치가 아닌 세트부분의 채용이라는 점 때문이다 일각에서는 연구·개발 조직인 삼성리서치가 아닌 실무 조직인 세트부분에서 경력 사원을 채용하는 만큼 로봇 제품의 상용화 가능성도 제기된다 삼성전자는 최근 가전 부문장사장 직속으로 로봇사업화 전담팀도 신설한 것으로 알려졌다 삼성전자는 지난 1월 세계 최대 가전·정보기기 전시회인 2021에서 연구 중인 로봇을 공개했다 가정용 서비스 로봇 삼성봇™ 핸디는 스스로 물체 위치나 형태 등을 인식해 잡거나 옮길 수 있는 점이 특징이다 핸디는 식사 전 테이블 세팅과 식사 후 식기 정리 등 다양한 집안일을 돕는 데 사용된다 삼성전자는  2019에서 처음 공개한 삼성봇™ 케어의 업그레이드 버전도 선보였다 기존 노약자 케어 외에도 다양한 가족 구성원으로 범위를 넓혀 일정관리·헬스케어·교육·화상 미팅 등 개인별 맞춤화된 서비스를 제공한다 이외에 △쇼핑몰·음식점 등에서 주문·결제·서빙을 지원하는 삼성봇™서빙 △고객 응대 로봇 삼성봇™ 가이드 △웨어러블 보행 보조 로봇 젬스 등을 개발하고 있다고 밝혔다  상반기 비대면 방역로봇 美에 출시 전자는 최고기술책임자 부문에서 컴퓨터비전과 기계학습머신러닝 연구개발 소프트웨어 분야의 전문가를 오는 18일까지 모집한다 입사 후 담당 업무는 △로봇 조작·주행을 위한 물체·환경 인식과 모델링 기술 개발 △로봇 시각센서 개발 △로봇 비전기반 학습 기술 개발 등이다 전자는 2018년 산업용 로보 제조 전문기업 로보스타의 지분을 인수한 뒤 로봇제조사 로보티즈와 로보스타 등에 투자하면서 로봇사업의 경쟁력을 끌어올리고 있다 전자는 또 올해 상반기 비대면 방역로봇 클로이 살균봇을 미국 시장에 출시할 예정이다 전자는 그동안 안내로봇 클로이 안내로봇을 비롯해 △클로이 홈로봇 △클로이 셰프봇 △클로이 서브봇 등을 잇따라 선보였다  코로나19 팬데믹세계적 대유행으로 비대면이 일상화되면서 로봇시장의 꾸준한 성장세도 예상된다 시장조사기관 마켓앤마켓스에 따르면 세계 서비스로봇시장은 작년 370억달러40조9405억원 규모에서 2025년 1025억달러113조4163억원로 규모가 약 3배 커질 것으로 예측된다업계 관계자는 “전자가 스마트폰 사업을 철수하면서 로봇사업에 더 집중할 것으로 보인다”며 “삼성전자 역시 새 먹거리의 하나로 로봇사업을 키워 나갈 것”이라고 말했다신민준 "
7, 2021.04.05 16:07,LG전자 모바일그룹장 “힘든 선택 양해해 달라…사후 서비스 만전”,"
폰 철수 7월 31일부로 휴대폰 사업종료올해 3월 기준 국내 시장 점유율은 643 정도이철훈 모바일그룹장 명의 안내문 보내유통망에 업데이트 및 재고폰 판매 지속 약속이데일리 김현아 기자 전자가 5일 이사회를 열고 스마트폰 사업 중단을 결정했다 사진 연합뉴스전자가 모바일그룹장 명의로 유통점에 보낸 공지글오늘5일 이사회에서 휴대폰 사업 종료를 결정한 전자066570가 유통 업계에 안내문을 보내 사업 종료 이후에도 운영체제 업그레이드와 보안·품질관련 소프트웨어 업데이트 등 사후 서비스 제공에 만전을 기하겠다고 밝혔다전자의 휴대폰 사업 철수는 1995년 모바일커뮤니케이션 사업본부의 전신인 정보통신으로 스마트폰 사업을 시작한 지 26년만이다 폰의 국내 시장 점유율은 643 정도다 스마트폰 시장조사기관인 스탯카운터 발표에 따르면 올해 3월 기준으로 국내 스마트폰 시장 점유율은 삼성전자가 6458 애플 2563 전자 643 순이다 전자는 이날 오후 유통 업계에 보낸 한국영업본부 이철훈 모바일그룹장 명의의 안내문에서 감사의 마음을 전했다 이 그룹장은 “그동안 전자 모바일 사업에 보내주신 성원에 진심으로 감사의 말씀을 드린다”면서 “선택과 집중을 통한 미래 경쟁력 강화를 위해 최종적으로 휴대폰 사업을 종료하기로 결정했다”고 밝혔다이어 “귀사의 신뢰와 지지에도 불구하고 이 같은 소식을 전하게 돼 안타깝다”며 “급변하는 시장 정세에 대응하고 미래 가치에 집중하기 위한 어렵고 힘든 선택이었음을 양해바란다”고 부연했다하지만 전자는 휴대폰 사업 종료 후에도 고객들에 대한 사후 서비스는 걱정하지 말라고 했다이 그룹장은 “사업 종료 후에도  제품을 사용하는 고객들이 불편하지 않도록 업그레이드 보안품질 관련 소프트웨어 업데이트 및 사후 서비스를 제공할 예정”이라면서 “판매 역시 재고 소진 시까지 차질 없이 지속되도록 하겠으니 안심하고 고객분들께 권해 달라”고 밝혔다그리고 “그동안 든든한 파트너가 돼 주셔서 머리 숙여 감사드린다”고 고마움을 표했다김현아 "
8, 2021.04.05 15:51,"에이스침대, LG전자와 생활가전 제품 증정 프로모션","
			   파이낸셜뉴스 에이스침대는 5일 전자와 가구·가전 혼수를 동시에 마련할 수 있는 에이스 웨딩멤버스 이벤트를 4월 한달 동안 진행한다고 밝혔다   에이스침대가 운영하는 에이스 웨딩멤버스’는 지난 해에만 1만3400여명이 가입하며 예비 부부들에게 큰 호응을 얻고 있는 서비스다 에이스침대는 혼수를 준비하는 예비 부부가 풍성한 혜택과 함께 수준 높은 수면 문화를 경험할 수 있도록 지난 2014년부터 에이스 웨딩멤버스를 도입해 운영해오고 있다   이번 웨딩멤버스 로맨틱패키지 프로모션은 웨딩 성수기인 봄 시즌을 맞아 결혼을 앞둔 예비 신혼부부를 위해 침대 구매시 전자 생활가전을 경품으로 전달하며 더욱 풍성한 에이스 웨딩멤버스 혜택을 제공하고자 기획됐다   에이스침대 관계자는 에이스침대와 함께 희망찬 새출발을 계획하는 봄철 신혼부부들을 위해 이번 프로모션을 마련했다며 “이번 프로모션을 통해 신혼부부들이 좋은 잠은 물론 풍성한 혜택까지 함께 경험하며 로맨틱한 신혼집 인테리어를 완성하길 바란다”고 말했다   에이스 웨딩멤버스는 예비 부부라면 누구나 예식장 계약서나 청첩장 등 결혼 관련 증빙 이미지를 이용해 간편하게 등록할 수 있다     강재웅 기자   "
9, 2021.04.05 10:11,"에이스침대, LG전자와 가구·가전 혼수 이벤트","
이데일리 강경래 기자 에이스침대가 전자와 제휴해 가구·가전 혼수를 동시에 마련할 수 있는 이벤트를 실시한다고 5일 밝혔다에이스침대 측은 “예비부부를 위한 멤버십 서비스인 에이스 웨딩멤버스’ 가입 고객을 대상으로 4월 한 달간 전자 생활가전 제품을 경품으로 증정하는 웨딩멤버스 로맨틱패키지’ 프로모션을 진행한다”고 설명했다에이스침대가 운영하는 에이스 웨딩멤버스는 지난해에만 무려 1만 3400여명이 가입하며 예비 부부들에게 큰 호응을 얻는 서비스다 에이스침대는 혼수를 준비하는 예비부부가 혜택과 함께 수면 문화를 경험할 수 있도록 지난 2014년 에이스 웨딩멤버스를 도입했다 이번 웨딩멤버스 로맨틱패키지 프로모션은 웨딩 성수기인 봄을 맞아 결혼을 앞둔 예비부부를 위해 침대 구매 시 전자 생활가전을 경품으로 전달하며 더 많은 에이스 웨딩멤버스 혜택을 제공하고자 기획했다 침대 세트를 구매한 웨딩멤버스 고객을 대상으로 추첨을 통해 △전자 55인치  △전자 스타일러 △전자 코드제로 청소기를 경품으로 증정한다 이외에도 에이스침대 인스타그램에서 진행하는 웨딩멤버스 로맨틱패키지 이벤트 게시물을 공유하면 추첨을 통해 △ 시네빔 △스타벅스 커피 기프티콘 등을 제공한다에이스침대 관계자는 “이번 프로모션을 통해 신혼부부들이 좋은 잠’과 함께 전자 가전 혜택까지 함께 경험하며 로맨틱한 신혼집 인테리어를 완성하길 바란다”고 말했다강경래 "
