,날짜,기사제목,본문내용
0,2021-04-23,"김기남 삼성전자 부회장, 자사주 1만주 매입…총 21만주 보유",아시아경제 박소연 기자 삼성전자 는 김기남 부회장이 회사 주식 만주를 장내 매수했다고 일 공시했다 반도체 부문 대표이사인 김기남 부회장은 지난 일 억 만원을 투자해 보통주 만주 주당 만 원 를 샀다 이로써 김 부회장이 보유한 자사 주식은 만주로 늘었고 금액으로는 이날 종가 만 원 기준 억원 상당이다 박소연 기자
1,2021-04-23,"삼성전자 시스템 에어컨, 美 냉동공조협회 어워드 수상",삼성전자는 이 회사 시스템 에어컨 제품이 올해 미국 냉동공조협회 가 수여하는 퍼포먼스 어워드를 수상했다고 일 밝혔다 시스템 에어컨은 대형 건물 등에 공급하는 기업간거래 제품이다 삼성전자는 대형 시스템 에어컨 중소형 시스템 에어컨 중소형 냉방 전용 시스템 에어컨 등 개 제품군에서 이 상을 받았다 퍼포먼스 어워드는 가 각 제품군에서 무작위 선정한 시스템 에어컨 제품들에 대해 국제 공인 시험소가 진행한 성능평가를 거쳐 선정한다 삼성전자 관계자는 퍼포먼스 어워드는 년에 걸쳐 진행되는 엄격한 사후관리 시험 기준까지 통과해야 받을 수 있는 상이라 소비자들의 신뢰가 높은 것으로 알려져 있다 고 설명했다 이번에 상을 받은 삼성전자의 대형 냉난방 시스템 에어컨 는 영하 도 영상 도 섭씨 까지 폭넓은 온도 범위에서 제어가 가능하다 다양한 실내기와 연결할 수도 있다 중소형 냉난방 시스템 에어컨 맥스 히트 는 영하 도의 환경에서도 사용할 수 있는 한랭지 특화 제품이다 겨울철 기온이 크게 낮아지는 미국 북부 지역의 가정이나 상업시설을 겨냥했다 또 중소형 냉방 전용 시스템 에어컨의 대표 모델인 영하 도 로우 앰비언트 는 외부 온도 영하 도에서도 냉방할 수 있는 제품이다 네트워크 장비에서 발생하는 열을 식히기 위해 지속적인 냉방이 필요한 서버룸 등 특수 환경에 적합하다 최영준 삼성전자 생활가전사업부 상무는 시스템에어컨에 대한 지속적인 연구개발 을 바탕으로 공신력 있는 의 퍼포먼스 어워드를 수상했다 면서 향후에도 미국 외 다양한 국가에 진출해 시스템에어컨 비즈니스를 확대해나갈 것 이라고 말했다 이종혁 기자
2,2021-04-23,"삼성 시스템에어컨 3종, 美 냉동공조협회 '퍼포먼스 어워드' 수상",성능평가 사후관리 시험기준 통과 등 소비자 신뢰 이데일리 배진솔 기자 삼성전자 가 올해 미국 냉동공조협회 가 수여하는 퍼포먼스 어워드 를 수상했다 미국 냉동공조협회 로부터 퍼포먼스 어워드를 수상한 삼성 시스템에어컨 퍼포먼스 어워드는 가 각 제품군에서 무작위 선정한 시스템에어컨 제품들에 대해 국제 공인 시험소가 진행한 성능평가를 토대로 수상업체가 선정된다 사진 삼성전자 삼성전자는 대형 시스템에어컨 중소형 시스템에어컨 중소형 냉방 전용 시스템에어컨 등 개 제품군에서 미국 의 퍼포먼스 어워드를 수상했다고 일 밝혔다 퍼포먼스 어워드는 가 각 제품군에서 무작위 선정한 시스템에어컨 제품들에 대해 국제 공인 시험소가 진행한 성능평가를 토대로 수상업체가 선정된다 특히 년에 걸쳐 진행되는 엄격한 사후관리 시험 기준까지 통과해야 받을 수 있는 상이라 소비자들의 신뢰가 높은 것으로 알려져 있다 는 지난 년 출범한 단체로 전 세계 약 개 에어컨 제조업체가 가입해 있다 삼성전자의 대형 냉난방 시스템에어컨 는 영하 영상 까지 폭넓은 온도 범위에서 온도 제어가 가능하며 다양한 실내기와 연결할 수 있어 호환성이 뛰어난 것이 특징이다 중소형 냉난방 시스템에어컨 맥스 히트 는 영하 의 가혹한 환경에서도 사용할 수 있는 한랭지 특화 제품으로 겨울철 기온이 크게 낮아지는 미국 북부 지역의 가정이나 상업시설을 겨냥한 제품이다 중소형 냉방 전용 시스템 에어컨의 대표 모델인 로우 앰비언트 는 외부 온도 영하 에서도 냉방할 수 있는 제품이다 네트워크 장비에서 발생하는 열을 식히기 위해 지속적인 냉방이 필요한 서버룸 등 특수 환경에 적합한 제품이다 삼성전자는 이처럼 다양한 환경과 목적에 맞는 시스템에어컨을 지난 년부터 미국 시장에 선보이며 매출 성장을 지속하고 있다 최영준 삼성전자 생활가전사업부 상무는 시스템에어컨에 대한 지속적인 연구개발 을 바탕으로 공신력 있는 의 퍼포먼스 어워드를 수상했다 면서 향후에도 미국 외 다양한 국가에 진출해 시스템에어컨 비즈니스를 확대해나갈 것 이라고 말했다 삼성전자 미국 퍼포먼스 어워드 수상 시스템 에어컨 사진 삼성전자 배진솔
3,2021-04-23,"삼성 시스템에어컨, 美 냉동공조협회 어워드 수상",머니투데이 심재현 기자 미국 냉동공조협회 로부터 퍼포먼스 어워드를 수상한 삼성전자 시스템에어컨 사진제공 삼성전자 삼성전자가 올해 미국 냉동공조협회 가 수여하는 퍼포먼스 어워드 를 수상했다고 일 밝혔다 삼성전자는 대형 시스템에어컨 중소형 시스템에어컨 중소형 냉방 전용 시스템에어컨 등 개 제품군에서 상을 받았다 퍼포먼스 어워드는 가 각 제품군에서 무작위 선정한 시스템에어컨 제품들에 대해 국제공인시험소가 진행한 성능평가를 토대로 수상업체가 선정된다 특히 년에 걸쳐 진행되는 엄격한 사후관리 시험 기준까지 통과해야 받을 수 있는 상이라는 점에서 소비자들의 신뢰가 높다 는 년 출범한 단체로 전 세계 약 개 에어컨 제조업체가 회원사다 삼성전자의 대형 냉난방 시스템에어컨 는 영하 에서 영상 까지 온도를 제어할 수 있고 다양한 실내기와 연결할 수 있어 호환성이 뛰어나다 중소형 냉난방 시스템에어컨 맥스 히트 는 영하 의 가혹한 환경에서도 사용할 수 있는 한랭지 특화 제품이다 겨울철 기온이 크게 낮아지는 미국 북부 지역의 가정이나 상업시설에 적합하다 중소형 냉방 전용 시스템 에어컨의 대표 모델인 로우 앰비언트 는 외부 온도 영하 에서도 냉방할 수 있는 제품이다 네트워크 장비에서 발생하는 열을 식히기 위해 지속적인 냉방이 필요한 서버룸 등 특수 환경에 적합한 제품이다 삼성전자는 다양한 환경과 목적에 맞는 시스템에어컨을 년부터 미국 시장에 선보이며 매출 성장을 지속하고 있다 최영준 삼성전자 생활가전사업부 상무는 시스템에어컨에 대한 지속적인 연구개발을 바탕으로 공신력 있는 의 퍼포먼스 어워드를 수상했다 며 앞으로도 미국 외에 다양한 국가에 진출해 시스템에어컨 비즈니스를 확대해나갈 것 이라고 말했다 심재현 기자
4,2021-04-23,"삼성 시스템에어컨, 美냉동공조협회 어워드 수상",삼성 시스템에어컨 제품 아시아경제 김혜원 기자 삼성전자가 올해 미국 냉동공조협회 가 수여하는 퍼포먼스 어워드 를 수상했다 삼성전자는 일 대형 시스템에어컨 중소형 시스템에어컨 중소형 냉방 전용 시스템에어컨 등 개 제품군에서 이 상을 받았다고 밝혔다 퍼포먼스 어워드는 가 각 제품군에서 무작위 선정한 시스템에어컨 제품에 대해 국제 공인 시험소가 진행한 성능평가를 토대로 수상업체를 선정한다 특히 년에 걸쳐 진행되는 엄격한 사후관리 시험 기준까지 통과해야 받을 수 있는 상으로 소비자들의 신뢰가 높은 것으로 알려져 있다 는 년 출범한 단체로 전 세계 약 개 에어컨 제조업체가 가입해 있다 삼성전자의 대형 냉난방 시스템에어컨 는 까지 폭넓은 범위에서 온도 제어가 가능하며 다양한 실내기와 연결할 수 있어 호환성이 뛰어난 것이 특징이다 중소형 냉난방 시스템에어컨 맥스 히트 는 의 가혹한 환경에서도 사용할 수 있는 한랭지 특화 제품으로 겨울철 기온이 크게 낮아지는 미국 북부 지역의 가정이나 상업시설을 겨냥한 제품이다 중소형 냉방 전용 시스템 에어컨의 대표 모델인 로우 앰비언트 는 외부 온도 에서도 냉방할 수 있는 제품이다 네트워크 장비에서 발생하는 열을 식히기 위해 지속적인 냉방이 필요한 서버룸 등 특수 환경에 적합하다 삼성전자는 이처럼 다양한 환경과 목적에 맞는 시스템에어컨을 년부터 미국 시장에 선보이며 매출 성장을 지속하고 있다 최영준 삼성전자 생활가전사업부 상무는 시스템에어컨에 대한 지속적인 연구개발 을 바탕으로 공신력 있는 의 퍼포먼스 어워드를 수상했다 면서 향후에도 미국 외 다양한 국가에 진출해 시스템에어컨 사업을 확대해나갈 것 이라고 말했다 김혜원 기자
5,2021-04-23,"삼성전자의 대단한 도전, 미국서 김치냉장고 출시",베스트바이 로우스서 판매 냉장고시장 위 굳히기 글로벌 김치열풍 이 거세지는 가운데 삼성전자가 미국을 기점으로 해외 김치냉장고 시장 개척에 나섰다 일 업계에 따르면 삼성전자는 최근 베스트바이와 로우스 등 미국 대형 유통업체를 통해 자사 김치냉장고 제품을 판매하기 시작했다 그동안 교민들을 대상으로 한인 유통채널을 통해 소규모 수출은 이루어지고 있었으나 현지 유통업체를 통해 미국 소비자를 겨냥해 판매를 시작한 것은 이번이 처음이다 미국을 포함해 삼성전자가 해외에 김치냉장고를 정식 출시한 것도 이번이 최초다 면역력 강화에 효과적인 것으로 알려진 김치는 최근 코로나 예방과 증상 완화에 기여한다는 연구들이 잇따르면서 수출이 크게 늘고 있다 관세청에 따르면 지난 분기 김치 수출액은 만 달러로 지난해 같은 기간보다 증가했다 삼성전자는 김치냉장고를 김치 보관 외에 다목적으로 활용하는 국내 소비자들의 사용패턴에 주목했다 김치냉장고는 국내에서 다양한 식재료를 보관하는 세컨드 냉장고 로 자리매김하며 보급률이 높아지고 있다 삼성전자는 김치냉장고를 다용도 냉장고로 활용하는 트렌드를 반영해 무르거나 변질되기 쉬운 뿌리채소 열대과일을 위한 감자 바나나 모드 보관이 까다로운 곡류나 와인을 최적으로 보관하는 모드 육류나 생선을 살얼음 상태로 신선하게 보관하는 육류 생선 모드 육류 숙성 알고리즘이 적용돼 풍미를 높이는 참맛 육류 모드 등 가지 맞춤 보관 기능을 제품에 탑재했다 또 재택근무 확대 등으로 대용량 음식 보관 필요성이 높아지고 있다는 점에 착안해 중간 벽을 없애 식재료를 박스째 보관할 수 있는 와이드 상칸 문 안쪽에 생수통도 수납가능한 빅도어 가드 음식 간 냄새 섞임 없이 보관할 수 있는 메탈쿨링 밀폐존 등 저장기능도 강화했다 삼성전자는 다양한 부가기능을 강조해 판매를 확대한다는 계획이다 삼성전자는 미국에 출시한 김치냉장고 제품명을 김치 냉장고 로 정했다 이 밖에도 냉장고 문을 위아래로 열고 닫는 뚜껑형 제품뿐 아니라 미국 소비자들에게 친숙하고 수납공간이 더 넓은 스탠딩형 제품을 함께 출시하며 시장 확대에 속도를 낸다는 방침이다 삼성전자는 강화된 부가기능과 함께 기존 미국 시장 냉장고의 인지도를 적극 활용해 현지 시장을 공략한다는 전략이다 지난해 월 기준 미국 시장에서 삼성전자 냉장고는 분기 연속 점유율 위를 지키고 있다 또 미국을 기점으로 다른 국가로의 추가 진출도 검토하고 있다 박재영 기자
6,2021-04-23,"""수척해진 이재용 풀어줘라"" 커지는 삼성전자 이 부회장 사면론",재계는 물론 종교계 일반 단체도 사면 요청 한미 정상회담 백신 스와프 기대로 더 강해져 박범계 법무부 장관 검토한 바 없다 파이낸셜뉴스 문재인 대통령이 지난해 월 일 서울 세종대로 대한상공회의소에서 열린 코로나 대응 경제계 간담회에 참석해 이재용 삼성전자 부회장과 악수하고 있다 이재용 삼성전자 부회장에 대한 사면 요청이 빠르게 확산되고 있다 삼성전자 이 부회장에 대한 사면 건의는 재계는 물론 종교계와 기타 단체 등으로 이어지고 있다 특히 다음달 한미정상회담을 앞두고 삼성전자의 미국 반도체 투자와 백신 스와프 가 이 부회장을 사면론에 불을 붙이고 있다 오늘 일 경제계에 따르면 한국경영자총협회와 대한상공회의소 중소기업중앙회 한국무역협회 한국중견기업연합회 등 경제 단체는 다음주에 이 부회장에 대한 사면 건의서를 작성해 정부에 정식 건의하기로 했다 이 건의서에는 우리 경제가 어렵고 글로벌 반도체 시장 경쟁이 심화하는 상황에서 이 부회장의 부재가 한국 경제에 부정적인 영향을 주고 있다 며 대통령에 사면 검토를 요청하는 내용이 담긴다 이에 앞서 대한불교조계종 개 교구 본사 주지들은 지난 일 이 부회장의 선처를 호소하는 탄원서를 정부에 제출했다 문재인 대통령과 박병석 국회의장 정세균 당시 국무총리 등에 보낸 탄원서는 이 부회장에게 다시 한번 기회를 주시길 부탁드린다 는 내용이다 앞서 오규석 부산 기장군수는 지난 월에 이어 이달 일에도 또 이 부회장 사면을 요청하는 호소문을 청와대로 보냈다 뿐만 아니라 국내 최대 노인단체인 대한노인회도 코로나 백신 확보 등에 기여할 수 있도록 해야 한다며 특별사면을 건의했다 청와대 국민청원 게시판에도 올해 들어서만 건의 이 부회장 사면 건의가 올라왔다 하지만 정부와 여당은 신중한 입장이다 이와 관련 박범계 법무부 장관은 이 부회장의 가석방과 사면에 대해 검토한 바 없다 고 했다 이재용 삼성전자 부회장이 지난 월 일 오후 서울 서초구 서울고등법원에서 열리는 국정논단 관련 파기환송심 선고 공판에 출석하고 있다 사진 뉴시스 문재인 삼성전자 박범계 이재용 한미정상회담 이재용부회장 문재인백신 이재용사면 백신스와프 홍창기 기자
7,2021-04-23,"제이티, 삼성전자와 42.5억원 테스트핸들러 공급계약",이데일리 이은정 기자 제이티 는 삼성전자 와 억 만원 규모의 테스트핸드러 공급 계약을 맺었다고 일 공시했다 계약금은 지난해 매출액의 에 해당한다 계약기간은 이달 일부터 일까지다 이은정
8,2021-04-23,"삼성전자 '비스포크 냉장고', 색상 등 선택…맞춤형 냉장고 시대 열어",삼성전자 비스포크 냉장고 사진제공 삼성전자 아시아경제 정현진 기자 삼성전자가 라이프스타일과 공간에 따라 타입 컬러 소재 기능을 선택할 수 있는 비스포크 냉장고 를 통해 본격적인 맞춤형 냉장고의 시대를 열었다 년형 비스포크 냉장고는 썬 옐로우 그리너리 등 가지 제주 에디션 컬러를 더한 총 가지 패널에서 소비자가 색상을 선택할 수 있는 제품이다 글로벌 페인트 기업 벤자민 무어 와 협업한 컬러에 가지 맞춤형 색상 프리즘 를 도입해 소비자 선택의 폭을 넓혔다 쇼케이스 내부에는 베버리지 센터 를 적용해 취향에 맞춰 물과 얼음을 즐길 수 있다 냉장칸 내 멀티 팬트리는 단계 맞춤 온도를 설정할 수 있고 냉장고 우측 아래칸도 단계 온도 변경이 가능한 맞춤보관실이어서 식재료를 신선하게 보관할 수 있다 삼성전자는 온 오프라인을 통해 비스포크 냉장고를 직접 체험할 수 공간 등을 마련해왔다 하이엔드 편집숍 챕터원 현대백화점 식품 전문 온라인 서비스 현대식품관 투홈 등 여러 브랜드와 함께 하는 이색 콜라보레이션도 진행했다 여기에 비스포크 냉장고를 만날 수 있는 온라인 이벤트 조인 더 비스포크 도 운영한다 이 이벤트는 비스포크 사용자부터 사용하지 않는 소비자까지 누구나 참여할 수 있다 또 삼성 디지털프라자에 가지 컬러 패널로 나만의 냉장고를 직접 조합하고 체험해볼 수 있는 비스포크 아틀리에 도 운영한다 삼성전자 관계자는 비스포크 냉장고는 신드롬을 넘어 새로운 맞춤형 가전 문화를 만들었다 앞으로도 삼성전자 냉장고가 소비자 중심의 가전 시대를 선도하며 우리의 삶을 더 풍요롭고 가치있게 만들어나가기를 기대한다 고 말했다 정현진 기자
9,2021-04-23,"삼성전자 '네오 QLED 8K', 퀀텀 미니 LED 최고 수준 명암비·...",삼성전자 네오 사진제공 삼성전자 아시아경제 정현진 기자 삼성전자는 올해 프리미엄 신제품 네오 를 바탕으로 중심으로 세계 판매 위 라는 기록을 년째 유지한다는 목표를 세웠다 네오 는 기존 소자 대비 분의 크기인 퀀텀 미니 가 빛을 세밀하게 컨트롤하는 네오 퀀텀 매트릭스 프로 기술로 업계 최고 수준의 명암비와 블랙 디테일을 구현하는 제품이다 저해상도 영상을 의 해상도로 개선하는 네오 퀀텀 프로세서 는 컨텐츠에 따라 화질을 최적화해 세밀하게 표현하는 특징이 있다 또 영상 속 사물의 움직임에 따라 소리가 함께 움직이는 무빙 사운드 프로 스피커와 사운드 바에서 동시에 사운드를 출력하는 심포니 로 풍성하고 입체적인 사운드를 제공한다 여기에 인피니티 스크린 은 화면의 검은 테두리와 베젤이 에 불과해 화면 속 영상에 집중할 수 있도록 돕는다 홈 엔터테인먼트 특화 기능도 네오 의 특징 중 하나다 화면을 최대 개로 분리해서 볼 수 있는 멀티뷰 기능과 함께 카메라를 연결해 운동 영상과 내 모습을 보면서 운동할 수도 있도록 했다 화면의 밀림이나 찢김을 줄이는 의 프리싱크 프리미엄 프로 와 의 빠른 게임 모션을 구현하는 모션 터보 기술을 적용해 고사양 게임도 부드럽게 플레이가 가능하다 또 인풋 랙을 최단 시간으로 단축해 빠른 게임도 지연 없이 즐길 수 있고 대 까지 원하는 대로 화면 비율을 조정해 게임을 즐길 수 있으며 번인 액정 잔상 걱정도 없다 정현진 기자
