time,title,context
2021-05-10,"네이버, 1769억 규모 자사주 처분 결정",아시아경제 임춘한 기 네이버 글로벌 컨텐츠 사업 다각화 북미사업 강화 자사주 주 시간외대량매매 처분 결정 일 공시 처분예정금액 억 만원 임춘한 기자
2021-05-10,"네이버, 1769억 규모 자사주 처분 결정",헤럴드경제 증권부 네이버 글로벌 컨텐츠 사업 다각화 북미사업 강화 자사주 주 시간외대량매매 처분 결정 일 공시 처분예정금액 억 만원 처분예정기간 일
2021-05-10,"네이버, 왓패드 수 1769억 자사주 매각",머니투데이 윤지혜 기 네이버 로고 네이버 북미 웹소설 플랫폼 왓패드 수 억원 규모 지분 매각 일 금융감독원 전자공시시스템 네이버 일 시간 외 대량매매 블록딜 로 억원 규모 자사주 주 매각 공시 주당 가격 원 네이버 글로벌 콘텐츠 사업 다각화 북미사업 강화 자사주 처분 라 왓패드 인수 대 중 일부 매도자 자기주식 지급 진행 것 이 네이버 왓패드 주식 억 만주 억원 취득 취득금액 중 억원 현금 억원 자기주식 지급 취득금액 네이버 자기자본 수준 윤지혜 기자
2021-05-10,"네이버, 서울대 연구센터",서울대 연구원 명 참여 년 수백억원 규모 투 최강 인프라 인력 시너지 기대 최인혁 네이버 최고운영책임자 왼쪽 첫번 서울대학교 연구원 함종민 산학협력센터장 장병탁 원장 전병곤 부원장 일 온라인 공동연구 협약 뒤 기념촬영 네이버 제공 네이버 서울대학교 초대규모 인공지능 공동연구 네이버 서울대 연구원 여명 참여 년 연구비 인프라 지원비 등 포함 수백억원 규모 투자 계획 이 글로벌 리더십 목표 네이버 서울대 일 최인혁 네이버 최고운영책임자 서울대학교 연구원 장병탁 원장 등 주요 관계자들 참석 가운데 공동연구 협약 온라인 체결 네이버 서울대 서울대 네이버 초대규모 연구센터 연구센터 를 장기적 관점 연구 교육 협력 강화 계획 연구센터장 전병곤 서울대 교수 하정우 네이버 랩 소장 공동 연구센터 한국어 언어모델 발전 한편 언어 이미지 음성 이해 초대규모 를 개발 예정 네이버 연구진 겸직교수 서울대 대학원생들 전문가 성장 수 공동연구지도 방침 서울대 연구진 네이버 연구 적극적 참여 네이버 인재 양성 차원 서울대 학생들 인턴십 산학협력 파견 적극 협조키 네이버 보유 슈퍼컴퓨팅 인프 데이터 연구센터 활용 네이버 지난해 월 국내 기업 최초 초거대 언어모델 구축 슈퍼컴퓨터 도입 바 연구 성 회 이상 기술 공유 워크샵 개최 적극적 공유 예정 네이버 최인혁 산학협력 모델 바탕 네이버 서울대 연구진들 강력한 연구 시너지 면 네이버 인프라 데이터 양측 연구 역량 공동 연구센터 글로벌 경쟁자들 초대규모 분야 연구 선도 라 말 김미희 기자
2021-05-10,"네이버, 서울대 연구센터 설립…연구진 100명 투입",네이버 서울대 연구진 백여명 투입 수백억원 규모 하이퍼스케일 산학협력 시작 능가 한국어 기반 초대규모 발전 목표 네이버 연구원 서울대 교수 겸직 산학협력 모델 글로벌 리더십 확보 이데일리 김현아 기 협약식 참석 최인혁 네이버 정석근 클로바 대표 하정우 소장 서울대학교 연구원 장병탁 원장 전병곤 부원장 함종민 산학협력센터장 산업계 학계 연구 주도하 네이버 서울대 초대규모 공동 연구 네이버 서울대학교 일 오전 최인혁 네이버 서울대학교 연구원 장병탁 원장 등 주요 관계자들 참석 가운데 초대규모 공동연구 협약 온라인 체결 네이버 서울대 업계 패러다임 초대규모 분야 공동 연구 수행 서울대 네이버 초대규모 연구센터 공동센터장 전병곤 서울대 교수 하정우 네이버 소장 를 설립 네이버 서울대 연구원 여 명 참여 년 연구비 인프라 지원비 등 포함 수백억 원 규모 투자 이 초대규모 한국어 언어모델 발전 언어 이미지 음성 이해 초대규모 를 개발해 글로벌 기술 선도 것 목표 능가 한국어 기반 초대규모 를 것 샌프란시스코 인공지능 연구소 세대 언어 예측 모델 네이버 영어 외 언어 중 최초 초거대 언어모델 한국어 일본어 구축 기술 연구 장 뿐 일 사용자 사업자 등 서비스 경험 사업 기회 제공 계획 양측 협력 개별 프로젝트 중심 진행 일반적 산학협력 네이버 서울대 연구원들 하나 연구센터 구성해 밀착 협력 함종민 서울대학교 연구원 산학협력센터장 장병탁 연구원장 전병곤 연구원 연구부원장 네이버 연구진 겸직 교수 서울대 연구진 네이버 연구 참여 네이버 연구진 겸직 교수 서울대 대학원생들 전문가 성장 수 공동연구지도 서울대 연구진 네이버와 연구 적극적 참여 네이버 인재 양성 차원 서울대 학생들 인턴십 산학협력 파견 적극적 협조 국내 강결합 방식 산학협력 대규모 시도 것 페타플롭 이상 슈퍼컴 공유 이번 연구 네이버 국내 기업 최초 지난해 월 도입 페타플롭 초 안 수 연산처리 조번 것 이상 슈퍼컴퓨터 서울대 공유 네이버 보유 슈퍼컴퓨팅 인프 데이터 공동 연구센터 활용 수 공유 것 연구 성 회 이상 기술 공유 워크샵 개최 등 적극적 공유 예정 장병탁 서울대 연구원장 네이버 최인혁 산학협력 모델 바탕 네이버 서울대 연구진들 강력한 연구 시너지 면 네이버 인프라 데이터 양측 연구 역량 공동 연구센터 글로벌 경쟁자들 초대규모 분야 연구 선도 라 말 장병탁 서울대학교 연구원장 분야 혁신적 연구 인프라 인력 중요 면 네이버 우수 인프라 양측 인재들 힘 글로벌 경쟁력 를 개발 수 확신 김현
2021-05-10,"네이버, 서울대 수백억 규모 연구센터",연구진 명 투입 한국어 기반 초대규모 네이버 연구원 서울대 교수겸직 등 밀착협력 파이낸셜뉴스 네이버 서울대학교 초대규모 인공지능 공동연구 네이버 서울대 연구원 여명 참여 년 연구비 인프라 지원비 등 포함 수백억원 규모 투자 계획 이 글로벌 리더십 목표 네이버 서울대 일 최인혁 네이버 최고운영책임자 서울대학교 연구원 장병탁 원장 등 주요 관계자들 참석 가운데 공동연구 협약 온라인 체결 네이버 서울대 서울대 네이버 초대규모 연구센터 연구센터 를 장기적 관점 연구 교육 협력 강화 계획 연구센터장 전병곤 서울대 교수 하정우 네이버 랩 소장 공동 연구센터 한국어 언어모델 발전 한편 언어 이미지 음성 이해 초대규모 를 개발 예정 네이버 연구진 겸직교수 서울대 대학원생들 전문가 성장 수 공동연구지도 방침 서울대 연구진 네이버 연구 적극적 참여 네이버 인재 양성 차원 서울대 학생들 인턴십 산학협력 파견 적극 협조키 네이버 보유 슈퍼컴퓨팅 인프 데이터 연구센터 활용 네이버 지난해 월 국내 기업 최초 초거대 언어모델 구축 슈퍼컴퓨터 도입 바 연구 성 회 이상 기술 공유 워크샵 개최 적극적 공유 예정 최인혁 네이버 최고운영책임자 화 왼쪽 첫 번 서울대학교 연구원 함종민 산학협력센터장 장병탁 원장 전병곤 부원장 일 온라인 공동연구 협약 뒤 기념촬영 네이버 제공 네이버 최인혁 산학협력 모델 바탕 네이버 서울대 연구진들 강력한 연구 시너지 면 네이버 인프라 데이터 양측 연구 역량 공동 연구센터 글로벌 경쟁자들 초대규모 분야 연구 선도 라 말 장병탁 서울대학교 연구원장 분야 혁신적 연구 인프라 인력 중요 며 네이버 우수 인프라 양측 인재들 힘 글로벌 경쟁력 를 개발 수 확신 인공지능 네이버 글로벌 서울대 김미희 기자
2021-05-10,"[공시]네이버, 1769억원 규모 자기주식 처분 결정",파이낸셜뉴스 네이버 글로벌 컨텐츠 사업 다각화 북미사업 강화 목적 자기주식 주 시간외대량매매 방법 처분 결정 일 공시 처분 예정금액 억원 만원 김민기 기자
2021-05-10,"네이버, 1769억원 규모 자기주식 처분 결정",이데일리 송영두 기 네이버 글로벌 컨텐츠 사업 다각화 북미사업 강화 목적 자기주식 주 시간외대량매매 방법 처분 결정 일 공시 처분 예정금액 억원 만원 송영두
2021-05-10,"“연구진 100명 투입”…네이버, 서울대 ‘초대규모’ 연구센터",네이버 서울대 초대규모 분야 공동연구 협약 연구진 여명 공동 연구센터 설립 수백억원 규모 투 진행 네이버 연구원 서울대 교수 겸직 하나 공동체 밀착 협력 산학협력 모델 글로벌 리더십 확보 한성숙 네이버 대표 연합 헤럴드경제 김민지 기 네이버 서울대 인공지능 업계 패러다임 초대규모 분야 공동 연구 네이버 서울대학교 일 오전 초대규모 공동연구 협약 체결 협약식 온라인 진행 최인혁 네이버 최고운영책임자 서울대학교 연구원 장병탁 원장 등 주요 관계자들 참석 네이버 서울대 서울대 네이버 초대규모 연구센터 를 설립해 장기적 관점 연구 교육 협력 강화 센터장 전병곤 서울대 교수 하정우 네이버 랩 소장 공동 네이버 서울대 연구원 여 명 참여 년 연구비 인프라 지원비 등 포함 수백억원 규모 투자 진행 초대규모 한국어 언어모델 발전 언어 이미지 음성 이해 초대규모 를 개발해 글로벌 기술 선도 것 목표 동안 개별 프로젝트 중심 진행 산학협력 양기관 연구원들 하나 연구센터 구성해 밀착 협력 네이버 연구진 겸직 교수 서울대 대학원생들 전문가 성장 수 공동연구지도 서울대 연구진 네이버와 연구 적극적 참여 네이버 분당 사옥 헤럴드경제 네이버 인재 양성 차원 서울대 학생들 인턴십 산학협력 파견 적극 협조 국내 강결합 방식 산학협력 대규모 시도 것 사례 네이버 보유 슈퍼컴퓨팅 인프 데이터 공동 연구센터 활용 수 공유 네이버 지난해 월 국내 기업 최초 초거대 언어모델 구축 슈퍼컴퓨터 도입 바 연구 성 회 이상 기술 공유 워크샵 개최 등 적극적 공유 예정 최인혁 네이버 산학협력 모델 바탕 네이버 서울대 연구진들 강력한 연구 시너지 면 네이버 인프라 데이터 양측 연구 역량 공동 연구센터 글로벌 경쟁자들 초대규모 분야 연구 선도 이 말 장병탁 서울대학교 연구원장 분야 혁신적 연구 인프라 인력 중요 강조 네이버 우수 인프라 양측 인재들 힘 글로벌 경쟁력 를 개발 수 확신
2021-05-10,네이버-서울대 초대규모 연구센터 설립…연구진 100 명 투입,머니투데이 이동우 기 네이버 로고 네이버 서울대 손 초대규모 공동 연구 네이버 서울대학교 일 오전 초대규모 공동연구 협약 온라인 체결 협약식 최인혁 네이버 최고운영책임자 서울대 연구원 장병탁 원장 등 주요 관계자들 참석 가운데 진행 네이버 서울대 업계 패러다임 초대규모 분야 공동 연구 수행 초대규모 딥러닝 이용 사람 언어 구현 언어 모델 막대 데이터 필요 서울대 네이버 초대규모 연구센터 를 설립해 장기적 관점 연구 교육 협력 강화 계획 공동센터장 전병곤 서울대 교수 하정우 네이버 소장 이번 공동 연구 네이버 서울대 연구원 여명 참여 년 연구비 인프라 지원비 등 포함 수백억원 규모 투자 진행 초대규모 한국어 언어모델 발전 언어 이미지 음성 이해 초대규모 를 개발해 글로벌 기술 선도 것 목표 네이버 연구진 겸직 교수 서울대 대학원생들 전문가 성장 수 공동 연구 지도 네이버 인재 양성 차원 서울대 학생들 인턴십 산학협력 파견 적극 협조 원활한 연구 협력 네이버 보유 슈퍼컴퓨팅 인프라 데이터 공동 연구센터 활용 수 공유 네이버 지난해 월 국내 기업 최초 초거대 언어모델 구축 슈퍼컴퓨터 도입 바 최인혁 네이버 산학협력 모델 바탕 네이버 서울대 연구진들 강력한 연구 시너지 며 네이버 인프라 데이터 양측 연구 역량 공동 연구센터 글로벌 경쟁자들 초대규모 분야 연구 선도 이 말 장병탁 서울대 연구원장 분야 혁신적 연구 인프라 인력 중요 며 네이버 우수 인프라 양측 인재들 힘 글로벌 경쟁력 를 개발 수 확신 말 이동우 기자
