,날짜,기사제목,본문내용
0, 2021.05.10 17:57,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0004636170&amp;office_id=014&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclust','','',event);"" target=""_top"">SK하이닉스, 작년 사회적 가치 5조 창출.. 반도체 힘입어 경제간접 ...</a></td>",사회공헌 사회성과는 억원 하이닉스가 지난해 약 조원 규모의 사회적 가치를 창출한 것으로 나타났다 하이닉스는 일 이 같은 내용의 년 사회적 가치 창출 실적을 발표했다 납세 고용 배당 등 경제간접 기여 성과가 조 억원 사회 노동 동반성장 와 환경 분야의 비지니스 사회성과 억원 기부 사회공헌활동 등 사회공헌 사회성과 억원 등으로 집계됐다 경제간접 기여 성과는 지난해부터 반도체 업황이 개선되면서 전년대비 사회적 가치 창출액이 조 억원 증가했다 하지만 같은기간 비지니스 사회 성과는 온실가스 배출 등 환경 영향으로 부정적 영향이 억원 커졌다 사회공헌 사회성과는 코로나 극복 집중 지원 등으로 억원 늘었다 경제간접 기여 성과는 납세 고용 배당 전 분야에서 의미 있는 실적을 거뒀다 납세 분야 성과액은 늘었다 취약계층 고용 측면에서 지난해 장애인 의무고용률 전체 구성원의 목표를 달성했다 배당 역시 성과액이 증가했다 비지니스 사회성과는 환경 분야에서 억원 증가한 억원의 부정적 비용이 발생했다 이는 반도체 제품 생산 과정에서 물과 전기를 대량으로 사용하고 온실가스를 배출하는 제조산업의 특성에 따른 결과다 하이닉스 관계자는 사적으로 자원 재활용 등 노력을 기울인 결과 단위 생산당 온실가스 배출량은 이전보다 감소했으나 절대적인 배출량이 늘었다 며 환경 악영향을 줄이기 위해 환경기술 개발 등 다방면으로 노력해 온실가스 배출 총량을 줄이는 데 역점을 두겠다 고 말했다 다만 사회 영역에서 증가한 억원 제품 서비스 영역에서 늘어난 억원의 성과를 기록해 환경 분야 부정적 영향을 일부 상쇄했다 사회공헌 사회성과는 증가한 억원의 실적을 기록했다 지난해 하이닉스는 의료진을 격려하기 위해 덕분에 챌린지 에 동참하고 사회 안전망 구축을 위해 저소득층 아동의 재택 교육에 필요한 스마트 기기를 지원했다 향후 하이닉스는 지난 월 발표한 사회적 가치 창출 중장기 추진 계획인 을 실천하는 데 전사적인 역량을 집중할 계획이다 탄소 중립 달성 반도체 생태계 활성화 사회 안전망 구축 다양성 포용성에 기반한 기업문화 정착 등 주요 목표를 설정했다 특히 메모리반도체 업계 최초로 에 가입했다 이란 년까지 기업이 사용하는 전력 를 재생에너지로 충당한다는 선언이다 하이닉스는 온실가스 배출 최소화 폐기물 저감 및 수자원 재활용 확대 등 환경 분야 개선에 박차를 가하기로 했다 또 기존 저장장치인 하드디스크드라이브 를 저전력 솔리드스테이트드라이브 로 대체하는 노력을 지속할 방침이다 김경민 기자
1, 2021.05.10 17:39,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0004791881&amp;office_id=009&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclustsub','','',event);"" target=""_top""><span class=""ico_reply""></span>고용·배당늘린 SK하이닉스, 4조8000억 사회적 가치 창출</a></td>",작년 반도체 호황에 납세 늘어 전년대비 사회성과 증가 하이닉스 대표 박정호 이석희 가 지난해 조 억원의 사회적 가치 를 창출했다고 밝혔다 반도체 산업의 호황으로 납세와 고용 배당 등 경제간접 기여성과가 커지고 사회공헌활동과 기부 등이 늘어나면서 년 대비 증가세를 보였다 주요 관계사들은 년부터 매년 경제간접 기여성과 비즈니스 사회성과 사회공헌 사회성과 등 가지 분야에서 창출한 사회적 가치를 수치화해 발표하고 있다 일 하이닉스는 지난해 납세 고용 배당 등 경제간접 기여성과 는 조 억원 사회 노동 동반성장 와 환경 분야의 비즈니스 사회성과 는 억원 기부 사회공헌활동 등 사회공헌 사회성과 는 억원으로 집계됐다고 밝혔다 경제간접 기여성과는 지난해부터 반도체 업황이 개선되면서 납세 고용 배당 전 분야에서 의미 있는 성장이 이루어졌다 이에 따라 전년 대비 사회적 가치 창출액이 증가했다 이 중 납세 분야 성과액이 늘어났으며 취약계층 고용 측면에서도 지난해 장애인 의무고용률 전체 구성원의 목표를 달성했다 배당도 성과액이 전년 대비 증가했다 하이닉스는 올해 반도체 경기가 상승세를 타면서 경제간접 기여성과는 지속해서 커질 것으로 전망하고 있다 비즈니스 사회성과는 부정적 영향이 증가했다 환경 분야에서 년보다 억원 증가한 억원의 부정적 비용이 발생한 영향이다 생산 과정에서 물과 전기를 대량으로 사용하고 온실가스를 배출하는 반도체 산업의 특성에 따른 결과라는 게 하이닉스의 설명이다 하이닉스 관계자는 전사적으로 자원 재활용 등 노력을 기울인 결과 단위 생산당 온실가스 배출량은 이전보다 감소했다 고 밝혔다 박재영 기자
2, 2021.05.10 11:10,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0001833011&amp;office_id=016&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclustsub','','',event);"" target=""_top""><span class=""ico_reply""></span>SK하이닉스, 작년 사회적가치 4.9조 창출...전년대비 36% ↑</a></td>",납세 고용 배당 등 간접기여 급증 기부 사회공헌활동도 증가 비즈니스 사회성과 아쉬움 지난해 하이닉스가 창출한 사회적 가치가 년대비 증가했다 납세 고용 배당 등 경제간접 기여성과 가 크게 증가한 영향이다 하이닉스가 지난해 조 억원의 사회적 가치 를 창출했다고 일 밝혔다 부문별로는 납세 고용 배당 등 경제간접 기여성과가 조 억원으로 전년대비 증가했다 사회 노동 동반성장 와 환경 분야의 비즈니스 사회성과 는 마이너스 억원으로 같은 기간 감소했다 기부 사회공헌활동 등 사회공헌 사회성과 는 억원으로 같은 기간 불어났다 특히 경제간접 기여성과는 납세 고용 배당 전 분야에서 의미 있는 실적을 거뒀다 납세 분야 성과액은 전년 대비 증가하는 등 대폭 늘었다 또 취약계층 고용 측면에서 장애인 의무고용률 상시 인 이상 민간기업의 경우 전체 구성원의 목표를 달성했다 배당 역시 성과액이 전년 대비 증가했다 하이닉스는 올해 반도체 경기가 상승세를 타면서 경제간접 기여성과는 지속해서 커질 것으로 보고 있다 비즈니스 사회성과는 환경 분야에서 년보다 억원 증가한 억 원의 부정적 비용이 발생했다 이는 반도체 제품 생산 과정에서 물과 전기를 대량으로 사용하고 온실가스를 배출하는 제조산업의 특성에 따른 결과다 하이닉스 관계자는 전사적으로 자원 재활용 등 노력을 기울인 결과 단위 생산당 온실가스 배출량은 이전보다 감소했다 며 하지만 절대적인 배출량이 늘었다는 점에 대해서는 이해관계자들에게 송구스러움을 느끼고 있다 고 밝혔다 다만 하이닉스는 사회 영역에서 전년 대비 증가한 억원 제품 서비스 영역에서는 늘어난 억원의 성과를 기록해 환경 분야 부정적 영향을 일부 상쇄했다 소재 부품 장비 국산화 비중을 높이기 위한 기술혁신기업 프로그램 과 분석 측정 지원센터 를 운영하는 등 협력사 지원을 강화한 영향이다 사회공헌 사회성과도 크게 증가했다 지난해 하이닉스는 의료진을 격려하기 위해 덕분에 챌린지 에 동참하고 사회 안전망 구축을 위해 저소득층 아동의 재택 교육에 필요한 스마트 기기를 지원하는 등 코로나 극복에 힘썼다 한편 하이닉스는 지난 월 발표한 사회적 가치 창출 중장기 추진 계획인 을 실천하는 데 전사적인 역량을 집중하겠다는 계획이다 김성미 기자
3, 2021.05.10 10:19,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0004635730&amp;office_id=014&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclustsub','','',event);"" target=""_top""><span class=""ico_reply""></span>SK하이닉스, 작년 사회적 가치 약 5조 창출 ""ESG 강화""</a></td>",경제간접 기여성과 조 억원 비지니스 사회성과 억원 사회공헌 사회성과 억원 파이낸셜뉴스 하이닉스가 지난해 약 조원 규모의 사회적 가치를 창출한 것으로 나타났다 하이닉스는 일 이 같은 내용의 년 사회적 가치 창출 실적을 발표했다 납세 고용 배당 등 경제간접 기여 성과가 조 억원 사회 노동 동반성장 와 환경 분야의 비지니스 사회성과 억원 기부 사회공헌활동 등 사회공헌 사회성과 억원 등으로 집계됐다 경제간접 기여 성과는 지난해부터 반도체 업황이 개선되면서 전년대비 사회적 가치 창출액이 조 억원 증가했다 하지만 같은기간 비지니스 사회 성과는 온실가스 배출 등 환경 영향으로 부정적 영향이 억원 커졌다 사회공헌 사회성과는 코로나 극복 집중 지원 등으로 억원 늘었다 경제간접 기여 성과는 납세 고용 배당 전 분야에서 의미 있는 실적을 거뒀다 납세 분야 성과액은 늘었다 취약계층 고용 측면에서 지난해 장애인 의무고용률 전체 구성원의 목표를 달성했다 배당 역시 성과액이 증가했다 비지니스 사회성과는 환경 분야에서 억원 증가한 억원의 부정적 비용이 발생했다 이는 반도체 제품 생산 과정에서 물과 전기를 대량으로 사용하고 온실가스를 배출하는 제조산업의 특성에 따른 결과다 하이닉스 관계자는 사적으로 자원 재활용 등 노력을 기울인 결과 단위 생산당 온실가스 배출량은 이전보다 감소했으나 절대적인 배출량이 늘었다 며 환경 악영향을 줄이기 위해 환경기술 개발 등 다방면으로 노력해 온실가스 배출 총량을 줄이는 데 역점을 두겠다 고 말했다 다만 사회 영역에서 증가한 억원 제품 서비스 영역에서 늘어난 억원의 성과를 기록해 환경 분야 부정적 영향을 일부 상쇄했다 사회공헌 사회성과는 증가한 억원의 실적을 기록했다 지난해 하이닉스는 의료진을 격려하기 위해 덕분에 챌린지 에 동참하고 사회 안전망 구축을 위해 저소득층 아동의 재택 교육에 필요한 스마트 기기를 지원했다 향후 하이닉스는 지난 월 발표한 사회적 가치 창출 중장기 추진 계획인 을 실천하는 데 전사적인 역량을 집중할 계획이다 탄소 중립 달성 반도체 생태계 활성화 사회 안전망 구축 다양성 포용성에 기반한 기업문화 정착 등 주요 목표를 설정했다 특히 메모리반도체 업계 최초로 에 가입했다 이란 년까지 기업이 사용하는 전력 를 재생에너지로 충당한다는 선언이다 하이닉스는 온실가스 배출 최소화 폐기물 저감 및 수자원 재활용 확대 등 환경 분야 개선에 박차를 가하기로 했다 또 기존 저장장치인 하드디스크드라이브 를 저전력 솔리드스테이트드라이브 로 대체하는 노력을 지속할 방침이다 김경민 기자
4, 2021.05.10 10:15,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0003907933&amp;office_id=011&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclustsub','','',event);"" target=""_top""><span class=""ico_reply""></span>SK하이닉스, 작년 사회적 가치 4.9조 창출했다</a></td>",납세 고용 배당 등 간접기여 급증 온실가스 배출로 환경분야는 악화 하이닉스 년 사회적 가치 실적 사진 제공 하이닉스 서울경제 하이닉스 대표 이석희 사진 가 지난해 조 억 원에 달하는 사회적 가치 를 창출한 것으로 나타났다 하이닉스가 일 발표한 년 사회적 가치 창출 실적 에 따르면 회사는 납세 고용 배당 등 경제 간접 기여 성과 조 억 원 사회 노동 동반성장 와 환경 분야의 비즈니스 사회 성과 억 원 기부 사회공헌활동 등 사회 공헌 사회 성과 억 원의 사회적 가치를 창출했다 주요 관계사들은 지난 년부터 매년 위의 세 가지 분야에서 전년에 창출한 사회적 가치를 수치화해 발표하고 있다 경제 간접 기여 성과 는 지난해부터 반도체 업황이 개선되면서 전년 대비 사회적 가치 창출액이 조 억 원 증가했다 세부적으로 보면 납세 분야 성과액이 전년 대비 대폭 늘었다 또 취약 계층 고용 측면에서 하이닉스는 지난해 장애인 의무고용률 상시 인 이상 민간기업의 경우 전체 구성원의 목표를 달성했다 배당 역시 성과액이 전년 대비 증가했다 하지만 비즈니스 사회 성과 는 온실가스 배출 등 환경 영향으로 인해 부정적 영향이 전년 대비 억 원 커졌다 사회 공헌 사회 성과 는 코로나 극복 집중 지원 등으로 억 원 늘어났다 김윤욱 하이닉스 부사장 지속경영담당 은 년째 사회적 가치 성과를 발표하면서 측정의 객관성과 신뢰도를 높여 왔다 며 앞으로 경영을 강화함과 동시에 사회적 가치 창출 규모를 키워가면서 인류와 사회에 기여하는 방법을 모색하겠다 고 말했다 전희윤 기자
5, 2021.05.10 10:07,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0004584783&amp;office_id=008&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclustsub','','',event);"" target=""_top""><span class=""ico_reply""></span>SK하이닉스 작년 사회적가치 4.9조…경제기여·사회공헌 늘었다</a></td>",머니투데이 심재현 기자 자료 하이닉스 하이닉스가 지난해 조 억원의 사회적 가치를 창출했다고 일 밝혔다 납세 고용 배당 등 경제 간접기여 성과가 늘면서 사회적 가치 규모가 전년보다 늘었다 주요 관계사들은 년부터 매년 경제 간접기여 성과와 비즈니스 사회성과 사회공헌 사회성과 등 가지 분야에서 창출한 사회적 가치를 수치화해 발표한다 하이닉스는 지난해 납세 고용 배당 등 경제 간접기여 성과가 조 억원으로 전년보다 늘고 노동 동반성장 등 사회와 환경 분야의 비즈니스 사회성과는 마이너스 억원으로 줄었다고 밝혔다 기부 사회공헌활동 등 사회공헌 사회성과는 억원으로 같은 기간 증가한 것으로 집계됐다 지난해부터 반도체 업황이 개선되면서 경제 간접기여 성과가 특히 의미 있는 실적을 거뒀다 납세 분야 성과액이 전년보다 늘었고 취약계층 고용 측면에서 장애인 의무고용률 상시 인 이상 민간기업의 경우 전체 구성원의 목표도 달성했다 하이닉스는 올해 반도체 경기가 상승세를 타면서 경제 간접기여 성과가 꾸준히 확대될 것으로 내다봤다 비즈니스 사회성과에서는 반도체 생산 과정에서 물과 전기를 대량으로 사용하고 온실가스를 배출하는 특성상 환경 분야에서만 년보다 억 원 증가한 억원의 부정적 비용이 발생했다 하이닉스 관계자는 전사적으로 자원 재활용 등 노력을 기울인 결과 단위 생산당 온실가스 배출량은 이전보다 줄었지만 절대적인 배출량이 늘었다 며 환경 악영향을 줄이기 위해 환경기술 개발 등 다방면으로 노력해 온실가스 배출 총량을 줄이는 데 역점을 두겠다 고 밝혔다 하이닉스는 다만 사회 영역에서 전년보다 증가한 억원 제품 서비스 영역에서는 늘어난 억원의 성과를 내 환경 분야의 부정적 영향을 일부 상쇄했다 소재 부품 장비 국산화 비중을 높이기 위한 기술혁신기업 프로그램과 분석 측정 지원센터를 운영하는 등 협력사 지원을 강화한 결과다 사회공헌 사회성과도 지난해 의료진을 격려하기 위해 덕분에 챌린지 에 동참하고 사회 안전망 구축을 위해 저소득층 아동의 재택 교육에 필요한 스마트 기기를 지원하는 등 코로나 극복에 힘쓴 점이 반영되면서 대폭 확대됐다 하이닉스는 지난 월 발표한 사회적 가치 창출 중장기 추진 계획 을 실천하는 데 전사적인 역량을 집중하겠다는 계획이다 특히 메모리반도체 업계 최초로 년까지 기업이 사용하는 전력 를 재생에너지로 충당한다는 선언 에 가입한 만큼 온실가스 배출 최소화 폐기물 저감 및 수자원 재활용 확대 등 환경 분야 개선에 박차를 가하기로 했다 기존 저장장치인 하드디스크 드라이브 를 저전력 솔리드 스테이트 드라이브 로 대체하는 노력을 지속해 친환경 기술 확대에도 힘쓸 계획이다 김윤욱 하이닉스 지속경영담당 부사장은 년째 사회적 가치 성과를 발표하면서 측정의 객관성과 신뢰도를 높여왔다 며 앞으로 환경 사회 지배구조 경영을 강화하는 동시에 사회적 가치 창출 규모를 키우겠다 고 말했다 심재현 기자
6, 2021.05.10 09:40,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0001832870&amp;office_id=016&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclustsub','','',event);"" target=""_top""><span class=""ico_reply""></span>SK하이닉스, 지난해 사회적가치 4.9조 창출…전년比 36%↑</a></td>",조 억원 사회적 가치 창출 납세 고용 배당 등 경제간접 기여성과 급증 비즈니스 사회성과 온실가스 배출량 증가는 아쉬워 코로나 극복 지원 등 사회공헌 증가 제공 하이닉스 헤럴드경제 김성미 기자 지난해 하이닉스가 창출한 사회적 가치가 년대비 증가했다 납세 고용 배당 등 경제간접 기여성과 가 크게 증가한 영향이다 하이닉스가 지난해 조 억원의 사회적 가치 를 창출했다고 일 밝혔다 부문별로는 납세 고용 배당 등 경제간접 기여성과가 조 억원으로 전년대비 증가했다 사회 노동 동반성장 와 환경 분야의 비즈니스 사회성과 는 마이너스 억원으로 같은 기간 감소했다 기부 사회공헌활동 등 사회공헌 사회성과 는 억원으로 같은 기간 불어났다 특히 경제간접 기여성과는 납세 고용 배당 전 분야에서 의미 있는 실적을 거뒀다 납세 분야 성과액은 전년 대비 증가하는 등 대폭 늘었다 또 취약계층 고용 측면에서 장애인 의무고용률 상시 인 이상 민간기업의 경우 전체 구성원의 목표를 달성했다 배당 역시 성과액이 전년 대비 증가했다 하이닉스는 올해 반도체 경기가 상승세를 타면서 경제간접 기여성과는 지속해서 커질 것으로 보고 있다 비즈니스 사회성과는 환경 분야에서 년보다 억원 증가한 억 원의 부정적 비용이 발생했다 이는 반도체 제품 생산 과정에서 물과 전기를 대량으로 사용하고 온실가스를 배출하는 제조산업의 특성에 따른 결과다 하이닉스 관계자는 전사적으로 자원 재활용 등 노력을 기울인 결과 단위 생산당 온실가스 배출량은 이전보다 감소했다 며 하지만 절대적인 배출량이 늘었다는 점에 대해서는 이해관계자들에게 송구스러움을 느끼고 있다 고 밝혔다 다만 하이닉스는 사회 영역에서 전년 대비 증가한 억원 제품 서비스 영역에서는 늘어난 억원의 성과를 기록해 환경 분야 부정적 영향을 일부 상쇄했다 소재 부품 장비 국산화 비중을 높이기 위한 기술혁신기업 프로그램 과 분석 측정 지원센터 를 운영하는 등 협력사 지원을 강화한 영향이다 사회공헌 사회성과도 크게 증가했다 지난해 하이닉스는 의료진을 격려하기 위해 덕분에 챌린지 에 동참하고 사회 안전망 구축을 위해 저소득층 아동의 재택 교육에 필요한 스마트 기기를 지원하는 등 코로나 극복에 힘썼다 한편 하이닉스는 지난 월 발표한 사회적 가치 창출 중장기 추진 계획인 을 실천하는 데 전사적인 역량을 집중하겠다는 계획이다
7, 2021.05.10 17:34,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0004543913&amp;office_id=015&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclust','','',event);"" target=""_top"">SK하이닉스 ""年 4.9조 사회적가치 창출""</a></td>",취약층 고용 등 증가 하이닉스는 올 들어 주요 사업장에서 냉각수를 재사용하는 워터프리스크러버 도입을 확대하고 있다 한 직원이 이천 사업장에 설치된 워터프리스크러버를 점검하고 있다 하이닉스 제공 하이닉스는 지난해 창출한 사회적 가치 가 조 억원에 달하는 것으로 나타났다고 일 발표했다 년 조 억원보다 사회적 가치 창출액이 늘었다 는 그룹에서 활용하는 계열사 평가 기준의 하나로 환경 사회 지배구조 와 의미가 비슷하다 하이닉스의 를 부문별로 보면 납세 고용 배당 등 경제 간접기여 성과 가 조 억원 사회와 환경 분야 비즈니스 사회성과 가 억원 기부 사회공헌활동 등 사회공헌 사회성과 가 억원으로 집계됐다 눈에 띄는 부문은 경제 간접기여 성과다 반도체 업황 개선에 힘입어 전년보다 납세액이 배당이 증가했다 고용 부문에선 취약계층 의무고용률이 기준치를 넘어섰다 하이닉스와 같은 대기업은 전체 구성원의 를 장애인 등 취약계층으로 선발해야 한다 이를 지키지 못하면 벌금을 물게 된다 비즈니스 사회성과 부문에서는 마이너스 폭이 커졌다 년 억원이던 환경 분야 성과가 지난해 억원으로 악화된 영향이다 하이닉스 관계자는 전사적으로 자원 재활용 등에 노력을 기울여 단위 생산량당 온실가스 배출량은 이전보다 감소했지만 절대 배출량은 오히려 늘었다 고 말했다 업계에서는 이 같은 결과에 대해 제조업체의 숙명 이라고 설명했다 업황 개선으로 공장 가동률이 올라가면 온실가스 등 오염물질 배출량도 늘어날 수밖에 없기 때문이다 반도체는 전력과 물 소모량이 많아 환경과 관련된 점수가 높지 않은 업종으로 알려져 있다 사회공헌 사회성과는 전년 대비 증가한 억원으로 집계됐다 지난해 하이닉스는 의료진을 응원하는 덕분에 챌린지 에 동참하고 사회 안전망 구축을 위해 저소득층 아동의 재택 교육에 필요한 스마트 기기를 지원하는 등 코로나 극복에 힘썼다 송형석 기자
8, 2021.05.10 10:51,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0004635782&amp;office_id=014&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclust','','',event);"" target=""_top"">SK하이닉스, 낸드 사업 분사설에 ""사실무근""</a></td>",기술사무직 노조 사실확인 요청에 답변 파이낸셜뉴스 하이닉스가 최근 낸드플래시 사업부문의 분사설에 대해 사실무근이라고 밝혔다 일 반도체 업계에 따르면 하이닉스는 지난 일 기술사무직 노조 측이 요청한 솔루션 개발 조직 분사에 대한 사실확인 건에 대해 사실무근이며 전혀 고려한 적이 없다 고 답변했다 앞서 노조는 공문에서 최근 구성원들 사이에서 솔루션 개발 조직 분사에 대한 소문이 돌고 있다 며 분사에 대한 소문이 일파만파 퍼지고 불안해하는 구성원들을 위해 회사의 공식적인 사실관계를 공지해달라 고 요청했다 최근 업계에서는 하이닉스가 인텔 낸드 사업을 인수한 후 사내의 컨트롤러 개발담당인 솔루션 조직과 합병해 분사할 것이란 풍문이 돌았다 담당 임원이 퇴사해 분사할 회사의 수장을 맡게 되고 특정 건물에 입주하게 될 것이란 계획 등 구체적인 내용이 포함됐다 특히 이 과정에서 업무가 중복되는 부서 등의 구조조정이 있을 것이란 내용 등이 언급되면서 직원들이 불안감이 커졌다 이에 대해 하이닉스 측은 본지에 해당 내용의 풍문은 전혀 사실이 아니다 면서 회사는 관련 내용을 검토한 적도 없다 고 재차 강조했다 하이닉스는 지난해 월 인텔의 낸드플래시 솔리드스테이드드라이브 사업 부문을 조 억원에 인수하는 계약을 체결했다 올해 말 차로 조 억원을 지급하고 남은 조 억원은 년 월에 차로 제공한다 인텔의 낸드 단품 및 웨이퍼 사업 중국 다롄 공장 등이 인수 대상이다 이석희 하이닉스 대표는 지난 월말 정기주주총회에서 낸드를 램 만큼 안정적인 수익 구조로 바꾸기 위해 고민해왔으며 인텔 낸드 사업부의 인수는 그 해결 방안 가운데 하나 라고 말했다 이 사장은 이어 하이닉스는 낸드 모바일에 인텔은 에 강점을 가지고 있어 시너지를 극대화할 수 있다 인수가 완료되면 램에 이어 낸드 사업에서도 글로벌 선두권으로 도약할 것 이라고 설명했다 하이닉스는 올해 월 공정거래위원회에 인텔 낸드 사업 인수와 관련한 기업결합을 신고했다 미국은 이 기업결합을 이미 승인했고 한국 유럽연합 중국 브라질 영국 싱가포르 대만 총 개국에서 심사가 진행 중이다 공정위는 반도체 분야 시장구조 재편에 지장이 없도록 가급적 신속하게 심사를 진행할 것 이라고 전했다 김경민 기자
9, 2021.05.10 10:11,"<td class=""title""><a class=""tit"" href=""/item/news_read.nhn?article_id=0004543521&amp;office_id=015&amp;code=000660&amp;page=2&amp;sm="" onclick=""clickcr(this,'stn.ntitclust','','',event);"" target=""_top"">SK하이닉스 ""작년 사회적가치 4조8874억 창출""</a></td>",하이닉스는 지난해 조 억원의 사회적 가치 를 창출했다 고 일 밝혔다 납세와 고용 배당 등 경제 간접분야에서 조원 이상의 사회적 가치를 창출했으며 사회공헌 성과도 전년대비 이상 늘었다고 했다 하이닉스는 이날 발표한 년 사회적 가치 창출 실적 에서 납세 고용 배당 등 경제간접 기여성과가 조 억원 사회 노동 동반성장 와 환경 분야의 비즈니스 사회성과는 억원 기부 및 사회공헌활동 등 사회공헌 사회성과는 억원으로 집계됐다고 밝혔다 주요 관계사들은 년부터 매년 경제 간접기여 비즈니스 사회공헌 등 가지 분야에서 전년에 창출한 사회적 가치를 수치화해 발표하고 있다 하이닉스의 경제간접 기여성과는 조 억원으로 지난해 반도체 업황이 개선되면서 전년 대비 사회적 가치 창출액이 증가했다 하지만 비즈니스 사회성과는 온실가스 배출 등 환경 영향으로 인해 감소했으며 사회공헌 사회성과는 코로나 극복 집중 지원 등으로 늘었다 분야별 지표를 구체적으로 보면 경제간접 기여성과에서 납세 분야 성과액이 전년 대비 늘었다 고용 분야에서는 지난해 장애인 의무고용률 목표를 달성했다 배당도 성과액이 증가했다 비즈니스 사회성과는 환경 분야에서 억원의 부정적 비용이 발생하며 전년 대비 감소했다 하이닉스는 환경적 악영향을 줄이기 위해 온실가스 배출 총량을 줄이기 위한 기술 개발에 나선 상태다 비즈니스 사회성과의 사회 영역에서 전년비 증가한 억원 제품 서비스 영역에서 늘어난 억원의 성과를 거두며 환경 분야의 부정적 영향을 일부 줄였다 사회공헌 사회성과는 전년 대비 증가한 억원의 실적을 기록했다 지난해 하이닉스는 의료진을 격려하기 위해 덕분에 챌린지 에 동참하고 사회 안전망 구축을 위해 저소득층 아동의 재택 교육에 필요한 스마트 기기를 지원하는 등 코로나 극복에 힘써 왔다 앞으로 하이닉스는 사회적 가치 창출 중장기 추진 계획인 실천에 역량을 집중하겠다는 계획이다 이를 위해 회사는 탄소 중립 달성 반도체 생태계 활성화 사회 안전망 구축 다양성 포용성에 기반한 기업문화 정착 등 주요 목표들을 세웠다 메모리반도체 업계 최초로 에 가입한 하이닉스는 온실가스 배출 최소화 폐기물 저감 및 수자원 재활용 확대 등 환경 분야 개선에 박차를 가하기로 했다 기존 저장장치인 를 저전력 로 대체하는 노력등을 지속해 친환경 기술 확대에 힘쓸 계획이다 김윤욱 하이닉스 부사장은 앞으로 경영을 강화함과 동시에 사회적 가치 창출 규모를 키워가면서 인류와 사회에 기여하는 방법을 모색하겠다 고 말했다 노정동 한경닷컴 기자
