,날짜,기사제목,본문내용
0,2021-02-05,"네이버웹툰, 웹소설·웹툰 제작사 에이투지에 400억 투자",에이투지 지분 취득 사업제휴 및 콘텐츠 확보 파이낸셜뉴스 네이버웹툰은 오는 월 국내 웹소설 웹툰 제작사 에이투지 지분 주 를 현금 억 원에 취득한다고 일 공시했다 취득 목적은 사업제휴 및 콘텐츠 확보로 전했다 네이버 웹툰 사업부문에서 분할된 네이버웹툰은 그동안 국내외 웹툰 비즈니스 분야에 투자를 이어왔다 앞서 네이버도 지난달 약 억 달러를 투입해 세계 최대 웹소설 플랫폼 왓패드 를 인수했다 기존 네이버웹툰과 더불어 매월 전 세계 억 만여명이 사용하는 스토리텔링 콘텐츠 플랫폼 을 갖추기 위한 목표다 네이버 웹툰 웹툰 웹소설 네이버웹툰 왓패드 에이투지 김미희 기자
1,2021-02-05,"대우건설, 네이버클라우드와 '원격드론관제 사업 추진' 맞손",신사업 신시장 개척 벨류체인 확장 추진 일환 왼쪽부터 장승규 대우건설 기술연구원장 상무 와 김태창 네이버클라우드 클라우드 사업총괄 전무가 업무협약을 체결한 후 기념사진을 촬영하고 있다 사진 대우건설 년 국내 건설업계 최초로 드론관제시스템 개발에 성공한 대우건설이 원격드론관제 사업을 본격 추진한다 대우건설은 지난 일 을지로 본사에서 네이버클라우드와 원격드론관제 사업을 본격화하기 위한 업무협약 을 체결했다고 일 밝혔다 네이버클라우드는 국내 클라우드 기업 중 가장 큰 규모의 클라우드 서비스를 제공하고 있는 전문 기업으로 산업 특화 클라우드 서비스를 제공하고 있다 이번 협약에 따라 양사는 원격드론관제 시스템의 클라우드 활용 신규사업 발굴 등에 협력키로 했다 대우건설은 개발한 드론관제시스템 은 현장마다 드론 전문가 없이도 중앙 관제시스템을 통해 주기적이고 안정적인 드론 자동 비행을 수행할 수 있는 것이 특징이다 최근에는 관제시스템을 활용해 해외현장의 드론 영상전송뿐만 아니라 드론측량을 원격으로 지원하고 있다 대우건설은 작년 사내서비스를 실시한 뒤 현재 국내외 개 현장에 드론관제시스템을 적용하고 있다 올해부터는 네이버클라우드와 함께 건설분야 이외 소방 인명 수색 해안 정찰과 같은 다양한 산업군에 서비스를 제공할 계획이다 대우건설 관계자는 불투명한 국내외 건설 시장 환경을 극복하고 지속적으로 회사가 성장해 나갈 수 있는 신성장 동력을 확보해 기업가치를 제고해 나갈 예정 이라고 말했다 조성신 매경닷컴 기자
2,2021-02-05,"대우건설-네이버클라우드, 드론관제 사업 본격화",업무협약을 체결한 장승규 대우건설 기술연구원장 왼쪽 과 김태창 네이버클라우드 클라우드 사업총괄 전무 대우건설 제공 대우건설은 원격드론관제 사업을 본격화하기 위해 네이버클라우드와 업무협약 을 체결했다고 일 밝혔다 양사는 원격드론관제 시스템의 클라우드 활용과 신규사업 발굴 등에 협력하기로 했다 대우건설은 지난 년 국내 건설업계 최초로 드론관제시스템 을 개발 했다 김은희 기자
3,2021-02-05,"대우건설, 원격드론관제 사업 본격화…네이버클라우드와 제휴",년 개발한 드론관제시스템 소방 인명 수색 해안 정찰 등에 활용 대우건설과 네이버클라우드는 지난 일 대우건설 본사에서 전략적 제휴를 위한 업무협약을 체결했다 장승규 대우건설 기술연구원장 왼쪽 네번째 과 김태창 네이버클라우드 클라우드 사업총괄 전무 왼쪽 다섯번째 등이 협약을 체결한 뒤 기념촬영을 하고 있다 대우건설 제공 헤럴드경제 김은희 기자 대우건설은 원격드론관제 사업을 본격화하기 위해 네이버클라우드와 업무협약 을 체결했다고 일 밝혔다 지난 일 대우건설 본사에서 열린 업무협약식에서 양사는 원격드론관제 시스템의 클라우드 활용과 신규사업 발굴 등에 협력하기로 했다 대우건설은 지난 년 국내 건설업계 최초로 드론관제시스템 을 개발해 국내외 개 현장에 적용 중이다 드론관제시스템은 현장에서 드론 전문가 없이도 중앙 관제시스템을 통해 주기적이고 안정적인 드론 자동 비행을 수행할 수 있는 것이 특징이다 올해부터는 네이버클라우드와 함께 건설분야 이외 소방 인명 수색 해안 정찰과 같은 다양한 산업군에 서비스를 제공할 계획이다 대우건설 관계자는 건설현장에 활용되는 모든 드론의 비행 정보와 건설현장의 영상을 활용해 현장 전체의 자재 시공현황 변동사항 등을 자동으로 분석하는 시스템도 구축할 예정 이라고 전했다 대우건설은 지난해 드론 제조 소프트웨어 전문기업인 아스트로엑스에 지분 투자하는 등 드론을 활용한 신사업 발굴에 적극 나서고 있다 이번 업무협약으로 건설 산업과 시너지 창출이 가능한 신사업을 발굴해 밸류체인을 확장하겠다는 전략이다
4,2021-02-05,"대우건설, 네이버클라우드와 '원격드론관제 사업' 본격화",머니투데이 방윤영 기자 지난 일 을지로 대우건설 본사에서 대우건설 기술연구원장 장승규 상무 왼쪽 네이버클라우드 클라우드 사업총괄 김태창 전무가 업무협약을 체결한 후 기념사진을 촬영하고 있다 사진 대우건설 대우건설은 지난 일 서울 중구 을지로 본사에서 네이버클라우드와 원격드론관제 사업을 함께 추진하기 위해 업무협약을 맺었다고 밝혔다 양사는 원격드론관제 시스템의 클라우드 활용 신규사업 발굴 등에 협력하기로 했다 대우건설은 년 업계에서는 처음으로 드론관제시스템을 개발했다 현장에 드론 전문가가 없어도 중앙 관제시스템을 통해 드론을 자동 비행할 수 있는 시스템이다 드론이 촬영한 건설현장 영상을 실시간으로 모든 공사 관계자들에게 전달해 건설 공정과 안전 관리 생산성을 높이고 있다 대우건설 관계자는 앞으로 건설현장에 활용되는 모든 드론의 비행 정보와 영상을 활용해 현장 전체의 자재 시공현황 변동사항 등을 자동으로 분석할 수 있는 시스템도 구축할 것 이라고 말했다 대우건설은 현재 국내외 개 현장에 드론관제시스템을 적용 중이다 올해부터는 네이버클라우드와 함께 건설 분야 이외에 소방 인명 수색 해안 정찰 등 다양한 산업군에 서비스를 제공한다는 계획이다 방윤영 기자
5,2021-02-05,"대우건설-네이버클라우드, 원격드론관제 사업 본격화 MOU",지난 일 서울 을지로 대우건설 본사에서 열린 업무협약식에 참석한 대우건설 기술연구원장 장승규 상무 왼쪽 와 네이버클라우드 클라우드 사업총괄 김태창 전무가 기념촬영을 하고 있다 사진 대우건설 제공 대우건설이 지난 일 서울 을지로 본사에서 네이버클라우드와 원격드론관제 사업 본격화를 위한 업무협약 을 체결했다고 일 밝혔다 이번 협약에 따라 두 회사는 원격드론관제 시스템의 클라우드 활용한 신규사업 발굴 등에 협력할 방침이다 앞서 대우건설은 년 국내 건설업계 처음으로 드론관제시스템 을 개발해 현장마다 드론 전문가 없이도 중앙 관제시스템을 통해 안정적인 자동비행을 수행하는 환경을 마련했다 현장의 실시간 드론영상을 모든 공사관계자에게 전달해 공정 안전관리 생산성 증대를 이끄는 시스템으로 현재 국내외 개 현장에 적용 중이다 최근에는 이 시스템을 활용해 해외현장 드론 영상전송뿐 아니라 드론측량 원격지원도 이뤄지고 있다 향후 현장에서 활용되는 모든 드론의 비행정보와 영상을 통해 현장 전체의 자재 시공현황 변동사항 등을 자동 분석하는 시스템도 구축할 예정이다 올해부터는 네이버클라우드와 함께 건설분야 이외 소방 인명 수색 해안 정찰과 같은 다양한 산업군에 서비스를 제공한다는 계획이다 네이버클라우드는 네이버의 기술 경험을 기반으로 한 산업 특화 클라우드 서비스를 제공한다 대우건설은 이번 전략적 제휴로 신시장 진출 기반 마련을 기대하고 있다 대우건설 관계자는 불투명한 국내외 건설 시장 환경을 극복하고 지속적으로 회사가 성장해 나갈 수 있는 신성장 동력을 확보해 기업가치를 제고해 나갈 예정 이라고 말했다
6,2021-02-05,"대우건설-네이버클라우드, 원격드론관제 사업 맞손",장승규 왼쪽 대우건설 기술연구원장이 지난 일 서울시 중구 을지로 대우건설 본사에서 김태창 네이버클라우드 클라우드 사업총괄 전무와 업무협약을 맺고 협약서를 들어보이고 있다 사진제공 대우건설 서울경제 대우건설이 네이버클라우드와 손잡고 원격드론관제사업을 본격화한다 대우건설은 지난 일 서울시 중구 을지로 대우건설 본사에서 네이버클라우드와 원격드론관제 사업 업무협약 을 체결했다고 일 밝혔다 이번 협약에서 양사는 원격드론관제 시스템의 클라우드 활용 신규사업 발굴 등에 협력하기로 했다 대우건설은 지난 년 국내 건설업계 최초로 드론관제시스템 개발에 성공했다 대우건설이 개발한 드론관제시스템 은 현장마다 드론 전문가 없이도 중앙 관제시스템을 통해 주기적이고 안정적인 드론 자동 비행을 수행할 수 있는 것이 특징이다 대우건설 관계자는 앞으로 건설현장에 활용되는 모든 드론의 비행 정보와 건설현장의 영상을 활용해 현장 전체의 자재 시공현황 변동사항 등을 자동으로 분석할 수 있는 시스템도 구축할 예정 이라고 말했다 대우건설은 년 사내서비스를 실시한 뒤 현재 국내외 개 현장에 드론관제시스템을 적용 중이며 년부터는 네이버클라우드와 함께 건설분야 이외 소방 인명 수색 해안 정찰과 같은 다양한 산업군에 서비스를 제공할 계획이다 네이버클라우드는 국내 클라우드 기업 중 가장 큰 규모의 클라우드 서비스를 제공하고 있는 전문 기업으로 네이버의 기술과 경험을 기반으로 한 산업 특화 클라우드 서비스를 제공한다 대우건설 관계자는 이번 업무협약 체결은 건설 산업과 시너지 창출이 가능한 신사업을 발굴해 벨류체인을 확장하겠다는 중장기 전략에 따라 진행된 것 이라며 네이버클라우드와의 전략적 제휴로 신시장 진출의 기반을 마련할 수 있을 것 이라고 밝혔다 박윤선 기자
7,2021-02-05,"대우건설, 원격드론 관제사업 본격화…네이버클라우드와 MOU",지난 일 을지로 대우건설 본사에서 대우건설 기술연구원장 장승규 상무 왼쪽 네이버클라우드 클라우드 사업총괄 김태창 전무가 업무협약을 체결한 후 기념사진을 촬영하고 있다 사진제공 대우건설 대우건설은 일 을지로 대우건설 본사에서 네이버클라우드와 원격드론관제 사업을 위한 양해각서 를 체결했다고 일 밝혔다 이번 협약에서 양사는 원격드론관제 시스템의 클라우드 활용 신규사업 발굴 등에 협력하기로 했다 네이버클라우드는 국내 클라우드 기업 중 가장 큰 규모의 클라우드 서비스를 제공하고 있는 전문 기업이다 대우건설은 이번 협약으로 올해부터 네이버클라우드와 함께 건설은 물론 소방 인명 수색 해안 정찰과 같은 다양한 산업군에 자사의 드론관제시스템 서비스를 제공할 방침이다 드론관제시스템 은 대우건설이 년 업계 최초로 개발한 것으로 드론 전문가 없이도 중앙 관제시스템을 통해 주기적이고 안정적인 드론 자동 비행을 수행할 수 있는 기술이다 최근에는 코로나 에 대응해 이 시스템으로 해외현장의 드론 영상전송뿐 아니라 드론측량을 원격지원하고 있다 대우건설은 현재 국내외 개 현장에 이 시스템을 적용중이다 김동표 기자
8,2021-02-05,"대우건설, 네이버클라우드와 원격드론관제 사업 본격화",대우건설은 원격드론관제 사업을 본격화하기 위해 네이버클라우드와 업무협약 을 체결했다고 일 밝혔다 두 회사는 원격드론관제 시스템의 클라우드 활용 신규사업 발굴 등을 협력하기로 했다 이번 전략적 제휴는 대우건설의 건설 산업과 시너지 창출이 가능한 신사업을 발굴해 벨류체인 을 확장하겠다는 중장기 전략의 일환이다 네이버클라우드와의 전략적 제휴로 신시장 진출 기반을 마련할 수 있을 것이라는 게 이 회사의 기대다 네이버클라우드는 국내 클라우드 기업 중 가장 큰 규모의 클라우드 서비스를 제공하고 있는 전문 기업으로 산업 특화 클라우드 서비스를 제공한다 지난 일 서울 을지로 대우건설 본사에서 대우건설 기술연구원장 장승규 상무 왼쪽 와 네이버클라우드 클라우드 사업총괄 김태창 전무가 업무협약을 체결한 후 기념사진을 촬영하고 있다 대우건설 대우건설은 미래 신사업을 위해 드론 에 대한 지속적으로 투자개발을 해왔다 지난 년 국내 건설업계 최초로 드론관제시스템 개발에 성공했으며 현재 국내외 개 현장에 적용 중이다 회사 측에 따르면 이 회사의 드론관제시스템 을 통해 현장마다 드론 전문가 없이도 중앙 관제시스템을 통해 주기적이고 안정적으로 드론 자동 비행을 수행할 수 있다 또 건설현장의 생생한 드론영상을 실시간으로 모든 공사 관계자에게 전달해 건설 공정 안전 관리 생산성을 높이고 있다 최근에는 관제시스템을 활용해 해외현장의 드론 영상전송뿐 아니라 드론측량을 원격지원하는 등 코로나시대에 대응하고 있다 올해부터는 네이버클라우드와 함께 건설 분야 이외 소방 인명 수색 해안 정찰과 같은 다양한 산업군에 드론관제시스템 서비스를 제공할 계획이다 앞서 작년 대우건설은 드론 제조 소프트웨어 전문기업 아스트로엑스에 지분 투자한 바 있다 대우건설 관계자는 앞으로 건설현장에 활용되는 모든 드론의 비행 정보와 건설현장의 영상을 활용해 현장 전체의 자재 시공현황 변동사항 등을 자동으로 분석할 수 있는 시스템도 구축할 예정 이라고 밝혔다 또 그는 불투명한 국내외 건설 시장 환경을 극복하고 지속적으로 회사가 성장해 나갈 수 있는 신성장 동력을 확보해 기업가치를 제고해 나가겠다 고 덧붙였다 허지윤 기자
9,2021-02-05,"대우건설, 네이버클라우드와 전략적 제휴로 원격드론관제 사업 본격화",이데일리 황현규 기자 대우건설 은 지난 일 을지로 대우건설 본사에서 원격드론관제 사업을 본격화하기 위해 네이버클라우드와 업무협약 을 체결했다고 일 밝혔다 이번 협약에서 양사는 원격드론관제 시스템의 클라우드 활용 신규사업 발굴 등에 협력하기로 했다 대우건설은 지난 년 국내 건설업계 최초로 드론관제시스템 개발에 성공했다 대우건설이 개발한 드론관제시스템 은 현장마다 드론 전문가 없이도 중앙 관제시스템을 통해 주기적이고 안정적인 드론 자동 비행을 수행할 수 있는 것이 특징이다 건설현장의 생생한 드론영상을 실시간으로 모든 공사 관계자에게 전달해 건설 공정 및 안전 관리 생산성을 높이고 있다 최근에는 관제시스템을 활용해 해외현장의 드론 영상전송뿐 아니라 드론측량을 원격지원하는 등 코로나시대에 대응하고 있다 대우건설 관계자는 앞으로 건설현장에 활용되는 모든 드론의 비행 정보와 건설현장의 영상을 활용해 현장 전체의 자재 시공현황 변동사항 등을 자동으로 분석할 수 있는 시스템도 구축할 예정이다 고 말했다 대우건설은 년 사내서비스를 실시한 뒤 현재 국내외 개 현장에 드론관제시스템을 적용 중이며 년부터는 네이버클라우드와 함께 건설분야 이외 소방 인명 수색 해안 정찰과 같은 다양한 산업군에 서비스를 제공할 계획이다 네이버클라우드는 국내 클라우드 기업 중 가장 큰 규모의 클라우드 서비스를 제공하고 있는 전문 기업으로 네이버의 기술과 경험을 기반으로 한 산업 특화 클라우드 서비스를 제공한다 대우건설 관계자는 불투명한 국내외 건설 시장 환경을 극복하고 지속적으로 회사가 성장해 나갈 수 있는 신성장 동력을 확보해 기업가치를 제고해 나갈 예정이다 고 말했다 황현규
