time,title,context
2021-05-10,"SK하이닉스, 작년 사회적 가치 5조 창출 반도체 경제간접",사회공헌 사회성 억원 하이닉스 지난해 약 조원 규모 사회적 가치 창출 것 하이닉스 일 내용 년 사회적 가치 창출 실적 발표 납세 고용 배당 등 경제간접 기 성과 조 억원 사회 노동 동반성장 환경 분야 비지니스 사회성 억원 기부 사회공헌활동 등 사회공헌 사회성 억원 등 집계 경제간접 기 성 지난해 반도체 업황 개선 전년대비 사회적 가치 창출액 조 억원 증가 같은기간 비지니스 사회 성 온실가스 배출 등 환경 영향 부정적 영향 억원 사회공헌 사회성 코 극복 집중 지원 등 억원 경제간접 기 성 납세 고용 배당 전 분야 의미 실적 납세 분야 성과액 취약계층 고용 측면 지난해 장애 의무고용률 전체 구성원 목표 달성 배당 성과액 증가 비지니스 사회성 환경 분야 억원 증가 억원 부정적 비용 발생 이 반도체 제품 생산 과정 물 전기 대량 사용 온실가스 배출 제조산업 특성 결과 하이닉스 관계자 사적 자원 재활용 등 노력 결과 단위 생산당 온실가스 배출량 이전 감소 절대적 배출량 며 환경 악영향 줄 환경기술 개발 등 다방면 노력 온실가스 배출 총량 줄 데 역점 말 사회 영역 증가 억원 제품 서비스 영역 억원 성과 기록 환경 분야 부정적 영향 일부 상쇄 사회공헌 사회성 증가 억원 실적 기록 지난해 하이닉스 의료진 격려 덕분 챌린지 동참 사회 안전망 구축 저소득층 아동 재택 교육 필요 스마트 기 지원 하이닉스 월 발표 사회적 가치 창출 중장기 추진 계획 을 실천 데 전사적 역량 집중 계획 탄소 중립 달성 반도체 생태계 활성화 사회 안전망 구축 다양성 포용성 기반한 기업문화 정착 등 주요 목표 설정 메모리반도체 업계 최초 가입 이 년 기업 사용 전력 를 재생에너지 충당 선언 하이닉스 온실가스 배출 최소화 폐기물 저감 수자원 재활용 확대 등 환경 분야 개선 박차 기존 저장장치 하드디스크드라이브 를 저전력 솔리드스테이트드라이브 로 대체 노력 지속 방침 김경민 기자
2021-05-10,"고용·배당늘린 SK하이닉스, 4조8000억 사회적 가치 창출",작년 반도체 호황 납세 전년대비 사회성 증 하이닉스 대표 박정호 이석희 지난해 조 억원 사회적 가치 를 창출 반도체 산업 호황 납세 고용 배당 등 경제간접 기여성과 사회공헌활동 기부 등 년 대비 증가세 주요 관계사들 년 경제간접 기여성 비즈니스 사회성 사회공헌 사회성 등 가지 분야 창출 사회적 가치 수치화해 발표 일 하이닉스 지난해 납세 고용 배당 등 경제간접 기여성 조 억원 사회 노동 동반성장 환경 분야 비즈니스 사회성 억원 기부 사회공헌활동 등 사회공헌 사회성 억원 집계 경제간접 기여성 지난해 반도체 업황 개선 납세 고용 배당 전 분야 의미 성장 이 전년 대비 사회적 가치 창출액 증가 중 납세 분야 성과액 취약계층 고용 측면 지난해 장애 의무고용률 전체 구성원 목표 달성 배당 성과액 전년 대비 증가 하이닉스 올해 반도체 경기 상승세 경제간접 기여성 지속 것 전망 비즈니스 사회성 부정적 영향 증가 환경 분야 년 억원 증가 억원 부정적 비용 발생 영향 생산 과정 물 전기 대량 사용 온실가스 배출 반도체 산업 특성 결과 것 하이닉스 설명 하이닉스 관계자 전사적 자원 재활용 등 노력 결과 단위 생산당 온실가스 배출량 이전 감소 박재영 기자
2021-05-10,"SK하이닉스, 작년 사회적가치 4.9조 창출 전년대비 36 ↑",납세 고용 배당 등 간접기 급증 기부 사회공헌활동 증 비즈니스 사회성 아쉬움 지난해 하이닉스 창출 사회적 가치 년대비 증가 납세 고용 배당 등 경제간접 기여성 증가 영향 하이닉스 지난해 조 억원 사회적 가치 를 창출 일 부문별 납세 고용 배당 등 경제간접 기여성과 조 억원 전년대비 증가 사회 노동 동반성장 환경 분야 비즈니스 사회성 마이너스 억원 기간 감소 기부 사회공헌활동 등 사회공헌 사회성 억원 기간 경제간접 기여성 납세 고용 배당 전 분야 의미 실적 납세 분야 성과액 전년 대비 증가 등 취약계층 고용 측면 장애 의무고용률 상시 이상 민간기업 경우 전체 구성원 목표 달성 배당 성과액 전년 대비 증가 하이닉스 올해 반도체 경기 상승세 경제간접 기여성 지속 것 비즈니스 사회성 환경 분야 년 억원 증가 억 원 부정적 비용 발생 이 반도체 제품 생산 과정 물 전기 대량 사용 온실가스 배출 제조산업 특성 결과 하이닉스 관계자 전사적 자원 재활용 등 노력 결과 단위 생산당 온실가스 배출량 이전 감소 며 절대적 배출량 점 이해관계자들 송구 하이닉스 사회 영역 전년 대비 증가 억원 제품 서비스 영역 억원 성과 기록 환경 분야 부정적 영향 일부 상쇄 소재 장비 국산화 비중 기술혁신기업 프로그램 과 분석 측정 지원센터 를 운영 등 협력사 지원 강화 영향 사회공헌 사회성 증가 지난해 하이닉스 의료진 격려 덕분 챌린지 동참 사회 안전망 구축 저소득층 아동 재택 교육 필요 스마트 기 지원 등 코 극복 한편 하이닉스 월 발표 사회적 가치 창출 중장기 추진 계획 을 실천 데 전사적 역량 집중 계획 김성미 기자
2021-05-10,"SK하이닉스, 작년 사회적 가치 약 5조 창출 강화",경제간접 기여성 조 억원 비지니스 사회성 억원 사회공헌 사회성 억원 파이낸셜뉴스 하이닉스 지난해 약 조원 규모 사회적 가치 창출 것 하이닉스 일 내용 년 사회적 가치 창출 실적 발표 납세 고용 배당 등 경제간접 기 성과 조 억원 사회 노동 동반성장 환경 분야 비지니스 사회성 억원 기부 사회공헌활동 등 사회공헌 사회성 억원 등 집계 경제간접 기 성 지난해 반도체 업황 개선 전년대비 사회적 가치 창출액 조 억원 증가 같은기간 비지니스 사회 성 온실가스 배출 등 환경 영향 부정적 영향 억원 사회공헌 사회성 코 극복 집중 지원 등 억원 경제간접 기 성 납세 고용 배당 전 분야 의미 실적 납세 분야 성과액 취약계층 고용 측면 지난해 장애 의무고용률 전체 구성원 목표 달성 배당 성과액 증가 비지니스 사회성 환경 분야 억원 증가 억원 부정적 비용 발생 이 반도체 제품 생산 과정 물 전기 대량 사용 온실가스 배출 제조산업 특성 결과 하이닉스 관계자 사적 자원 재활용 등 노력 결과 단위 생산당 온실가스 배출량 이전 감소 절대적 배출량 며 환경 악영향 줄 환경기술 개발 등 다방면 노력 온실가스 배출 총량 줄 데 역점 말 사회 영역 증가 억원 제품 서비스 영역 억원 성과 기록 환경 분야 부정적 영향 일부 상쇄 사회공헌 사회성 증가 억원 실적 기록 지난해 하이닉스 의료진 격려 덕분 챌린지 동참 사회 안전망 구축 저소득층 아동 재택 교육 필요 스마트 기 지원 하이닉스 월 발표 사회적 가치 창출 중장기 추진 계획 을 실천 데 전사적 역량 집중 계획 탄소 중립 달성 반도체 생태계 활성화 사회 안전망 구축 다양성 포용성 기반한 기업문화 정착 등 주요 목표 설정 메모리반도체 업계 최초 가입 이 년 기업 사용 전력 를 재생에너지 충당 선언 하이닉스 온실가스 배출 최소화 폐기물 저감 수자원 재활용 확대 등 환경 분야 개선 박차 기존 저장장치 하드디스크드라이브 를 저전력 솔리드스테이트드라이브 로 대체 노력 지속 방침 김경민 기자
2021-05-10,"SK하이닉스, 작년 사회적 가치 4.9조 창출",납세 고용 배당 등 간접기 급증 온실가스 배출 환경분야 악화 하이닉스 년 사회적 가치 실적 제공 하이닉스 서울경제 하이닉스 대표 이석희 지난해 조 억 원 사회적 가치 를 창출 것 하이닉스 일 발표 년 사회적 가치 창출 실적 회사 납세 고용 배당 등 경제 간접 기 성 조 억 원 사회 노동 동반성장 환경 분야 비즈니스 사회 성 억 원 기부 사회공헌활동 등 사회 공헌 사회 성 억 원 사회적 가치 창출 주요 관계사들 년 위 세 가지 분야 전년 창출 사회적 가치 수치화해 발표 경제 간접 기 성 지난해 반도체 업황 개선 전년 대비 사회적 가치 창출액 조 억 원 증가 세부적 납세 분야 성과액 전년 대비 취약 계층 고용 측면 하이닉스 지난해 장애 의무고용률 상시 이상 민간기업 경우 전체 구성원 목표 달성 배당 성과액 전년 대비 증가 비즈니스 사회 성 온실가스 배출 등 환경 영향 부정적 영향 전년 대비 억 원 사회 공헌 사회 성 코 극복 집중 지원 등 억 원 김윤욱 하이닉스 부사장 지속경영담당 은 년 사회적 가치 성과 발표 측정 객관성 신뢰도 며 앞 경영 강화 사회적 가치 창출 규모 인류 사회 방법 모색 말 전희윤 기자
2021-05-10,SK하이닉스 작년 사회적가치 4. 9조…경제기여·사회공헌,머니투데이 심재현 기 자료 하이닉스 하이닉스 지난해 조 억원 사회적 가치 창출 일 납세 고용 배당 등 경제 간접기 성과 사회적 가치 규모 전년 주요 관계사들 년 경제 간접기 성과 비즈니스 사회성 사회공헌 사회성 등 가지 분야 창출 사회적 가치 수치화해 발표 하이닉스 지난해 납세 고용 배당 등 경제 간접기 성과 조 억원 전년 노동 동반성장 등 사회 환경 분야 비즈니스 사회성 마이너스 억원 기부 사회공헌활동 등 사회공헌 사회성 억원 기간 증가 것 집계 지난해 반도체 업황 개선 경제 간접기 성과 의미 실적 납세 분야 성과액 전년 취약계층 고용 측면 장애 의무고용률 상시 이상 민간기업 경우 전체 구성원 목표도 달성 하이닉스 올해 반도체 경기 상승세 경제 간접기 성과 확대 것 비즈니스 사회성과 반도체 생산 과정 물 전기 대량 사용 온실가스 배출 특성상 환경 분야 년 억 원 증가 억원 부정적 비용 발생 하이닉스 관계자 전사적 자원 재활용 등 노력 결과 단위 생산당 온실가스 배출량 이전 절대적 배출량 며 환경 악영향 줄 환경기술 개발 등 다방면 노력 온실가스 배출 총량 줄 데 역점 하이닉스 사회 영역 전년 증가 억원 제품 서비스 영역 억원 성과 환경 분야 부정적 영향 일부 상쇄 소재 장비 국산화 비중 기술혁신기업 프로그램 분석 측정 지원센터 운영 등 협력사 지원 강화 결과 사회공헌 사회성 지난해 의료진 격려 덕분 챌린지 동참 사회 안전망 구축 저소득층 아동 재택 교육 필요 스마트 기 지원 등 코 극복 점 반영 확대 하이닉스 월 발표 사회적 가치 창출 중장기 추진 계획 을 실천 데 전사적 역량 집중 계획 메모리반도체 업계 최초 년 기업 사용 전력 를 재생에너지 충당 선언 가입 만큼 온실가스 배출 최소화 폐기물 저감 수자원 재활용 확대 등 환경 분야 개선 박차 기존 저장장치 하드디스크 드라이브 를 저전력 솔리드 스테이트 드라이브 로 대체 노력 지속 친환경 기술 확대 계획 김윤욱 하이닉스 지속경영담당 부사장 년 사회적 가치 성과 발표 측정 객관성 신뢰도 며 앞 환경 사회 지배구조 경영 강화 사회적 가치 창출 규모 말 심재현 기자
2021-05-10,"SK하이닉스, 지난해 사회적가치 4.9조 창출…전년比 36%↑",조 억원 사회적 가치 창출 납세 고용 배당 등 경제간접 기여성 급증 비즈니스 사회성 온실가스 배출량 증 코 극복 지원 등 사회공헌 증 제공 하이닉스 헤럴드경제 김성미 기 지난해 하이닉스 창출 사회적 가치 년대비 증가 납세 고용 배당 등 경제간접 기여성 증가 영향 하이닉스 지난해 조 억원 사회적 가치 를 창출 일 부문별 납세 고용 배당 등 경제간접 기여성과 조 억원 전년대비 증가 사회 노동 동반성장 환경 분야 비즈니스 사회성 마이너스 억원 기간 감소 기부 사회공헌활동 등 사회공헌 사회성 억원 기간 경제간접 기여성 납세 고용 배당 전 분야 의미 실적 납세 분야 성과액 전년 대비 증가 등 취약계층 고용 측면 장애 의무고용률 상시 이상 민간기업 경우 전체 구성원 목표 달성 배당 성과액 전년 대비 증가 하이닉스 올해 반도체 경기 상승세 경제간접 기여성 지속 것 비즈니스 사회성 환경 분야 년 억원 증가 억 원 부정적 비용 발생 이 반도체 제품 생산 과정 물 전기 대량 사용 온실가스 배출 제조산업 특성 결과 하이닉스 관계자 전사적 자원 재활용 등 노력 결과 단위 생산당 온실가스 배출량 이전 감소 며 절대적 배출량 점 이해관계자들 송구 하이닉스 사회 영역 전년 대비 증가 억원 제품 서비스 영역 억원 성과 기록 환경 분야 부정적 영향 일부 상쇄 소재 장비 국산화 비중 기술혁신기업 프로그램 과 분석 측정 지원센터 를 운영 등 협력사 지원 강화 영향 사회공헌 사회성 증가 지난해 하이닉스 의료진 격려 덕분 챌린지 동참 사회 안전망 구축 저소득층 아동 재택 교육 필요 스마트 기 지원 등 코 극복 한편 하이닉스 월 발표 사회적 가치 창출 중장기 추진 계획 을 실천 데 전사적 역량 집중 계획
2021-05-10,"SK하이닉스 ""年 4.9조 사회적가치 창출",취약층 고용 등 증 하이닉스 주요 사업장 냉각수 재사용하 워터프리스크러버 도입 확대 직원 이천 사업장 설치 워터프리스크러버 점검 하이닉스 제공 하이닉스 지난해 창출 사회적 가치 조 억원 것 일 발표 년 조 억원 사회적 가치 창출액 그룹 활용 계열사 평 기준 하나 환경 사회 지배구조 의미 비슷 하이닉스 를 부문별 납세 고용 배당 등 경제 간접기 성 조 억원 사회 환경 분야 비즈니스 사회성 억원 기부 사회공헌활동 등 사회공헌 사회성 억원 집계 눈 부문 경제 간접기 성과 반도체 업황 개선 전년 납세액 배당 증가 고용 부문 취약계층 의무고용률 기준치 하이닉스 대기업 전체 구성원 를 장애 등 취약계층 선발 이 벌금 비즈니스 사회성 부문 마이너스 폭 년 억원 환경 분야 성과 지난해 억원 악화 영향 하이닉스 관계자 전사적 자원 재활용 등 노력 단위 생산량당 온실가스 배출량 이전 감소 배출량 말 업계 결과 제조업체 숙명 이 설명 업황 개선 공장 가동률 온실가스 등 오염물질 배출량 수 때문 반도체 전력 소모량 환경 관련 점수 업종 사회공헌 사회성 전년 대비 증가 억원 집계 지난해 하이닉스 의료진 응원 덕분 챌린지 동참 사회 안전망 구축 저소득층 아동 재택 교육 필요 스마트 기 지원 등 코 극복 송형석 기자
2021-05-10,"SK하이닉스, 낸드 사업 분사설 사실무근",기술사무직 노조 사실확인 요청 답변 파이낸셜뉴스 하이닉스 낸드플래시 사업부문 분사설 사실무근 일 반도체 업계 하이닉스 일 기술사무직 노조 측이 요청 솔루션 개발 조직 분사 사실확인 건 사실무근 적 답변 노조 공문 구성원들 사이 솔루션 개발 조직 분사 소문 며 분사 소문 일파만파 불안 구성원들 회사 공식적 사실관계 공지해달라 요청 업계 하이닉스 인텔 낸드 사업 인수 후 사내 컨트롤러 개발담당 솔루션 조직 합병 분사 것 풍문 담당 임원 퇴사 분사 회사 수장 특정 건물 입주 것 계획 등 구체적 내용 포함 과정 업무 중복 부 등 구조조정 것 내용 등 언급 직원들 불안감 이 하이닉스 측은 지 해당 내용 풍문 사실 면 회사 관련 내용 검토 적 강조 하이닉스 지난해 월 인텔 낸드플래시 솔리드스테이드드라이브 사업 부문 조 억원 인수 계약 체결 올해 차 조 억원 지급 조 억원 년 월 차 제공 인텔 낸드 단품 웨이퍼 사업 중국 다롄 공장 등 수 대상 이석희 하이닉스 대표 월말 정기주주총회 낸드 램 만큼 안정적 수익 구조 고민 인텔 낸드 사업부 수 해결 방안 가운데 하나 라 말 사장 이 하이닉스 낸드 모바일 인텔 강점 시너지 극대화 수 수 완료 램 이 낸드 사업 글로벌 선두권 도약 것 이 설명 하이닉스 올해 월 공정거래위원회 인텔 낸드 사업 수 관련한 기업결합 미국은 기업결합 승인 한국 유럽연합 중국 브라질 영국 싱가포르 대 총 개국 심사 진행 중 공정위 반도체 분야 시장구조 재편 지장 신속 심사 진행 것 이 김경민 기자
2021-05-10,SK하이닉스 작년 사회적가치 4조8874억 창출,하이닉스 지난해 조 억원 사회적 가치 를 창출 일 납세 고용 배당 등 경제 간접분야 조원 이상 사회적 가치 창출 사회공헌 성 전년대비 이상 하이닉스 이날 발표 년 사회적 가치 창출 실적 납세 고용 배당 등 경제간접 기여성과 조 억원 사회 노동 동반성장 환경 분야 비즈니스 사회성 억원 기부 사회공헌활동 등 사회공헌 사회성 억원 집계 주요 관계사들 년 경제 간접기 비즈니스 사회공헌 등 가지 분야 전년 창출 사회적 가치 수치화해 발표 하이닉스 경제간접 기여성 조 억원 지난해 반도체 업황 개선 전년 대비 사회적 가치 창출액 증가 비즈니스 사회성 온실가스 배출 등 환경 영향 감소 사회공헌 사회성 코 극복 집중 지원 등 분야별 지표 구체적 경제간접 기여성과 납세 분야 성과액 전년 대비 고용 분야 지난해 장애 의무고용률 목표 달성 배당 성과액 증가 비즈니스 사회성 환경 분야 억원 부정적 비용 발생 전년 대비 감소 하이닉스 환경적 악영향 줄 온실가스 배출 총량 줄 기술 개발 상태 비즈니스 사회성과 사회 영역 전년비 증가 억원 제품 서비스 영역 억원 성과 환경 분야 부정적 영향 일부 사회공헌 사회성 전년 대비 증가 억원 실적 기록 지난해 하이닉스 의료진 격려 덕분 챌린지 동참 사회 안전망 구축 저소득층 아동 재택 교육 필요 스마트 기 지원 등 코 극복 앞 하이닉스 사회적 가치 창출 중장기 추진 계획 실천 역량 집중 계획 이 회사 탄소 중립 달성 반도체 생태계 활성화 사회 안전망 구축 다양성 포용성 기반한 기업문화 정착 등 주요 목표들 메모리반도체 업계 최초 가입 하이닉스 온실가스 배출 최소화 폐기물 저감 수자원 재활용 확대 등 환경 분야 개선 박차 기존 저장장치 를 저전력 로 대체 노력등 지속 친환경 기술 확대 계획 김윤욱 하이닉스 부사장 앞 경영 강화 사회적 가치 창출 규모 인류 사회 방법 모색 말 노정동 한경닷컴 기자
