,날짜,기사제목,본문내용
0,2021-05-03,"배터리-화학·전장-전자...LG, 미래차사업 교통정리",구광모 회장 미래차 부품 기업 도약 의지 반영 스마트폰 철수 이어 올해 두번째 사업 구조조정 화학 배터리 핵심 소재 분리막 수직계열화 전자 분리막 공장 화학 양도는 계열사별로 배터리와 전장을 분리해 각 사의 사업 효율성을 높이기 위한 구상으로 풀이된다 최근 전자의 모바일 사업 정리에 이어 구광모 회장 사진 의 올 들어 두번째 사업 구조조정으로 그룹 내 회사들의 경쟁력을 높이는 방향으로 사업을 재배치하겠다는 전략으로도 해석된다 배터리와 관련 소재는 화학이 담당하고 전자는 인포테인먼트 램프 모터 등 전장사업에 집중하겠다는 의미로 가 미래 자동차 핵심 기업 으로 거듭나겠다는 구광모 회장의 의지가 반영됐다는 분석이다 화학의 전자의 분리막 공장 인수 작업은 이르면 상반기 늦어도 올해 중으로 완료될 예정이다 화학 공장 고위 관계자는 올해 초 화학 첨단소재 사업본부 청주 공장 고위 임원이 해당 공장으로 발령돼 실사를 벌이고 있다 면서 가격 협상만 성공적으로 마치면 공장은 화학 소속으로 전환된다 고 전했다 전자 청주사업장 전경 전자 제공 화학 청주공장 전경 화학 제공 업계에서는 자회사 에너지솔루션이 배터리를 생산하고 있는 화학이 배터리 소재까지 직접 생산하는 것이 경쟁력 강화에 필요하다고 보고 있다 특히 화학 입장에서는 배터리 부문 에너지솔루션이 분사한 이후 미래 먹거리를 강화를 위해 첨단소재사업부를 강화해야 하는 상황이다 실제 화학은 지난달 일 분기 컨퍼런스콜에서 배터리 소재 시장 규모 크고 향후 급격하게 성장하고 있다 면서 기존 소재 외에 추가 소재 사업화 적극 검토하고 있다 고 밝힌 바 있다 배터리의 핵심소재인 분리막은 본격적인 글로벌 전기차 전환에 맞물려 수요가 크게 늘고 있다 분리막은 전체 원가의 에 달할 만큼 원가에 큰 영향을 주는 소재다 시장조사업체 리서치는 지난해 약 억 였던 글로벌 분리막 수요가 년이면 억 규모로 약 배 성장할 것으로 전망했다 전자가 스마트폰 사업을 철수한 데에 이어 배터리 분리막 사업도 화학으로 인계를 검토하고 있는 것은 구광모 회장의 미래차 기업을 위한 사업 정리의 일환이라고 풀이된다 사실 전자의 배터리 분리막 사업은 가전과 전장사업에 비해 크게 주목받지 못한 부문이다 전자 본부 내 사업이 담당하고 있지만 해당 사업부는 용 시트 태양광 페인트 마우스 스캐너 등 다양한 전자제품 소재를 만들고 있다 결국 분리막 생산은 더 잘할 수 있는 화학에 넘기고 전자는 다른 미래 성장동력 발굴에 힘쓰겠다는 것으로 해석된다 대표적인 것이 전장사업이다 년 오스트리아 전장기업 인수하며 헤드램프 생산에 뛰어든 전자는 올해는 글로벌 위 전장기업 마그나와 합작사를 설립하며 전기차 파워트레인 동력전달장치 사업에도 진출했다 차량용 소프트웨어 강화에도 나서고 있다 지난 월에는 전자와 스위스 업체 룩소프트와 차량용 인포테인먼트 합작법인 인 알루토 를 설립했다 업계 관계자는 화학과 전자의 배터리와 전장사업의 경쟁력을 키워 궁극적으로는 미래차 관련 사업을 키우겠다는 그룹 차원의 큰 구상을 실행에 옮기려는 단계로 보여진다 고 말했다 전자 관계자는 사업 포트폴리오 차원에서 여러가지 안을 검토 중이나 확인해 줄 수 없다 고 말했다 정세희 기자
1,2021-05-03,'먼지통 알아서 싹'…LG 무선청소기 신개념 거치대 별도판매,머니투데이 심재현 기자 전자 모델들이 코드제로 사진 왼쪽 과 씽큐를 들고 청소기 충전 액세서리 보관 먼지통 비움이 모두 가능한 올인원타워를 소개하고 있다 왼쪽부터 딥그레이 카밍 베이지 카밍 그린 색상의 올인원타워 사진제공 전자 전자가 무선청소기 코드제로 과 씽큐 등 기존 모델을 사용하는 고객을 위해 신개념 거치대인 올인원타워 를 별도 판매한다고 일 밝혔다 올인원타워는 무선청소기 보관과 충전뿐 아니라 먼지통 비움 기능이 추가된 거치대다 무선청소기 먼지통을 분리할 필요 없이 거치대에서 자동으로 먼지통을 비울 수 있다 전자에 따르면 지난 한 달 동안 무선청소기를 구매한 고객 가운데 올인원타워 모델을 선택한 비중은 절반에 육박한다 전자는 지난 월 오브제컬렉션 무선청소기용으로 올인원타워를 처음 출시했다가 기존 코드제로 등을 사용하는 고객도 별도로 올인원타워를 구매해 업그레이드 서비스를 받은 뒤 사용할 수 있도록 이번 제품을 내놨다 전자는 올인원타워 개발 단계에서부터 기존 모델을 사용하는 고객들을 감안해 설계해 오브제컬렉션 청소기에 처음 적용한 올인원타워를 별도로 출시할 수 있었다고 밝혔다 올인원타워는 무선 청소기를 거치한 뒤 위쪽 조작부의 먼지비움 시작 버튼을 누르면 먼지 흡입 모터가 청소기로부터 외부 공기를 빨아들여 먼지통을 비우는 방식으로 작동한다 먼지비움 모드를 자동으로 설정하면 청소기를 거치할 때마다 알아서 먼지통을 비워준다 새로 출시되는 올인원타워는 카밍 그린 카밍 베이지 등 오브제컬렉션 색상과 딥그레이 색상이다 출하가는 색상에 따라 만 만원이다 전자는 이달 일까지 올인원타워를 구매한 고객에게 만원 할인 혜택을 제공한다 심재현 기자
2,2021-05-02,"""올레드의 시대가 왔다"" LG 올레드TV 신제품 시장 공략",홍콩에서 현지 거래선과 미디어를 초청해 진행한 신제품 발표행사에 전시된 올레드 에보 파이낸셜뉴스 전자가 차세대 올레드 유기발광다이오드 인 올레드 에보 를 앞세워 프리미엄 시장의 주도권을 노린다 전자는 일 올 들어 글로벌 시장에서 올레드 를 찾는 고객 수요가 급격히 늘어나고 있다 며 새롭게 출시한 올레드 에보 를 중심으로 글로벌 프리미엄 시장을 적극 공략하고 있다 고 밝혔다 시장조사업체 옴디아는 지난해 만대 수준이던 올레드 출하량이 올해 가까이 늘어 만대 규모를 이룰 것으로 예상하고 있다 매출 기준으로는 전체 시장에서 사상 첫 두자릿수 점유율을 달성할 것으로 전망된다 올레드 의 평균판매가격 이 액정표시장치 의 배 이상인 프리미엄 제품임을 감안하면 이례적인 성장세다 최근 홍콩에서 현지 미디어와 거래선 관계자들을 초청해 진행한 신제품 소개 행사에서도 올레드 에보의 진화한 화질과 디자인이 참석자들로부터 높은 관심을 받았다 전자는 홍콩섬 소재 대형 갤러리에 다양한 콘셉트의 공간을 마련하고 형부터 형에 이르는 모델과 최대 형에 이르는 모델로 구성된 라인업을 소개했다 올레드 에보는 효율을 높인 차세대 올레드 패널을 사용해 더 선명하고 밝은 화질을 표현한다 형 기준 가 채 되지 않는 두께로 벽에 밀착하는 갤러리 디자인도 특징이다 최근 영국 매체 테크레이더는 올레드 에보 에 점 만점을 부여하며 에디터스초이스 로 선정했다 남호준 전자 연구소장 전무 는 많은 고객이 올레드 만의 압도적 화질과 디자인 혁신을 경험할 수 있도록 할 것 이라고 강조했다 김경민 기자
3,2021-05-02,"LG전자, LG 올레드 에보 앞세워 프리미엄 TV 시장 공략",올레드 글로벌 시장서 사상 첫 두 자릿수 점유율 전망 압도적 화질과 디자인 혁신을 경험할 수 있도록 할 것 이데일리 피용익 기자 전자 가 차세대 올레드 인 올레드 에보 를 앞세워 글로벌 프리미엄 시장을 적극 공략한다 일 전자에 따르면 시장조사업체 옴디아는 지난해 만대 수준이던 올레드 출하량이 올해 가까이 늘어 만대 규모를 이룰 것으로 예상하고 있다 매출 기준으로는 전체 시장에서 사상 첫 두 자릿수 점유율을 달성할 것으로 전망된다 전자는 올레드 를 찾는 고객 수요가 급격히 늘어나는 가운데 올해 새롭게 출시한 올레드 에보 모델명 를 중심으로 마케팅 활동을 본격화하고 있다 전자 연구소장 남호준 전무는 보다 많은 고객이 올레드 만의 압도적 화질과 디자인 혁신을 경험할 수 있도록 할 것 이라고 말했다 전자가 최근 홍콩에서 현지 미디어와 거래선 관계자들을 초청해 진행한 신제품 소개 행사에서도 올레드 에보의 진화한 화질과 디자인이 참석자들로부터 가장 높은 관심을 받았다 전자는 홍콩섬 소재 대형 갤러리에 다양한 콘셉트의 공간을 마련하고 형부터 형에 이르는 모델과 최대 형에 이르는 모델로 구성된 라인업을 소개했다 올레드 에보는 효율을 높인 차세대 올레드 패널을 사용해 더 선명하고 밝은 화질을 표현한다 형 대각선 길이 약 센티미터 기준 밀리미터 가 채 되지 않는 두께로 벽에 밀착하는 갤러리 디자인이 더해져 성능과 디자인 모두 정점에 올라 있는 제품이다 유력 외신들도 올레드 에보의 진화한 성능에 호평을 내놓고 있다 최근 영국 전문매체 테크레이더는 올레드 에보 에 점 만점에 점을 부여하며 에디터스초이스로 선정했다 매체는 이 제품은 올레드만의 명암비와 블랙 표현에 더 밝아진 화면이 더해져 가 만들어 낸 올레드 가운데 단연 최고 라고 평가했다 또 미국 씨넷은 이 제품을 두고 최고의 명암비 완벽한 시야각 등은 물론이고 일관된 화질을 보여준다 고 평가하며 지금까지 테스트한 제품 가운데 최고의 라고 극찬했다 영국 유명 라이프스타일 매거진 지큐는 올레드 에보에 의심할 여지 없이 가 지금까지 만든 올레드 가운데 최고 라며 의 기술을 새로운 차원으로 끌어 올린 제품 이라고 평가했다 특히 매체는 이 로 넷플릭스에서 돌비비전 콘텐츠를 시청하면 영상의 에너지와 정확도에 놀라게 될 것 이라고 언급하기도 했다 올레드 에보 사진 전자 피용익
4,2021-05-01,"""인증까지 받았는데""...'LG롤러블·레인보우' 나왔더라면",머니투데이 박효주 기자 전자 전략 스마트폰 레인보우 로 추정되는 제품 사진 트론 트위터 전자가 오늘 월말 휴대폰 사업 철수를 앞둔 가운데 최근 모델명 제품에 대한 전파인증을 획득해 눈길을 끈다 해당 제품은 전자가 상반기 내놓을 것으로 알려진 전략 스마트폰 레인보우 다 세상에 못 나온 비운의 스마트폰 레인보우 롤러블 일 국립전파연구원 전파시험인증센터에 따르면 전자는 지난달 일 스마트폰 레인보우에 대한 전파인증을 획득했다 전파인증은 휴대폰 출시를 앞두고 거치는 마지막 행정 절차다 레인보우는 올해 초만 해도 씽큐 등 플래그십 모델 뒤를 잇는 제품으로 출시될 예정이었다 특히 지난해 출시된 제품과 달리 성능을 대폭 높일 것으로 알려지며 기대를 모으기도 했다 레인보우로 추정되는 제품 사진을 보면 지난해 출시된 벨벳 과 대체적으로 비슷한 모습이 확인된다 하지만 전자가 휴대폰 사업 철수여부를 검토하고 나선이후 출시가 무기한 연기되다 결국 무산됐다 전자 롤러블 스마트폰 롤러블 로 추정되는 제품 사진 트론 트위터 앞서 전자는 지난달 일 롤러블 화면이 말리는 스마트폰 롤러블 에 대해서도 전파인증을 획득한 바 있다 이날은 공교롭게도 스마트폰 사업 철수를 공식화 한 날이기도 하다 롤러블은 올 초까지 모바일 업계에서 가장 관심을 끌었던 제품이다 화면이 폰 안쪽에 말려 있다가 필요할 때 펼쳐지는 롤러블 디스플레이를 탑재한 첫 제품이어서다 두께나 무게 등 휴대성 면에서 현재 폴더블 접이식 스마트폰을 뛰어넘는 혁신적 폼팩터로 주목받았다 통상 전파인증을 마친 제품은 한 달 이내 출시가 되지만 이 두 제품은 출시를 코앞에 두고도 세상에 나오지 못한 비운의 스마트폰으로 남게 됐다 업계 관계자는 레인보우와 롤러블 모두 스마트폰 사업 철수를 공식화하기 직전까지 개발이 진행된 것 같다 며 이번 레인보우 제품 전파인증 획득은 발표 이전에 신청한 결과가 뒤늦게 나온 것으로 보인다 고 말했다 사후 지원 약속에도 안 팔리는 벨벳 윙 전자 전략 스마트폰 벨벳 전자는 휴대폰 사업에서 손을 떼지만 운영체제 업그레이드와 사후서비스 등을 당분간 지속한다 사업 종료로 인해 팽배한 기존 고객의 우려를 불식하는 동시에 현재 남은 재고를 원활하게 처리하기 위한 조치다 전자는 휴대폰 업그레이드를 기존보다 년씩 늘려 프리미엄 모델 년 보급형 모델 년으로 확대한다 또 국내는 제품 최종 제조일로부터 최소 년까지 를 제공한다 하지만 전자의 이 같은 약속에도 재고 처리가 기대만큼 원활하지 않은 것으로 전해진다 전자가 사업 종료를 공식화한 만큼 소비자 입장에서는 구매를 꺼릴 수밖에 없다 따라서 판매가 활성화되려면 일선 대리점과 판매점에서는 적극적으로 나서야 한다 하지만 판매장려금이 낮은 탓에 판매점에서 소비자에게 적극 권유할 만큼 동기부여가 되지 않고 있는 것으로 전해진다 이동통신사 역시 공시지원금을 올리며 재고 정리에 나섰지만 쉽지 않은 상황으로 알려졌다 높은 공시지원금을 받으려면 소비자가 고가요금제에 가입해야 하기 때문이다 전자는 최근 알뜰폰 사업자를 통해서도 재고 처리에 나서고 있다 엠모바일과 헬로비전 등 주요 알뜰폰 사업자들은 벨벳을 요금제와 관계없이 원에 판매하고 있다 한편 전자는 오는 월 일 자로 스마트폰 사업을 완전히 종료한다 그간 스마트폰 사업으로 취득한 특허와 지식재산권 은 스마트 가전과 사물인터넷 기반 신제품 개발에 적극 활용하고 향후 미래 사업에서도 시너지를 낸다는 계획이다 박효주 기자
5,2021-04-30,LG트윈타워 청소근로자 농성 종료···전원 LG마포빌딩서 근무,고용승계 요구 받아 들여져 농성종료 월 일부터 농성 중인 노동자 전원 모두 마포빌딩서 근무 정년도 세로 연장 지난해 월 트윈타워 청소노동자들이 서울 영등포구 여의도동 트윈타워 앞에서 기자회견을 열고 원청업체인 에 고용승계를 요구하고 있다 사진제공 민주노총 서울경제 트윈타워 청소 노동자들이 여일만에 농성을 종료한다 용역업체 변경을 이유로 집단해고 통보를 받은 것에 반발해 농성에 돌입했던 이들은 전원 마포빌딩으로 근무지를 옮긴다 빌딩관리 계열사인 코퍼레이션 은 일 건물미화업체 지수아이앤씨 지수 민주노총 전국공공운수노조 서울지부 트윈타워분회와 함께 이같이 합의했다고 밝혔다 양측은 오는 월 일부터 농성 중인 청소근로자 전원은 마포빌딩에 근무하고 현재 만 세인 정년을 만 세로 연장한다는 데 합의했다 또한 만 세 이후에는 만 세까지 년 단위로 계약을 연장한다는 내용에도 합의했다 측은 트윈타워 근무 직원들이 본연의 업무에 집중할 수 있는 환경을 만드는 일이 중요했기 때문에 청소근로자들이 계속 일할 수 있도록 노조 측 요구를 대승적 차원에서 최대한 수용했다 고 말했다 앞서 트윈타워 청소용역 계약을 마무리했고 지수아이앤씨 소속이던 노동자들은 해고됐다 이에 청소노동자 여명은 지난해 월 일부로 계약을 해지한다 는 집단해고 통보를 받았다 이들은 그때까지 자회사 에스앤아이코퍼레이션과 지수아이앤씨에 용역을 주는 하청구조에서 촉탁직으로 계약을 이어왔다 이수민 기자
6,2021-04-30,LG트윈타워 청소근로자 농성 합의…LG마포빌딩서 근무·정년연장,정년 만 세서 만 세로 연장 이데일리 신중섭 기자 의 빌딩 관리 계열사 코퍼레이션 과 건물미화업체 지수아이앤씨 민주노총 전국공공운수노조 서울지부 트윈타워분회는 일 트윈타워에서 트윈타워 청소근로자들이 농성을 종료하고 마포빌딩에서 근무한다 는 내용에 상호 합의했다고 밝혔다 서울 여의도 본사 건물 사진 연합뉴스 노사는 년 월 일부터 농성 중인 청소근로자 전원 마포빌딩 근무 현재 만 세인 정년을 만 세로 연장하고 만 세 이후에는 만 세까지 년 단위로 계약 연장 등의 내용에 합의했다 관계자는 대승적인 차원에서 청소근로자들이 계속 일할 수 있도록 노조 측의 요구를 최대한 수용했고 트윈타워 근무 직원들이 본연의 업무에 집중할 수 있는 환경을 만드는 일이 중요했기 때문이다 라고 밝혔다 노사는 상호간 합의사항을 성실히 이행하고 근무지 이전 등 제반 사항에 협력해 나가기로 했다 신중섭
7,2021-04-30,"LG트윈타워 청소근로자 농성 종료…""전원 마포빌딩서 근무""",농성 개월 만에 합의 연합 헤럴드경제 그룹 여의도 트윈타워 청소근로자들이 농성을 끝내고 마포빌딩으로 옮겨서 근무하기로 했다 빌딩관리 계열사인 코퍼레이션 은 일 건물미화업체 지수아이앤씨 지수 민주노총 전국공공운수노조 서울지부 트윈타워분회와 함께 이같이 합의했다고 밝혔다 노사는 현재 여의도 트윈타워에서 농성 중인 청소근로자 전원이 월 일부터 마포빌딩에서 근무하고 현재 만 세인 정년을 만 세로 연장하기로 했다 만 세 이후에는 만 세까지 년 단위로 계약을 연장하는 내용에도 합의했다 측은 청소근로자들이 계속 일할 수 있도록 노조 측 요구를 대승적 차원에서 최대한 수용했다 고 말했다 트윈타워 청소근로자들은 가 근로자들이 소속된 건물미화 하청업체 지수 와 계약을 종료하며 지난해 말 해고됐다 이후 고용승계를 요구하며 트윈타워에서 농성하다 이번 합의에 따라 개월여 만에 농성을 종료하게 됐다
8,2021-04-30,"LG트윈타워 청소노동자 농성 종료 “마포 근무, 정년 65세 연장 합의...",의 빌딩 관리 계열사 코퍼레이션 이하 과 건물미화업체 지수아이앤씨 민주노총 전국공공운수노조 서울지부 트윈타워분회는 일 트윈타워에서 만나 트윈타워 청소근로자들이 농성을 종료하고 마포빌딩에서 근무한다 는 내용에 상호 합의했다 노사는 이날 월 일부터 농성 중인 청소근로자 전원 마포빌딩 근무 현재 만 세인 정년을 만 세로 연장 만 세 이후에는 만 세까지 년 단위로 계약 연장 등의 내용에 합의했다고 밝혔다 일 오후 서울 여의도 트윈타워 로비에서 청소노동자 노동조합이 집단해고 반대 및 청소노동자의 고용승계를 요구하는 시위를 벌이고 있다 관계자는 대승적인 차원에서 청소근로자들이 계속 일할 수 있도록 노조 측의 요구를 최대한 수용했고 트윈타워 근무 직원들이 본연의 업무에 집중할 수 있는 환경을 만드는 일이 중요했기 때문이다 라고 말했다 노사는 상호간 합의사항을 성실히 이행하고 근무지 이전 등 제반 사항에 협력해 나가기로 했다 이재은 기자
9,2021-04-30,"LG-한국국토정보공사, LX 사명 ‘민관 상생협력’으로 전환",파이낸셜뉴스 와 한국국토정보공사가 사명 공동사용에 뜻을 모으며 상생을 위한 협력에 나선다 이는 양사가 상생 협력안을 교환하며 큰 틀의 합의를 이룬 것으로 공사가 에 사명 사용 반대 입장을 밝힌 지 개월 만이다 는 한국국토정보공사와 사명을 함께 사용하며 상호 발전하는 방향에 양사가 공감 실무 협상을 이어간다고 일 밝혔다 상생 협력안은 대외적으로 양사의 사업 혼동을 방지하는 상표 사용 구분 유사 사업 분야에 대한 상표 사용 금지 등의 내용이 핵심이다 이외 홀딩스 자회사와 한국국토정보공사간의 협력 사업 발굴 추진 공간정보산업 발전을 위한 상호 협력 등 다양한 민관 상생 방안이 포함되어 있다 관계자는 금번 교환된 상생 협력안에는 사회적 가치 실현과 지역 균형 발전을 위한 사안들이 다수 포함되어 있다 며 사명 및 상표 사용 논쟁을 넘어 대표적인 민관 상생의 모범 사례가 될 수 있도록 양사가 뜻을 모은 결과 라고 말했다 는 신설지주사인 홀딩스가 공식 출범한 이후 한국국토정보공사와 협력 세부 사항을 협상한다는 계획이다 관계자는 대화와 협의를 통해 상호간 이해의 폭을 넗히는데 많은 노력을 기울이고 있다 며 사명 논쟁을 일단락하고 민관 협력의 좋은 결과로 마무리되길 기대한다 고 말했다 안승현 기자
