,날짜,기사제목,본문내용
0,2021-05-20,[유가증권시장 공시] KB금융 / 카카오 / 팬오션,금융 국민은행 억원 규모 후순위채권 발행 카카오 카카오재팬 제 자배정 방식으로 억원 규모 유상증자 결정 팬오션 계열사 임원 지분 주 장내 매도
1,2021-05-20,"[공시]카카오, 카카오재팬 유상증자 결정",파이낸셜뉴스 카카오는 종속회사인 카카오재팬이 억원 규모로 제 자배정 유상증자를 결정했다고 일 공시했다 이번 유증은 운영자금과 타법인 증권 취득자금 마련 목적이다 김현정 기자
2,2021-05-20,"카카오, 카카오재팬 유상증자 결정",아시아경제 이민지 기자 카카오는 종속회사인 카카오재팬이 운영자금과 타법인 증권 취득자금 조달을 위해 억원 규모로 제 자배정 유상증자를 결정했다고 일 공시했다 이민지 기자
3,2021-05-20,[마켓인사이트][단독]日 평정한 카카오 웹툰 '픽코마' 몸값만 8조…P...,다음 웹툰 카카오페이지 웹툰 일본에 번역해 서비스 전세계 매출 증가율 위 앱으로 폭풍 성장 앵커 카카오 카카오뱅크 이어 러브콜 이 기사는 월 일 자본시장의 혜안 마켓인사이트 에 게재된 기사입니다 일본 내 위 웹툰 플랫폼 픽코마 를 운영하는 카카오재팬이 사모펀드 운용사에서 억원을 투자받는다 현지 웹툰 인기에 힘입어 출범 년여만에 몸값만 조원에 달하는 글로벌 플랫폼으로 자리잡았다 일 투자은행 및 업계에 따르면 카카오재팬은 운용사 앵커에쿼티파트너스 앵커 와 투자 유치 협상을 마무리 짓고 이르면 내주 계약을 체결할 예정이다 앵커 가 약 억원을 투입할 예정이다 이 과정에서 회사의 기업가치는 조원 이상으로 책정됐다 이번 투자로 지분율은 카카오 카카오엔터테인먼트 라이언 프렌즈 펀드 앵커 로 변경된다 카카오의 일본 현지 만화 플랫폼 픽코마 카카오재팬은 일본 내 웹툰 시장 점유율 위 플랫폼인 픽코마 를 운영 중이다 년 일본에서 처음 출시한 픽코마는 다음 웹툰과 카카오페이지 웹툰을 일본어로 번역해 서비스를 시작했다 년 거래액 억원을 기록한 이후 년 억원 지난해 억원을 넘어설 정도로 빠른 성장세를 보였다 특히 올해 분기엔 전 세계 비 게임 어플리케이션 앱 중에서 전 분기 대비 매출 증가율 기준 위를 기록하는 등 수익성 까지 잡았다는 평가다 나 혼자만 레벨업 등 기존 웹툰 작품이 인기에 더해 올해 분기에 새로 나온 역하렘 게임 속으로 떨어진 모양입니다 그 오빠들을 조심해 이태원 클라쓰 등 한국 웹툰의 출시 직후 월간 매출 천만엔 약 억 만원 을 넘길 정도로 인기를 끌었다 앵커 는 카카오재팬이 돈을 벌고 있는 플랫폼인데다 추후 일본 현지에 상장 을 추진할 경우 수월하게 회수에 성공할 것으로 내다보고 베팅 했다 앵커 는 지난해 카카오 에 억원 카카오뱅크에 억원을 투자하는 등 카카오와의 인연을 이어가고 있다 카카오재팬의 몸값이 조원으로 평가받으며 웹툰 웹소설 컨텐츠 분야에서 치열하게 경쟁중인 네이버의 대응에도 업계 관심이 쏠리고 있다 네이버는 북미에서 글로벌 벤처캐피탈 등을 대상으로 미 법인 웹툰엔터테인먼트 의 투자유치를 진행 중이다 차준호 구민기 기자
4,2021-05-20,[단독] 日 평정한 카카오 웹툰 '픽코마'…6000억 투자유치 [마켓...,다음 웹툰 카카오페이지 웹툰 일본에 번역해 서비스 전세계 매출 증가율 위 앱으로 폭풍 성장 앵커 카카오 카카오뱅크 이어 러브콜 일본 내 위 웹툰 플랫폼 픽코마 를 운영하는 카카오재팬이 사모펀드 운용사에서 억원을 투자받는다 현지 웹툰 인기에 힘입어 출범 년여만에 몸값만 조원에 달하는 글로벌 플랫폼으로 자리잡았다 일 투자은행 및 업계에 따르면 카카오재팬은 운용사 앵커에쿼티파트너스 앵커 와 투자 유치 협상을 마무리 짓고 이르면 내주 계약을 체결할 예정이다 앵커 가 약 억원을 투자해 카카오재팬 대주주에 오를 예정이다 이번 투자로 지분율은 카카오 카카오엔터테인먼트 라이언 프렌즈 펀드 앵커 로 변경된다 이 과정에서 회사의 기업가치는 조원 이상으로 책정됐다 카카오의 일본 현지 만화 플랫폼 픽코마 카카오재팬은 일본 내 웹툰 시장 점유율 위 플랫폼인 픽코마 를 운영 중이다 년 일본에서 처음 출시한 픽코마는 다음 웹툰과 카카오페이지 웹툰을 일본어로 번역해 서비스를 시작했다 년 거래액 억원을 기록한 이후 년 억원 지난해 억원을 넘어설 정도로 빠른 성장세를 보였다 특히 올해 분기엔 전 세계 비 게임 어플리케이션 앱 중에서 전 분기 대비 매출 증가율 기준 위를 기록하는 등 수익성 까지 잡았다는 평가다 나 혼자만 레벨업 등 기존 웹툰 작품이 인기에 더해 올해 분기에 새로 나온 역하렘 게임 속으로 떨어진 모양입니다 그 오빠들을 조심해 이태원 클라쓰 등 한국 웹툰의 출시 직후 월간 매출 천만엔 약 억 만원 을 넘길 정도로 인기를 끌었다 앵커 는 카카오재팬이 돈을 벌고 있는 플랫폼인데다 추후 일본 현지에 상장 을 추진할 경우 수월하게 회수에 성공할 것으로 내다보고 베팅 했다 앵커 는 지난해 카카오 에 억원 카카오뱅크에 억원을 투자하는 등 카카오와의 인연을 이어가고 있다 카카오재팬의 몸값이 조원으로 평가받으며 웹툰 웹소설 컨텐츠 분야에서 치열하게 경쟁중인 네이버의 대응에도 업계 관심이 쏠리고 있다 네이버는 북미에서 글로벌 벤처캐피탈 등을 대상으로 미 법인 웹툰엔터테인먼트 의 투자유치를 진행 중이다 차준호 구민기 기자 이 기사는 월 일 자본시장의 혜안 마켓인사이트 에 게재된 기사입니다
5,2021-05-20,"SKT-카카오 VX, 메타버스 골프중계 선보인다",파이낸셜뉴스 텔레콤은 스포츠 디지털 트랜스포메이션 컴퍼니 카카오 와 업무 협약을 체결하고 인공지능 미디어와 차원 그래픽 기술을 활용해 메타버스 골프중계 기술을 공동 개발하기로 했다고 일 밝혔다 텔레콤은 카카오 와 내달 텔레콤 오픈 골프대회에 국내 최초로 가상과 현실이 결합된 메타버스 중계를 도입하기로 했다 이상원 카카오 그룹장 왼쪽부터 이종석 카카오 이사 이재광 텔레콤 미디어사업지원그룹장 오경식 스포츠마케팅그룹장이 협약 체결 후 기념촬영을 하고 있다 텔레콤 제공 양사는 내달 일 제주도 핀크스 골프장에서 개최되는 텔레콤 오픈 대회에 가상과 현실이 결합된 메타버스 중계를 도입하기로 하고 대회 주관사인 텔레콤이 제공하는 선수별 각종 데이터를 카카오 가 제공하는 맵과 결합해 실감나는 방송 영상을 제공할 계획이다 스크린골프 애호가들에게 익숙한 가상의 코스 위에 볼 낙하지점 볼 궤적 비거리 남은 거리 샷 분포도 등의 각종 데이터를 보여주는 메타버스 중계 방식이다 메타버스 중계는 번 번 번 개 홀에서 선보이며 레이더 기술을 활용해 가상의 공간에서 선수의 티샷 궤적을 실감나게 볼 수 있게 할 계획이다 특히 마지막 홀에서는 가 선수들의 퍼팅라인을 예측헤 실제 선수의 퍼팅과 비교해서 보는 재미를 더할 예정이다 이번 대회 중계에는 텔레콤의 다양한 미디어 빅테크 기술이 선보인다 우선 텔레콤은 기술을 활용해 개별선수를 인식해 선수별 홀별 주요 경기장면을 실시간으로 자동 편집하여 보여주는 하이라이트 기술을 선보인다 골프 코스 내 현장 잡음을 오디오 분리기술로 제거해 선수들이 홀을 공략하기 위해 캐디와 나누는 대화까지도 들을 수 있어 시청자들이 현장에 있는 듯한 생생함을 느낄 수 있다 아울러 화질개선 및 프레임 확장기술인 슈퍼노바를 활용헤 가 초당 프레임인 선수들의 스윙 동작을 프레임으로 변환한 슬로모션으로 보여줘 시청자들은 초고속카메라도 촬영하지 못하는 선수들의 스윙 순간을 자세히 볼 수 있다 이번 대회는 골프 채널을 통해 내달 일 오전 시부터 생중계되며 매 라운드 경기종료 후 매거진프로그램 리뷰쇼에서 대회중계에서 보여주지 못한 다양한 경기내용이 방송된다 과거 텔레콤 오픈 대회의 주요 장면과 기술을 활용해 제작된 이번 대회 모든 영상 클립은 브로드밴드 인터넷 와 모바일 를 통해서도 볼 수 있다 이재광 텔레콤 미디어사업지원그룹장은 메타버스와 를 활용한 골프 생중계가 가능해지면서 가까운 미래에는 경기현장의 프로 골프선수와 스크린골프장의 골프 애호가들의 동반 경기가 가능해지는 등 스포츠선수와 팬들의 다양한 교류가 가능하다 고 말했다 서영준 기자
6,2021-05-20,"SK텔레콤, 카카오VX와 '메타버스 라이브 골프중계' 첫 선",월 개최 텔레콤 오픈 대회에 국내 첫 메타버스 중계 도입 왼쪽부터 이상원 카카오 그룹장 이종석 카카오 이사 이재광 미디어사업지원그룹장 오경식 스포츠마케팅그룹장 아시아경제 구은모 기자 텔레콤이 카카오 와 인공지능 미디어와 그래픽 기술을 활용해 메타버스 골프중계 기술을 공동 개발하기로 했다고 일 밝혔다 두 회사는 다음달 일 제주도 핀크스 골프장에서 개최되는 텔레콤 오픈 에서 가상과 현실이 결합된 메타버스 중계를 도입하기로 했다 이번 협약을 통해 텔레콤은 대회 관련 코스 정보 타수와 비거리 등 선수와 관련된 모든 실시간 데이터를 제공하고 카카오 는 골프장 데이터 맵과 실시간 및 실측 데이터 연동을 통해 데이터를 그래픽으로 표현한다 스크린골프 애호가들에게 익숙한 가상의 코스 위에 볼 낙하지점 볼 궤적 비거리 남은 거리 샷 분포도 등의 각종 데이터를 보여주는 메타버스 중계 방식이다 메타버스 중계는 번 번 번 개 홀에서 선보이며 레이더 기술을 활용해 가상의 공간에서 선수의 티샷 궤적을 실감나게 볼 수 있게 할 계획이다 특히 마지막 홀에서는 가 선수들의 퍼팅라인을 예측해 실제 선수의 퍼팅과 비교해서 보는 재미를 더할 예정이다 이번 대회 중계에는 개별선수를 인식해 선수별 홀별 주요 경기장면을 실시간으로 자동 편집해 보여주는 하이라이트 기술 골프코스 내 현장 잡음을 제거한 오디오 분리기술 등을 도입해 몰입감과 현장감을 높일 계획이다 이재광 텔레콤 미디어사업지원그룹장은 메타버스와 를 활용한 골프 생중계가 가능해지면서 가까운 미래에는 경기현장의 프로 골프선수와 스크린골프장의 골프 애호가들의 동반 경기가 가능해지는 등 스포츠선수와 팬들의 다양한 교류가 가능하다 고 밝혔다 이종석 카카오 이사는 이번 텔레콤과 파트너십을 통해 카카오 가 스포츠 디지털 트랜스포메이션 행보를 확장시키며 새로운 중계 서비스에 도전할 수 있게 됐다 며 향후 카카오 의 기술이 집약된 메타버스 중계 시스템을 선보이며 스포츠 중계의 새로운 패러다임을 제시해 나가겠다 고 말했다 이번 대회는 골프 채널을 통해 월 일 오전 시부터 생중계되며 매 라운드 경기종료 후 매거진프로그램 리뷰쇼 에서 대회중계에서 보여주지 못한 다양한 경기내용이 방송된다 과거 오픈 대회의 주요 장면과 기술을 활용해 제작된 이번 대회 모든 영상 클립은 브로드밴드 와 모바일 를 통해서도 볼 수 있다 구은모 기자
7,2021-05-20,"카카오VX-SKT, '메타버스 골프중계' 맞손",머니투데이 윤지혜 기자 이상원 카카오 마케팅그룹장 이종석 카카오 스크린골프 개발 담당 이사 이재광 텔레콤 미디어사업지원그룹장 오경식 텔레콤 위원장 왼쪽부터 사진 카카오게임즈 카카오 는 텔레콤과 가상과 현실을 넘나드는 메타버스 중계 시스템 공동 개발하기 위한 양해각서 를 체결했다고 일 밝혔다 양사는 내달 일 제주 서귀포 핀스크 에서 열리는 텔레콤 오픈 에서 신개념 골프 중계 서비스를 선보일 예정이다 카카오 는 골프장 데이터 지도 와 실시간 실측 데이터를 연동해 데이터를 그래픽으로 나타낸다 텔레콤은 코스 정보와 타수 비거리 등 선수 및 대회와 관련된 실시간 데이터를 제공한다 카카오 는 선수의 샷 데이터를 실시간으로 프렌즈 스크린 에 결합해 타구 궤적 및 낙하 지점을 실감나게 구현한다 인공지능 기술을 활용해 퍼팅 라인 예측도 생중계한다 또 번 홀을 메타버스 중계 홀로 지정해 선수들 샷 이후 실제 골프장이 아닌 프렌즈 스크린 맵으로 생생하게 구현하는 등 입체적인 볼거리를 준비한다 이종석 카카오 이사는 텔레콤과의 파트너십으로 카카오 가 스포츠 디지털 트랜스포메이션 행보를 확장하며 새로운 중계 서비스에 도전할 수 있게 됐다 며 향후 메타버스 중계 시스템을 선보여 스포츠 중계의 새로운 패러다임을 제시해 나가겠다 고 말했다 윤지혜 기자
8,2021-05-20,"카카오, 일부 직원 '격려포상' 했다가…""차등하냐"" 내부 반발",머니투데이 윤지혜 기자 사진 카카오 카카오가 일부 직원 대상 포상 제도를 마련했다가 내부 반발을 샀다 일 업계에 따르면 카카오는 최근 조직장이 추천한 본사 직원 여 명에게 서울 시내 호텔 박 숙박권을 지급하는 포상 프로그램을 마련했다 긴급 프로젝트나 태스크포스 등에 참가한 직원을 대상으로 휴식을 제공하는 단발성 프로그램이라는 게 회사측 설명이다 그러나 일부 임직원들은 고 성과자를 선별해 복지 혜택에 차등을 두는 것이 아니냐 며 반발하고 있다 카카오 노동조합 크루유니언 은 모호한 성과 책정 근거와 위화감 조성 등을 이유로 이번 계획에 반대하는 입장문을 회사 측에 보낸 것으로 알려졌다 여민수 공동대표가 내부 인트라넷에 이해를 바란다 는 취지의 글을 올리며 진화에 나섰지만 내부 반발은 수그러들지 않고 있다 카카오 관계자는 번아웃 이 우려되는 임직원에게 가족과 함께 휴식을 취할 수 있도록 호텔 숙박권을 제공하는 스팟성 포상 제도 라며 기존의 휴양시설 복지제도를 축소하거나 선별적으로 적용해 운영하는 것이 아니다 라고 설명했다 윤지혜 기자
9,2021-05-20,디지털화폐 속도내는 한은…네이버 Vs 카카오 Vs 시중은행 '합종연횡',중앙은행 독점 발행 법정 통화와 동일한 가치 지위 전자적 형태 발행 분산원장기술 적용한 관리 차이 블록체인 기술 가장 적합 기업과 시중은행 등 경쟁 치열 한은 모의실험 거쳐 발행 타당성 검토하고 논의할 것 이데일리 이윤화 기자 중앙은행 디지털화폐 발행을 위한 준비작업에 속도를 내고 있다 발행에 미온적이던 한은의 태도가 바뀐 것은 코로나 이후 비대면 거래가 급증하면서 종이돈에 대한 필요성은 줄어든 반면 페이스북의 디엠 리브라 과 같이 민간기업이 가치를 보장하는 스테이블 코인이 확산하면서 실기할 경우 중앙은행 발행 화폐의 위상이 위협당할 수 있다는 우려 때문으로 풀이된다 일 한국은행에 따르면 이달 말 모의실험 참가 주체를 선정하기 위해 입찰공고를 준비 중이다 입찰이 끝나면 선정한 업체 한 곳과 월부터 내년 월까지 의 제조 발행 유통 환수 폐기 까지 생애주기별 처리 업무와 송금 대금결제 등의 서비스 기능을 실험한다 를 발행 은행 등을 거쳐 기업과 개인에게 유통되고 사용되는 전 과정을 가상환경에서 테스트한다 사진 연합뉴스 한국은행의 디지털화폐 어떻게 만들고 유통할까 한은은 지난해부터 모의실험 계획을 수립하고 올 월 컨설팅 작업을 완료했다 이를 바탕으로 현재 모의시스템 환경을 구축할 업체를 선정하고 실험을 준비하는 단계까지 왔다 한은이 검토 중인 는 각국의 중앙은행들이 전자적 형태로 발행하는 화폐다 블록체인 기술만 있으면 누구나 발행할 수 있는 가상화폐 암호자산 와 달리 오직 중앙은행만이 독점적 발권력을 갖는 법정 통화다 현금과 동일한 가치를 갖는다 또 시중은행 카드 및 증권사 등 기존의 지급결제 시스템과 금융 생태계 내에서 문제없이 통용되어야 한다 한마디로 로 개인 간의 송금부터 월급을 정산 받고 쇼핑이나 주식거래 등도 할 수 있는 등 기존의 돈을 사용하는 것처럼 잘 작동할 수 있어야 한다는 것이다 한은도 국제결제은행 이 제시한 대 기본 원칙에 맞춰 이번 모의실험을 진행할 계획이다 대 원칙은 발행이 중앙은행의 통화정책 및 금융안정 정책 수행을 저해하지 않을 것 현행 중앙은행 통화와 상호 보완적 관계를 맺으며 동시에 민간통화와는 공존하는 방향으로 설계 지급결제 부문의 경쟁과 혁신을 촉진 등 세 가지다 한국은행 관계자는 은행 기업 등의 거래인 거액결제 시스템과 일반인들까지 사용하는 소액결제시스템 지난해에는 증권결제 테스트도 각각 따로 실험해 보았다 며 이번에는 생애주기별 처리업무 등 화폐가 전자 형태로 이용될 수 있는 과정 전반을 실험할 것 이라고 했다 자료 한국은행 스웨덴식 분산원장기술 방식 검토 현재 를 모색 중인 국가는 전 세계 여개국 정도이다 발행 및 관리의 기술 형태로 보자면 한은의 는 중국의 디지털 위안화보다는 스웨덴의 크로나 나 바하마의 디지털화폐 샌드달러 에 더 가깝다 한은 관계자는 중국 인민은행이 디지털 위안화를 어떻게 발행했다고 정확히 밝히지는 않았지만 분산원장 방식이 아니라는 점은 분명히 했다 이점에서 한은의 와는 성격이 좀 다르다 고 말했다 샌드달러나 크로나는 모두 분산원장기술 로 만들어졌다 분산원장이란 거래정보가 기록된 원장을 특정 기관의 중앙 서버가 아닌 공유 네트워크에 분산해 참가자가 공동으로 기록 관리하는 기술을 의미한다 증권회사를 통해 거래하는 주식을 한국예탁결제원 이 맡아 관리하거나 중앙은행이 은행들의 지급준비금 등을 관리하는 중앙집중형 시스템이 아니라 중앙은행을 포함한 페이 업체 카드사 등의 다양한 주체가 거래정보를 나눠 기록하는 방식이다 하나의 거래원장만 사용해 관련기록을 관리하는 단일원장 방식은 보안관리에 취약하다 한은은 신뢰할 수 있는 참여자에 한해 거래검증 및 원장기록 권한을 부여해 계좌 관리를 허용하는 허가형 분산원장 방안을 검토 중이다 스웨덴은 사의 코다 분산원장기술에 기반해 크로나의 플랫폼을 설계했다 발행에 꼭 블록체인 기술이 필요한 것은 아니지만 현재로서는 데이터 위 변조 방지를 위한 보안기술과 분산원장 관리 모두를 충족하는 최적의 기술이다 거래 관리에 있어 개인정보보호 문제가 중요한 상황에서 익명성 보장에도 블록체인 기술이 유리하다 현재 한은의 모의실험 참가업체 중 유력한 후보로 네이버와 카카오 두 곳이 주로 언급되는 이유다 네이버는 페이 시스템을 갖춘 네이버파이낸셜 과 자회사 라인의 블록체인 기술개발을 총괄하고 있는 언체인 등과 함께 모의실험 입찰에 참여할 예정이다 카카오는 카카오페이와 블록체인 전문 자회사인 그라운드 등과 입찰을 준비 중이다 기업들 이외에도 와 함께 블록체인 기반 디지털화폐 플랫폼을 시범 구축한 신한은행 포스텍 크립토블록체인연구센터와 함께 시스템을 개발하고 있는 하나은행 등 시중은행도 한은의 사업에 눈독을 들이고 있다 자료 한국은행 한은 관계자는 기업들은 페이 업체와 블록체인 기술력을 가진 자회사 혹은 협력사들과 함께 발행에 필요한 기술 제공과 유통을 담당할 중개기관 역할 둘 모두를 할 목적으로 입찰을 준비 중 이라며 경쟁력을 키우기 위해 시중 은행 등 금융사들과도 협력 전선을 구축할 가능성도 있어 보인다 고 전했다 한은은 모의실험을 끝낸 뒤 실제 발행을 검토할 예정이다 앞서 가상 테스트를 끝낸 스웨덴은 사용자들이 전자지갑에 크로나를 보유하고 모바일앱 등을 통해 이를 지급 입출금 송금할 수 있도록 하는 플랫폼을 개발 중이다 한은 관계자는 지급결제 서비스 시장이 잘 발달해 가까운 시기 내에 발생 필요성이 크지 않아 당장 상용화를 목표로 하진 않는다 디지털 통화 사용 확장에 대한 미래 대비 차원으로 모의실험 등을 준비하는 것이고 거래의 안정성이나 법적 지위 등은 앞으로 더 검토해야 할 문제 라고 말했다 이윤화
