,날짜,기사제목,본문내용
0,2021-05-03,"이마트, 가정의 달 맞아 '건강가전' 20% 할인 판매",머니투데이 임찬영 기자 사진 이마트 제공 이마트가 가정의 달을 맞아 오는 월 일 수요일까지 대대적인 건강가전 행사에 돌입한다고 일 밝혔다 이마트는 행사 기간 세라젬 마스터 를 만원에 판매하며 구매 고객에게 신세계상품권 증정 등 추가 혜택을 제공한다 또한 프라엘 메디헤어 는 만원에 선보여 사은품 증정 등 프로모션을 펼치고 코지마 혈압계 코지마 자동전자혈압계 를 각각 씩 할인된 만 원 만 원에 판매한다는 방침이다 이마트는 코로나발 집콕문화 장기화 및 기술 발달로 인해 홈 헬스 케어 가전의 간소화 소형화가 활발히 진행되면서 관련 시장이 빠르게 커지고 있어 전통적인 안마기 안마의자가 아닌 건강가전에 힘을 싣고 있다고 설명했다 실제로 이마트가 지난해 월부터 올 월까지 최근 년간 안마의자 매출을 분석한 결과 세라젬 마스터 가 안마의자 매출 위를 기록한 것으로 나타났다 안마의자 매출 상위 개 품목 중 개는 세라젬 제품이었다 이마트는 년부터 세라젬에 대한 테스트 운영을 시작했으며 지난해 월부터는 전국 여개 점포에서 세라젬 제품을 판매하고 있다 당초 의료기기 라는 인식과 더불어 높은 가격 때문에 가정에서 세라젬을 구매하는 경우는 다소 드물었으나 안마의자 시장이 급속히 성장하고 고가의 기능성 안마의자 보급도 보편화되면서 매출이 큰 폭으로 늘고 있다는 설명이다 올 초부터 본격적인 판매를 시작한 프라엘 메디헤어도 월 기준 매출이 지난 월 대비 배 이상 증가했다 과거에는 탈모전문병원이나 클리닉을 방문해야 이와 같은 기능을 가진 전문 의료기기를 접할 수 있었으나 메디헤어가 출시되며 가정에서 비교적 손쉽게 탈모관리를 할 수 있게 됐다는 평가가 나온다 이외에도 올 월부터 월까지 이마트의 혈압계 혈당계 비접촉체온계 등 매출은 전년 동기 대비 신장했다 양승관 이마트 건강가전 바이어는 코로나 로 건강 관리에 대한 관심도가 대폭 높아진 가운데 가정 내에서 쉽고 편하게 쓸 수 있는 홈 헬스 케어 가전이 대거 출시되고 있다 며 향후 이러한 패러다임 전환에 적극 대처하고 고객들에게 우수한 제품을 선보일 수 있도록 우수상품 발굴에 힘쓸 예정 이라고 말했다 임찬영 기자
1,2021-05-02,이마트 자양점에 첫 샴푸·바디워시 리필 스테이션,국내 대형마트 최초 오픈 이마트 자양점 리필스테이션 이마트 제공 이마트는 서울 자양점에 국내 대형마트 가운데 처음으로 샴푸 바디워시 리필 스테이션 을 선보인다고 일 밝혔다 이번에 문을 여는 아모레스토어 헤어 바디 는 아모레퍼시픽이 운영하는 헤어 바디용품 전문점으로 여종의 특화 상품과 더불어 샴푸 바디워시 리필 스테이션 고객 맞춤형 향 추천 공간 센트 아뜰리에 로 구성돼 있다 자양점에 마련된 샴푸 바디워시 리필 스테이션 에서는 아모레퍼시픽에서 개발한 향 특화 샴푸 종과 바디워시 종의 상품을 리필 형식으로 판매한다 대표 상품으로 해피바스 로지 페탈퍼퓸 바디워시 미쟝센 뉴퍼펙트 샴푸 등이 준비됐다 버려진 플라스틱을 재활용해 만든 플라스틱 전용 리필용기 개당 원 에 용량을 선택해 구매할 수 있다 앞서 이마트가 지난해 월 대형마트 최초로 선보인 세탁세제 섬유유연제 리필 자판기 에코 리필 스테이션 은 지구의 날 월 일 을 기념해 이마트 청계천점에 호점을 오픈했다 에코 리필 스테이션 은 현재 이마트 개점 트레이더스 개점으로 고객 접점을 넓혔고 이용고객은 지난해 월 여명에서 올해 월 여명으로 늘었다 이마트 최종건 헬스 일상 담당은 필 환경 시대를 맞아 상품 판매 방식도 친환경을 추구하는 고객의 관점에서 혁신하고 있다 며 작은 실천들을 모아 환경 사회 지배구조 경영에 앞장 설 것 이라고 밝혔다 김주영 기자
2,2021-05-02,"ESG 경영 속도내는 이마트, 세제 이어 샴푸 리필 매장도 열었다",자양점에 아모레 리필 스토어 선보여 기존 세제 리필 자판기는 호점 오픈 일 서울 이마트 자양점을 찾은 고객이 아모레퍼시픽이 운영하는 샴푸 바디워시 리필 충전소를 이용하고 있다 이곳에서는 아모레퍼시픽에서 개발한 향 특화 샴푸 종과 바디워시 종의 상품을 리필 형식으로 판매한다 사진제공 이마트 서울경제 이마트가 세제 리필 스토어에 이어 화장품 리필 스토어도 오픈하면서 환경 사회 지배구조 경영에 박차를 가하고 있다 이마트는 자양점에 샴푸와 바디워시 리필 스테이션인 아모레스토어 헤어 바디숍 호점을 오픈한다고 일 밝혔다 이곳에서는 아모레퍼시픽에서 개발한 향 특화 샴푸 종과 바디워시 종의 상품을 리필 형식으로 판매한다 맞춤형 화장품법에 따라 맞춤형 화장품 조제 관리사가 상주하며 직접 제품을 리필 해준다 리필 스테이션을 처음 찾은 고객은 버려진 플라스틱을 재활용해 만든 전용 리필 용기 개당 원 를 선택해 구매할 수 있으며 이후에는 같은 용기에 계속 충전할 수 있다 대표 상품으로는 해피바스 로지 페탈퍼퓸 바디워시를 리필 시 원 리필 시 원에 미쟝센 뉴퍼펙트 샴푸는 리필 시 원 리필 시 원에 구매할 수 있다 또 아모레스토어 헤어 바디 매장에서는 고객이 직접 원하는 향과 그에 맞는 상품을 고를 수 있는 센트 아뜰리에 공간도 선보인다 이밖에 이마트가 지난해 월 대형마트 최초로 선보인 세탁세제 섬유유연제 리필 자판기 에코 리필 스테이션 도 호점으로 확대했다 에코 리필 스테이션은 세대로부터 큰 호응을 얻으며 이용 고객이 지난해 월 여명에서 올해 여명까지 배 이상 늘었다 이마트는 올 상반기 내에 에코 리필 스테이션 개점을 추가로 오픈할 계획이다 최종건 이마트 헬스 일상 담당은 필환경 시대를 맞아 상품 판매 방식도 친환경을 추구하는 고객의 관점에서 혁신하고 있다 며 진정한 사회적 책임을 다하는 경영에 앞장 설 것 이라고 말했다 박민주 기자
3,2021-05-02,"이마트, 대형마트 최초 '샴푸·바디워시 리필 매장' 도입",이마트 자양점 리필스테이션 이마트 제공 이마트는 서울 자양점에 국내 대형마트 가운데 처음으로 샴푸 바디워시 리필 스테이션 을 선보인다고 일 밝혔다 이번에 문을 여는 아모레스토어 헤어 바디 는 아모레퍼시픽이 운영하는 헤어 바디용품 전문점으로 여종의 특화 상품과 더불어 샴푸 바디워시 리필 스테이션 고객 맞춤형 향 추천 공간 센트 아뜰리에 로 구성돼 있다 자양점에 마련된 샴푸 바디워시 리필 스테이션 에서는 아모레퍼시픽에서 개발한 향 특화 샴푸 종과 바디워시 종의 상품을 리필 형식으로 판매한다 대표 상품으로 해피바스 로지 페탈퍼퓸 바디워시 미쟝센 뉴퍼펙트 샴푸 등이 준비됐다 버려진 플라스틱을 재활용해 만든 플라스틱 전용 리필용기 개당 원 에 용량을 선택해 구매할 수 있다 앞서 이마트가 지난해 월 대형마트 최초로 선보인 세탁세제 섬유유연제 리필 자판기 에코 리필 스테이션 은 지구의 날 월 일 을 기념해 이마트 청계천점에 호점을 오픈했다 에코 리필 스테이션 은 현재 이마트 개점 트레이더스 개점으로 고객 접점을 넓혔고 이용고객은 지난해 월 여명에서 올해 월 여명으로 늘었다 이마트 최종건 헬스 일상 담당은 필 환경 시대를 맞아 상품 판매 방식도 친환경을 추구하는 고객의 관점에서 혁신하고 있다 며 작은 실천들을 모아 환경 사회 지배구조 경영에 앞장 설 것 이라고 밝혔다 김주영 기자
4,2021-05-02,"'여행아쉬움 기내식으로…'이마트24, 기내식 감성 도시락",머니투데이 김은령 기자 이마트 가 기내식 감성을 담은 도시락을 출시했다 기내식 감성 프라하편 과 기내식 감성 뉴욕편 등 총 종으로 각각 원이다 프라하편 은 간장비빔밥 콩단백 양념 갈비살 야채볶음과 함께 모닝빵 버터 소형 튜브 고추장으로 구성해 프라하 발 비행기에서 경험할 법한 기내식 도시락으로 출시했다 뉴욕편 은 뉴욕에서 즐겨먹는 에그 베네딕트와 함께 푸실리 샐러드 단호박 존슨빌 소시지 발사믹 소스로 구성돼 있다 이마트 는 해외 여행을 떠나지 못하는 고객들이 기내식 감성 도시락으로 잠깐이나마 여행의 설렘을 떠올리고 하루 빨리 여행을 떠날 수 있기를 바라는 마음을 담아 이번 상품을 기획했다 문정인 이마트 후레쉬푸드 팀 바이어는 고객들이 과거 여행을 떠날 때 느꼈던 행복한 기분을 기내식 감성 도시락을 통해 떠올리기를 바라는 마음으로 이번 상품을 기획했다 며 월 인기게임 로스트아크 협업 도시락 종이 큰 인기를 끌며 도시락 상품군 매출이 전년 대비 이상 증가했는데 월에는 이번 기내식 도시락까지 고객들의 호응을 얻을 것으로 기대하고 있다 고 말했다 김은령 기자
5,2021-05-01,"오죽하면…""최저가 보상"" 이마트의 ‘쿠팡 잡기’ 고육책 [박한신의 커머...",이마트 최저가 보상제 커머스 넘기 위한 돌직구 아닌 견제구 인 이유 이마트 사진 연합뉴스 이마트가 유통업계에 년 만의 가격 논쟁을 불러일으켰습니다 최저가격 보상 적립제 를 들고 나온 겁니다 가공 생활용품 상품 개를 정해 쿠팡 롯데마트몰 홈플러스몰보다 이마트가 비싸면 최저가와의 차액을 머니 로 적립해주겠다는 게 주요 내용입니다 년 마트 사 간의 치열한 최저가 경쟁을 떠올리는 사람들이 많습니다 원 전쟁 이라고 불리던 당시의 최저가 경쟁으로 삼겹살 가격이 원 밑으로 떨어지기까지 했다고 합니다 현재 소매가가 당 원 정도니까 물가 상승을 감안해도 원대는 말이 되지 않는 가격입니다 이마트가 이 제도를 내놓자 롯데마트도 참전했습니다 이마트에서 정한 개 상품을 대상으로 똑같이 최저가를 보장하고 매장에서 롯데마트 앱 스캔 결제 시 엘포인트를 배 적립해주겠다며 한술 더 떴습니다 대상 상품 개 중 대표적인 건 신라면 코카콜라 삼다수 새우깡 햇반 등 입니다 몇개 들이 상품인지 몇 짜리 상품인지도 정해져 있지만 품목별 최고 인기 브랜드가 들어가 있는 건 분명해 보입니다 이마트 제공 하지만 한 사람의 소비자로서 선뜻 싸다 좋다 는 생각이 잘 들지 않습니다 이마트 정책이 꼼수 라는 건 전혀 아닙니다 혜택이 피부로 와닿지 않을 뿐입니다 왜 그런지 생각해보고 여러 관계자들의 의견을 들어봤습니다 혜택이 와닿지 않은 이유는 여러가지였는데 그런 이유들이 발생한 이유는 한 가지였습니다 그건 이마트의 이 정책이 회심의 필살기 라기보다는 백약이 무효인 커머스와의 힘겨운 경쟁 속에서 나온 고육책에 가깝기 때문입니다 결국 최저가 마트 가 매력적이지 않은 건 현재의 소비시장에서 커머스와 비교해 본질적인 경쟁력이 떨어진다는 이유로 귀결됩니다 이마트 최저가 보상 적립제가 와닿지 않은 첫 번째 이유는 우선 최저가 보상의 방식입니다 머니는 이마트 오프라인 매장 에서 현금처럼 쓸 수 있는 쇼핑 포인트입니다 하루 최대 적립 한도는 포인트 사용기한은 적립 후 일이지만 차치하겠습니다 오프라인 매장에서만 쓸 수 있다는 게 가장 중요합니다 자사 가격이 비싸서 보상을 해주겠다고 나섰는데 다시 자사 매장에서만 써야한다는 게 고개를 갸웃하게 만듭니다 물론 이마트의 입장은 충분히 이해합니다 애초에 이 정책이 소비자들을 이마트 매장으로 끌어오기 위해 나온 것이기 때문입니다 이마트는 소비자들이 커머스로 몰려가고 있는 상황에서 어떻게든 발길을 돌리기 위한 정책을 내놓고 있고 최저가 보상제도 또한 그 연장선에 있습니다 하지만 소비자들 입장에선 보상으로 받은 포인트를 다시 이마트에서 소비해야하는 걸 납득하지 못할 수도 있습니다 이 정책이 보상 제도가 아니라 소비자 락인 효과를 노린 마케팅 전략에 가깝다는 시각이 설득력을 얻는 지점입니다 두 번째는 대상 품목이 전부 가공 생활용품이라는 점입니다 이마트는 신선식품에 비해 가공 생활용품이 균질화돼 있어 가격 비교가 쉽다는 점을 이유로 내세웁니다 맞는 말입니다 하지만 공급자적 생각 이기도 합니다 소비자들은 이제 무거운 햇반이나 콜라 샴푸 휴지를 사러 오프라인 매장에 가지 않습니다 비싸봤자 몇백원 차이일 겁니다 오프라인 마트에 가는 대신 편리하게 문 앞에 갖다주는 커머스를 이용합니다 오히려 오프라인 마트의 강점은 신선식품일지 모릅니다 어느 정도 질의 상품이 배달될지 오면서 신선도가 떨어질지 모를 커머스 업체보다 눈으로 확인할 수 있는 마트의 신선식품을 원하는 소비자들이 많습니다 이마트도 이를 모를 리 없습니다 업계에선 제품의 질과 가격이 천차만별인 신선식품보다는 균일한 가공 생활용품이 최저가 마케팅에 적합하다는 점을 이마트가 고려했을 거라 보는 분위기 입니다 이마트 또한 최저가 보상 적립제가 가격 경쟁력에 대한 소비자의 신뢰를 얻기 위한 것 이라고 말합니다 싸게 판다는 신뢰를 구축해 소비자를 매장으로 유치하기 위한 정책이란 겁니다 이마트가 최저가 보상 적립제를 통해 소비자 혜택과 자사의 이익을 접목시키려 한 것은 평가 받을 만한 일입니다 같은 상품을 싸게 판다는 것은 좋은 일이니까요 예전처럼 협력사에 갑질하고 납품가를 낮추라고 압력을 넣을 수도 없는 시대입니다 가격을 내리면 고스란히 이마트가 부담해야 합니다 다만 안타까운 건 이런 고육책을 통해서도 소비자들의 발걸음을 오프라인 매장으로 돌릴 수 있을지 의문이 들기 때문입니다 이마트와 경쟁 관계에 있는 한 대형마트 관계자의 푸념이 현재 업계의 상황을 말해주는 듯 합니다 마트가 오죽 힘들면 이렇게 하겠습니까 이마트와 경쟁관계지만 최저가 보상제에 대해 얄미운 것보단 고마운 게 더 큽니다 온라인만 싼 게 아니라 마트도 싸다는 이미지를 만들어서 마트 쪽으로 눈길을 조금이라도 돌리게 만들면 성공 아닐까요 년 전 마트 사의 최저가 전쟁은 지금과는 파괴력 이 달랐습니다 온라인 채널이 없었고 마트 사가 소비시장을 좌우하던 유통 생태계의 최고봉이었기 때문입니다 지금의 마트 최저가 정책은 년이면 강산이 변한다 는 말을 실감케 합니다 다시 마트가 진화해 본 궤도에 오르길 바라봅니다 박한신 기자
6,2021-04-30,"이마트24, 과일·채소 할인혜택으로 파이 키운다",이마트 에서 고객이 과일을 구매하고 있다 사진 이마트 제공 파이낸셜뉴스 편의점에서 과일 채소 등 신선식품을 구매하는 고객이 늘고 있다 이마트 는 연도별 과일 매출을 살펴본 결과 전년 대비 년 년 증가한데 이어 올해 월 일 월 일 도 의 높은 증가율을 기록했다고 일 밝혔다 채소 역시 매년 이상 매출이 늘어나고 있다 인 가구가 증가하는 사회구조적인 변화와 함께 코로나 로 인해 홈 밥 홈술을 즐기는 고객들이 간편한 요리나 디저트로 즐기기 위해 가까운 편의점에서 신선식품을 구매한 것으로 풀이된다 이러한 트렌드에 맞춰 이마트 는 매월 바이어가 선정한 과일을 할인 판매하는 이달의 과일 마케팅과 함께 채소 상품 종류를 늘리는 등 신선식품 키우기에 나섰다 이마트 는 월 이달의 과일로 청송 보조개 사과 입 를 선정하고 유통업계 최저가를 목표로 초특가 판매를 진행한다 청송 보조개 사과는 맛이나 선도에는 일반 사과와 차이가 없지만 약간의 흠이 있어 알뜰한 가격으로 제공하는 상품으로 월 일 일까지 일장 기간 동안 으로 판매한다 월 일 일에는 청송 보조개 사과 구매 시 하루 리터생수 를 증정한다 이마트 는 과일 할인 판매에 대한 고객들의 호응이 이어짐에 따라 매월 이달의 과일 마케팅을 진행할 계획이다 실제로 월의 과일로 선보였던 성주참외는 고객들의 호응을 얻으며 민생바나나에 이어 위를 기록했으며 과일 상품군 매출을 전월 대비 이상 끌어올렸다 과일 할인 혜택과 함께 채소 운영 상품도 여종 이상 대폭 확대했다 이마트 는 대파 마늘 양파 고추 감자 등 식재료로 많이 찾는 채소와 함께 모듬 쌈채소 부추 애호박 쑥갓 등 기존에 편의점에서 찾아보기 힘들었던 다양한 상품을 운영한다 이마트 관계자는 가까운 편의점에서 과일 채소를 구매하는 고객이 늘어남에 따라 과일 할인 혜택을 제공하고 운영 채소 종류를 다양화 하는 등 신선식품 구매 고객이 이마트 를 찾을 수 있도록 노력하고 있다 고 말했다 최재성 기자
7,2021-04-30,"이마트24, 과일 최저가에 채소 20종으로 늘렸다",신선식품 최근 년 증가율 가까운 편의점 장보기 늘어 헤럴드경제 오연주 기자 편의점에서 과일 채소 등 신선식품을 구매하는 고객이 늘면서 이마트 가 과일 최저가 할인 등에 본격적으로 나선다 이마트 는 매월 바이어가 선정한 과일을 할인 판매하는 이달의 과일 마케팅과 함께 채소 상품 종류를 늘리는 등 신선식품을 강화한다고 일 밝혔다 월 이달의 과일은 청송 보조개 사과 입 원 로 유통업계 최저가를 목표로 초특가 판매를 진행한다 청송 보조개 사과는 맛이나 선도에는 일반 사과와 차이가 없지만 약간의 흠이 있어 알뜰한 가격으로 제공하는 상품으로 월 일 일까지 일장 기간 동안 으로 판매한다 청송 사과 개를 원 개당 원에 구매할 수 있는 기회인 셈 월 일 일에는 청송 보조개 사과 구매 시 하루 리터생수 를 증정한다 과일 할인 혜택과 함께 채소 운영 상품도 여종 이상 대폭 확대했다 이마트 는 대파 마늘 양파 고추 감자 등 식재료로 많이 찾는 채소와 함께 모듬 쌈채소 부추 애호박 쑥갓 등 기존에 편의점에서 찾아보기 힘들었던 다양한 상품을 운영한다 편의점이 신선식품 강화에 나선 것은 인 가구가 증가하는 사회구조적인 변화와 함께 코로나 로 인해 홈 밥 홈술을 즐기는 고객들이 간편한 요리나 디저트로 즐기기 위해 가까운 편의점 쇼핑이 늘었기 때문이다 실제로 이마트 가 연도별 과일 매출을 살펴본 결과 전년 대비 년 년 증가한데 이어 올해 월 일 월 일 도 의 높은 증가율을 기록하고 있다 채소 역시 매년 이상 매출이 늘어나고 있다 박상현 이마트 신선식품 바이어는 과일 할인 혜택을 제공하고 운영 채소 종류를 다양화 하는 등 신선식품 구매 고객이 이마트 를 찾을 수 있도록 노력하고 있다 고 말했다
8,2021-04-30,"이마트24 ""매달 과일 할인…채소 20여종으로 확대""",머니투데이 이재은 기자 일 고객이 이마트 에서 과일을 고르고 있다 편의점에서 과일 채소 등 신선식품을 구매하는 고객이 늘어남에 따라 이마트 가 매달 바이어 선정 과일을 할인하고 판매되는 채소류 종류를 크게 늘린다고 일 밝혔다 일 이마트 에 따르면 연도별 과일 매출이 전년 대비 년 년 증가한 데 이어 올해 월 일까지 도 의 높은 증가율을 기록하고 있다 채소 역시 매년 이상 매출이 늘어나고 있다 인 가구가 증가하는 사회구조적인 변화와 함께 코로나 로 인해 홈 밥 홈술을 즐기는 고객들이 간편한 요리나 디저트로 즐기기 위해 가까운 편의점에서 신선식품을 구매한 것으로 풀이된다 이같은 트렌드에 맞춰 이마트 는 매월 바이어가 선정한 과일을 할인 판매하는 이달의 과일 마케팅과 함께 채소 상품 종류를 늘리는 등 신선식품 키우기에 나섰다 월 이달의 과일로 청송 보조개 사과 입 원 을 선정하고 유통업계 최저가를 목표로 특가 판매를 진행한다 청송 보조개 사과는 맛이나 선도에는 일반 사과와 차이가 없지만 약간의 흠이 있어 알뜰한 가격으로 제공하는 상품으로 월 일 일장 기간 동안 으로 판매한다 청송 사과 개를 원 개당 원에 구매할 수 있다 월 일에는 청송 보조개 사과 구매 시 하루 리터생수 를 증정한다 이마트 는 과일 할인 판매에 대한 호응이 이어져 매월 이달의 과일 마케팅을 진행할 계획이라고 말했다 월의 과일로 선보였던 성주참외는 민생바나나에 이어 인기 위에 올랐고 과일 상품군 매출을 전월 대비 이상 끌어올렸다 과일 할인 혜택과 함께 채소 운영 상품도 여종 이상 대폭 확대했다 이마트 는 대파 마늘 양파 고추 감자 등 식재료로 많이 찾는 채소와 함께 모듬 쌈채소 부추 애호박 쑥갓 등 기존에 편의점에서 찾아보기 힘들었던 다양한 상품을 운영한다 박상현 이마트 신선식품 바이어는 가까운 편의점에서 과일 채소를 구매하는 고객이 늘어남에 따라 과일 할인 혜택을 제공하고 운영 채소 종류를 다양화 하는 등 신선식품 구매 고객이 이마트 를 찾을 수 있도록 노력하고 있다 고 말했다 이재은 기자
9,2021-04-30,"""쇼핑하면 가전제품이 공짜""…이마트 9차 '이워드' 행사 연다",머니투데이 이재은 기자 이마트는 인기 캐시백 행사로 자리 잡은 이워드 차를 시작한다고 일 밝혔다 이워드란 이마트에서 특정 카드로 매월 일정 금액을 쇼핑하면 할부금 전액 돌려받을 수 있는 행사를 말한다 이마트는 오는 월까지 이마트 개점과 일렉트로마트 개점에서 이워드 행사 접수를 선착순으로 진행한다 행사 상품은 선물 수요가 늘어나는 가정의 달을 맞아 역대 최다인 총 개로 준비됐다 대표 제품으로 삼성 휘센 스탠드 에어컨 오브제 김치냉장고 등이 있다 이번 행사는 현대카드로 진행된다 가입 첫 달의 할부금은 쇼핑약정 달성 여부와 관계없이 이마트가 전액 지원한다 이후 전국 이마트 일렉트로마트 매장에서 매달 일에서 말일까지 해당 카드로 약정 금액을 쇼핑하면 현대카드 결제 계좌로 월 할부금이 캐시백된다 이마트 최훈학 마케팅 상무는 이워드가 매 회차 때마다 고객들에게 큰 호응을 얻어 인기 상품을 추가 투입하고 있다 며 다양한 가전을 합리적으로 살 수 있도록 하겠다 고 말했다 이재은 기자
