time,title,context
2021-05-31,"네이버·카카오, 오디오 시장 격돌",카카오 한국형 클럽하우스 출시 예고 네이버 별 조직 신설해 오디오 사업 강화 서울경제 음성 기반 사회관계망서비스 클럽하우스 열풍 으 국내 오디오 시장 네이버 카카오 격전 벌 카카오 한국판 클럽하우스 출시 소식 네이버 오디오 사업들 데 사내독립기업 을 신설 등 격 주도권 예고 일 업계 카카오 클럽하우스 비슷 음성 기반 서비스 예정 가칭 사운드 오디오 시장 카카오 쌍방향식 소통 플랫폼 것 이번 처음 월 중 것 관측 제기 사운드 사회 연사 청중 구성 방 참석자들 자유 방식 유력 것 카카오 관계자 기존 카카오톡 오픈채팅방 오디오 버전 며 카카오톡 년 운영 노하우 이식 음성 경쟁력 수 판단 설명 네이버 월 튠 를 오디오 서비스 힘 튠 라이브 스트리밍 나우 음악 플랫폼 바이브 오디오북 팟캐스트 오디오클립 등 운영 네이버 주력 사업 때 활용 대표 전략 오디오 사업 네이버 오픈채팅형 창작자 중심 팬덤 소통 강조 점 카카오 차이 나우에서 아이돌 인디 가수 등 아티스트들 자기만 공간 들 채팅 소통 네이버 관계자 콘텐츠 아래 다양한 사람 쪽 방향 면 클럽하우스 형태 신규 서비스 검토 말 올해 클럽하우스 인기 글로벌 기업들 오디오 서비스 트위터 이달 초 음성 커뮤니티 기능 스페이스 를 출시 페이스북 팟캐스트 라이브 오디오 룸 등 오디오 기능 계획 이 오디오 서비스 돌풍 클럽하우스 안드로이드 버전 론칭한 후 전 세계 만명 이상 안드로이드 사용자들 앱 가입 것 업계 관계자 오디오 서비스 글로벌 콘텐츠 시장 대세 자리 면 기능들 출시 경쟁 치열 것 이 전망 한편 골드만삭스 년 억 약 조 억 원 수준 오디오 콘텐츠 시장 년 억 달러 성장 것 박현익 기자
2021-05-31,"전북은행, 카카오엔터프라이즈 디지털 혁신",서한국 전북은행장 왼쪽 과 백상엽 카카오엔터프라이즈 대표이사 일 금융그룹 여의 사옥 업무협약식 진행 기념촬영 전북은행 제공 파이낸셜뉴스 전북은행 카카오엔터프라이즈 데이터 인공지능 을 활용 디지털 혁신 적극 추진 전략적 업무협약 을 일 일 전북은행 카카오 이번 협약 비대 고객 디지털마케팅 고도화 일 방식 문화 개선 디지털 워크플레이스 도입 클라우드 기반 에자 운영환경 조성 전북은행 마이데이터 플랫폼 고도화 데이터 분석 역량 고도화 등 다양한 분야 적극 협력 비대면 차별화 고객경험 제공 카카오 플랫폼 활용 적극 검토 예정 카카오톡 채널 신규 고객 유입 마케팅 챗봇 활용 상품 가입 프로세스 고도화 등 추진 계획 디지털 워크플레이스 조성 공동 추진 카카오워크 기반 사내 업무 혁신 비대 특화 영업 지원 체계 마련 등 협력 사업 확대 방침 이용안 기자
2021-05-31,"전북은행·카카오엔터프라이즈, 데이터 활용 맞손",금융그룹 전북은행 카카오엔터프라이즈 데이터 인공지능 을 활용 디지털 혁신 추진 전략적 업무협약 을 일 전북은행 제공 전북은행 카카오 이번 협약 비대 고객 디지털마케팅 고도화 일 방식 문화 개선 디지털 워크플레이스 도입 클라우드 기반 에자 운영 환경 조성 전북은행 마이데이터 플랫폼 고도화 데이터 분석 역량 고도화 등 다양한 분야 협력 비대면 차별화 고객 경험 제공 카카오 플랫폼 활용 적극적 검토 예정 카카오톡 채널 신규 고객 유입 마케팅 챗봇 활용 상품 가입 프로세스 고도화 등 추진 계획 카카오워크 기반 사내 업무 혁신 비대 특화 영업 지원 체계 마련 등 협력 사업 확대 방침 박소정 기자
2021-05-31,"전북銀, 카카오엔터 활용 체결",비대 고객 마이데이터 플랫폼 고도화 헤럴드경제 홍승희 기 금융그룹 전북은행 카카오엔터프라이즈 데이터 인공지능 을 활용 디지털 혁신 적극 추진 전략적 업무협약 를 일 금융그룹 여의 사옥 진행 협약식 서한국 전북은행장 백상엽 카카오엔터프라이즈 대표이사 등 양사 관계자들 참석 전북은행 카카오 이번 협약 비대 고객 디지털마케팅 고도화 일 방식 문화 개선 디지털 워크플레이스 도입 클라우드 기반 에자 운영환경 조성 전북은행 마이데이터 플랫폼 고도화 데이터 분석 역량 고도화 등 다양한 분야 적극 협력 비대면 차별화 고객경험 제공 카카오 플랫폼 활용 적극 검토 예정 카카오톡 채널 신규 고객 유입 마케팅 챗봇 활용 상품 가입 프로세스 고도화 등 추진 계획 디지털 워크플레이스 조성 공동 추진 카카오워크 기반 사내 업무 혁신 비대 특화 영업 지원 체계 마련 등 협력 사업 확대 방침 백상엽 카카오엔터프라이즈 대표이사 클라우드 기술 단계적 적용 전북은행과 협력 확대 고객 기술 공급자 관계 동반 성장 진정한 파트너 관계 성장 수 최선 말 서한국 전북은행장 이번 협약 자동화 신기술 접목 영업 채널 등 일 방식 의사결정 기업문화 혁신 전북은행만 차별화 디지털 경쟁력 확보 것 이
2021-05-31,카카오엔터프라이즈-전북은행 업무 혁신,전북은행 서한국 왼쪽 은행장 카카오엔터프라이즈 백상엽 대표 제공 카카오 서울경제 카카오 엔터프라이즈 전북은행 인공지능 클라우드 데이터 분석 등 디지털 트랜스포메이션 전환 신기술 지원 업무 인프라 혁신 카카오엔터프라이즈 전북은행 신기술 파트너십 전략적 업무 협약 을 체결 일 전북은행 카카오엔터프라이즈 카카오톡 채널 챗봇 등 결합 기반 고객 응대 플랫폼 카카오 커넥트 기업용 클라우드 플랫폼 카카오 클라우드 등 기술 도입 적극 검토 중 신규 고객 유입 마케팅 디지털 상담 시스템 인프라 운영 고도화 종합 업무 플랫폼 카카오워크 전북은행 업무 인프라 혁신 카카오워크 비대 시대 필요 업무 기능 협업툴 세무 법률 부동산 등 다양한 상담 서비스 영업점 적용 비대 특화 영업 지원 체계 구축 목표 백상엽 카카오엔터프라이즈 대표 클라우드 기술 단계적 적용 전북은행과 협력 확대 단순 고객 기술 공급자 관계 동반성장 진정한 파트너 관계 성장 수 최선 라 서한국 전북은행장 이번 협약 자동화 신기술 접목 영업 채널 등 일 방식 의사결정 기업문화 혁신 전북은행만 차별화 디지털 경쟁력 확보 것 이 말 박현익 기자
2021-05-31,삼성카드 카카오 밀월 앱투앱 서비스 이 출격,카카오페이 포인트 적립 혜택 양사 대표 카드 카카오페이 신용카드 모습 제공 삼성카드 카카오페이 서울경제 삼성카드 국내 대표 플랫폼 기업 카카오 협업 강화 지난해 각종 제휴 데 이 상업자 표시 신용카드 도 출시 일 삼성카드 카카오페이 카카오페이 신용카드 를 삼성카드 를 것 이번 처음 특징 카드 온라인 가맹점 현금 사용 수 카카오페이 포인트 지급 것 구체적 전월 실적 관계 해외 가맹점 결제 시 카카오페이 포인트 적립 혜택 상한선 제공 통신 요금 자동 납부 신청 전월 이용 금액 최대 포인트 넷플릭스 웨이브 등 스트리밍 서비스 정기 결제 시 포인트 적립 연말 국내 가맹점 카드 결제하 결제액 를 포인트 카카오페이 경유해 결제하면 적립 카카오페이 카카오 주요 가맹점 이용 결제 금액 를 포인트 대상 가맹점 멜론 카카오 기차 예매 제외 카카오톡 선물하기 주문하기 카카오 프렌즈샵 골프예약 등 적립 때 전월 실적 조건 적립 한 밖 월 말 원 이상 카카오페이 결제하 만원 할인 쿠폰 지급 행사 진행 쿠폰 최대 번 제공 를 삼성카드 카카오페이 포인트 적립률 신규 고객 유치 수 것 카카오 페이 결제 카카오 서비스 이용 것 양사 카드 대표 카드 육성 계획 삼성카드 카카오 협업 지난해 지난해 월 양 업계 최초 앱투앱 연동 서비스 를 도입 삼성카드 애플리케이션 편 결제 메뉴 카카오페이 아이콘 클릭 별도 인증 절차 카카오페이 삼성카드 등록 수 반대 카카오페이 메뉴 일일 카드 번호 등 입력 필요 삼성카드 앱카드 인증만 삼성카드 등록 수 카드 등록 이후 삼성카드 앱 편 결제 메뉴 카카오페이 아이콘 선택 결제 가능 이 카카오페이 내 삼성카드 이용 회원 지난해 월 대비 올해 월 현재 약 두 증가 양 지난해 월 빅데이터 활용 공동 마케팅 삼성카드 빅데이터 마케팅 서비스 링크 를 카카오페이 이용 가능성 고객 콕 광고 방식 결과 삼성카드 회원 카카오페이 월 평균 신규 이용자 수 올해 월 전년 기간 대비 증가 밖 지난해 월 카카오뱅크 삼성카드 출시 월 카카오 쇼핑라이브 를 삼성카드 홀가분마켓 라이브 열리 홀가분마켓 삼성카드 상생 활동 중소상공 등 판 개척 지원 것 행사 일주 간 명 방송 시청 삼성카드 관계자 카카오 협업 테크핀 금융사 협업 생태계 구축 며 앞 디지털 빅데이터 활용 마케팅 등 협업 강화 양 회원 만족 수 서비스 제공 계획 이 강조 이태규 기자
2021-05-31,단독 카카오 수 제안 에이블리 620억 투 유치,기반 맞춤형 패션 추천 등 인기 월 사용자 만명 위 질주 배송 풀필먼트 등 자체 경쟁력 홈데코 코스메틱 플랫폼 서울경제 여성 패션 전문 플랫폼 중 위 자리 에이블리 대규모 투자금 유치 독자적 경쟁력 확보 카카오 지그재그 수 전 에이블리 제안 이 거절 것 업계 에이블리 추 투 유치 서비스 경쟁력 자신감 때문 해석 일 업계 에이블리 스마일게이트 인베스트먼트 인베스트먼트 등 개사 억 원 규모 투자 유치 이번 투자 시리즈 브릿지 지난해 진행 억 원 규모 시리즈 를 에이블리 억 원 투자금 확보 년 진행 억 원 규모 시리즈 투 에이블리 누적 투자금 억 원 년 셀럽 디자인 옷 판매 플랫폼 콘셉트 시작 에이블리 지난해 연간 거래액 억 원 리 누적 거래액 억 원 기록 속도 성장 이용자 수 국내 주요 패션 플랫폼 중 위 와이즈앱 월 에이블리 월 사용자 수 명 기간 지그재그 명 브랜디 명 를 기록 것 수치 올해 월 비교 때 에이블리 지그재그 브랜디 격차 리 에이블리 주 이용 대 대 고객 유입률 이용층 확산 월 비교해 에이블리 대 이용자 수 업계 관계자 주요 패션 플랫폼 중 이용자 수 경쟁력 확보 상황 카카오 인수 것 추 투자금 유치해 현재 서비스 확장 선택 것 에이블리 주요 경쟁력 상품 과 구매 이력 등 빅데이터 분석 다양 스타일 상품 이용자 취향 기반 연결 인공지능 개인화 추천 서비스 를 월 기준 에이블리 누적 앱 다운로드 수 거 상품 수 억 개 상품 리뷰 수 개 돌파 에이블리 배송 경쟁력 확대 전망 지난해 제로배송 올해 월 어썸배송 상표권 등록 배송 서비스 출시 예 실제 당 배송 비롯 다양한 배송 서비스 방안 모 업체 협의 중 것 이 에이블리 패션 중심 홈데코 핸드메이드 코스메틱 분야 카테고리 확장 개 맞춤형 스타 커머스 플랫폼 으 진화 입점 판매자들 신규 창업 진입 장벽 에이블리 파트너스 도 에이블리 파트너스 누구 에이블리 마켓 개설 상품 판매 수 사입 물류 배송 고객관리 전 과정 대행 풀필먼트 솔루션 이 에이블리 서울 성동구 평 규모 풀필먼트 센터 운영 중 쇼핑몰 운영 판매자들 자신 브랜드 상품 판매 수 오픈마켓 방식 에이블리 셀러스 솔루션 제공 일반 오픈마켓 평균 수수료 수준 에이블리 판매 수수료 를 도입 입점 파트너사 확대 공 백주원 조윤희 기자
2021-05-31,"머스트잇, 카카오인베스트먼트서 100억 투 유치",아시아경제 임춘한 기 온라인 명품 커머스 머스트잇 일 카카오인베스트먼트 케이투인베스트먼트파트너스로부터 억원 규모 브릿지 라운드 투자 유치 지난해 월 억원 규모 시리즈 투자 유치한 이후 약 개월 만 누적 투자금 규모 억원 카카오인베스트먼트 이번 브릿지 라운드 머스트잇 기업 가치 억원 평가 억원 전략적 투자 케이투인베스트먼트파트너스 시리즈 투자 이 이번 투자 억 규모 후속 투자 단행 머스트잇 연평균 이상 성장률 기록 온라인 명품 커머스 업계 유일 년 연속 흑자 기록 지난해 여억원 연간 거래액 달성 시장 점유율 위 자리 올해 월 역대 월 최고 거래액 억원 돌파 머스트잇 이번 투 유치 카카오 파트너십 구축 검토 양사간 협력 모색 계획 명품 버티컬 플랫폼 선두 주자 온라인 명품 시장 내 고객 경험 개선 후발 주자들 격차 확대 이 서비스 고도화 기술 개발 투 마케팅 인재 채용 등 자원 투입 고객 경험 향상 상품 검색 필터링 기능 강화 고객 맞춤형 상품 추천 등 빅데이터 디지털 기반 한층 강화 서비스 제공 계획 김택훈 카카오인베스트먼트 부사장 머스트잇은 마켓플레이스라 효과적 비즈니스 모델 장기간 압도적 성과 증명 며 커머스 본질 가격 상품 경쟁력 플랫폼 점 주목 투자 결심 조용민 머스트잇 대표 이번 투자 현재 고객 경험 향상 초점 적 성장 머스트잇 가치 성과 인정 결과 라 이번 계기 카카오 파트너십 고객 시너지 창출 혁신적 서비스 개발 방안 모색 시장 내 선 기업 온라인 명품 산업 발전 수 것 이 말 임춘한 기자
2021-05-31,"머스트잇, 카카오인베스트먼트 등 130억원 투 유치",온라인 명품 커머스 머스트잇 카카오인베스트먼트 케이투인베스트먼트파트너스로부터 억원 규모 브릿지 라운드 투자 유치 일 지난해 월 억원 규모 시리즈 투자 유치한 이후 약 개월 만 누적 투자금 규모 억원 카카오인베스트먼트 이번 브릿지 라운드 머스트잇 기업 가치 억원 평가 억원 전략적 투자 지난해 월 억원 기업가치 인정 것 불 개월 만 이상 성장 수치 머스트잇 양 성장 기업 가치 반영 평가 케이투인베스트먼트파트너스 시리즈 투자 이 이번 투자 억 규모 후속 투자 단행 이번 투자 시리즈 투 유치 이후 지속 머스트잇 견실 성장세 잠재력 평가 결과 분석 머스트잇 연평균 이상 성장률 기록 온라인 명품 커머스 업계 유일 년 연속 흑자 기록 지난해 여억원 연간 거래액 달성 시장 점유율 위 자리 올해 월 역대 월 최고 거래액 억원 돌파 성과 머스트잇 이번 투 유치 카카오 파트너십 구축 검토 양 사간 협력 모색 계획 자체적 명품 버티컬 플랫폼 선두 주자 온라인 명품 시장 내 고객 경험 개선 후발 주자들 격차 확대 이 서비스 고도화 기술 개발 투 마케팅 인재 채용 등 자원 투입 고객 경험 향상 상품 검색 필터링 기능 강화 고객 맞춤형 상품 추천 등 빅데이터 디지털 기반 한층 강화 서비스 제공 계획 머스트잇 조용민 대표 이번 투자 현재 고객 경험 향상 초점 적 성장 머스트잇 가치 성과 인정 결과 라 이번 계기 카카오 파트너십 고객 시너지 창출 혁신적 서비스 개발 방안 모색 시장 내 선 기업 온라인 명품 산업 발전 수 것 이 말 조윤주 기자
2021-05-31,"유니드컴즈, 루나소프트 카카오싱크 부스터 공동 영업 관련 전략적 사업",좌측 루나소프트 최현진 이사 우측 유니드컴즈 황윤식 이사 양재필 대표 주식회사 유니드컴즈 대표 양재필 전형신 카카오톡 채널 전략 딜러사인 주 루나소프트 대표 박진영 와 전략적 사업 제휴 카카오싱크 부스터 공동 영업 카카오싱크 기반 기술 활용 회원 가입 카카오톡 채널 친구 카카오싱크 부스터 카카오싱크 약점 보완 강점 리 사용자 환경 한 솔루션 킵그로우 서비스 제공 유니드컴즈 개발 상품 고객관계관리 마케팅 자동화 를 간편 사용 수 셀프 서비스 제공 카카오싱크 부스터 고객사들 성과 모니터링 결과 사용 개월 이후 회원가입 비율 최소 이상 증가 카카오 채널 친구 최소 배 배 증가 것 추 비용 지속적 유지보수 수 부분 평가 카카오싱크 부스터 공식 출시한지 개월 만 젝시믹스 육육걸즈 등 포함 천여개 이상 누적 고객사 여 유료 고객사 확보 성과 최근 비회원 구매 고객 초 회원 가입 전환 부스팅 기능 기존 가입 고객들 카카오톡 채널 친구 전환 친구 부스팅 기능 추가 속도 기능 업데이트하 크롬 브라우저 인터넷 익스플로러 사용자들 불편 사용 수 호환성 확장 제공 유니드컴즈 이번 루나소프트와 제휴 카페 메이크샵 등 호스팅 인프라 제휴사들 이커머스 생태계 내 사업 시너지 극대화 수 강력한 밸류 체인 형성 수 유니드컴즈 전형신 대표 카카오 전략 파트너사인 루나소프트와 제휴 원활한 서비스 고객 대응체계 구축 수 것 국내 온라인 쇼핑몰 운영사들 카카오싱크 부스터 사용 그날 서비스 품질 향상 최선 것 이 포부 루나소프트 최현진 이사 카카오싱크 부스터 카카오싱크 솔루션 도입 비용 시간 최소 회원가입 카카오톡 채널 친구 플러스친구 를 획기적 기존 집행 온라인 광고 가입전환 구매전환 극대화 효과 온라인 쇼핑몰 고객자산 형성 유지 증가 필요 솔루션 판단 며 루나소프트 카카오 비즈니스 채널 전략 딜러 카카오 알림톡 상담톡 친구톡 서비스 운영 등 수년간 경험 카카오싱크 부스터 상품 결합 시너지 창출 이커머스 업계 반향 것 라 한편 년 설립 루나소프트 주요 서비스 카카오톡 알림톡 상담톡 네이버톡톡 챗봇 등 패션 이커머스 시장 외 다양한 기업 고객관계관리 솔루션 제공 회사 패션 이커머스 시장 선도 국내 상위 여개 쇼핑몰 중 이상 루나소프트 제공 서비스 사용 정도 기술력 증명 회사 기술력 바탕 소프트뱅크벤처스 프리미어파트너스 시리즈 억원 규모 투자 한경닷컴 뉴스룸
