Date,Open,High,Low,Close,Volume,Change
2020-05-14,43354,45763,42953,45161,1459813,0.03925900356690826
2020-05-15,45861,46463,43353,44458,1524083,-0.015566528641969835
2020-05-18,44458,45261,43856,44358,744533,-0.0022493139592424383
2020-05-19,44456,44657,42952,44157,1308903,-0.004531313404571913
2020-05-20,44859,47066,44558,46465,1773960,0.05226804357180059
2020-05-21,47669,48172,47067,47670,1408737,0.02593349833207781
2020-05-22,47670,49878,47168,49577,1887064,0.040004195510803475
2020-05-25,50379,54193,49978,53792,2653776,0.0850192629646811
2020-05-26,54894,56098,52386,54193,3274293,0.007454640095181375
2020-05-27,52585,53589,51583,52286,2015974,-0.03518904655582822
2020-05-28,51683,54193,50681,53591,2495048,0.024958880006120232
2020-05-29,52887,53689,51683,52888,1645822,-0.013117874269933383
2020-06-01,52888,53390,52086,52989,1083698,0.0019096959612767694
2020-06-02,52688,52788,51584,52086,978846,-0.017041272716978972
2020-06-03,52084,52485,49676,50078,2302391,-0.03855162615674079
2020-06-04,49677,51584,49577,50982,1228950,0.01805183913095565
2020-06-05,50779,50879,49676,50379,1007264,-0.01182770389549248
2020-06-08,50680,51782,49877,51483,1417078,0.021913892693384174
2020-06-09,51283,52086,50681,51082,834862,-0.00778897888623431
2020-06-10,51482,52886,51482,52587,1575452,0.02946243295094164
2020-06-11,52988,53790,52386,53189,1724551,0.011447696198680246
2020-06-12,51482,53790,51382,53390,1688975,0.0037789768561169446
2020-06-15,53390,54394,50179,50681,1549230,-0.05073983892114631
2020-06-16,52285,52787,51783,52788,915456,0.04157376531639079
2020-06-17,52486,53790,51783,52788,1162204,0.0
2020-06-18,53088,53589,52285,52888,981144,0.0018943699325604246
2020-06-19,53689,54091,52586,52888,920126,0.0
2020-06-22,52888,55397,52286,54996,2008656,0.039857812736348475
2020-06-23,55999,58005,55597,56501,2166267,0.027365626591024705
2020-06-24,56500,57001,55196,56702,1081233,0.003557459160014931
2020-06-25,55897,56600,54895,55096,900258,-0.028323515925364195
2020-06-26,56098,56198,53791,55096,812726,0.0
2020-06-29,53990,54894,53389,53691,778818,-0.025500943807172938
2020-06-30,54592,54793,53690,53691,624089,0.0
2020-07-01,54494,55197,53691,54093,578023,0.007487288372352907
2020-07-02,54895,57303,54794,57304,1378545,0.05936073059360725
