time,title,context
2021-05-03,"세틀뱅크, 오프라 결제시장 진출 박차…'KT멤버십 내통장결제' 뚜레쥬",아시아경제 유현석 기 테크핀 기업 세틀뱅크 공동 구축 멤버십 내 간편현금결제 서비스 멤버십 내통장결제 를 전국 뚜레쥬르 매장 탑재 본격적 오프라 가맹점 확대 이번 제휴 멤버십 내통장결제 고객들 전국 뚜레쥬르 오프라 매장 결제 멤버십 할인 원스톱 간편 이용 수 것 회사 측 설명 세틀뱅크 온라인 영화 예매 등 이용 수 멤버십 내통장결제 서비스 오프라 결제 분야 확대 첫 제휴처 전국 약 여 개 편의점 매장 결제 서비스 제공 바 세틀뱅크 내통장결제 이용 고객 편의성 제고 멤버십 제휴 브랜드들 대상 지속적 오프라 제휴 가맹점 확대 방침 세틀뱅크 내통장결제 멤버십 바코드 등 별도 제시 결제 이중 진행 고객 불편함 개선 결제 멤버십 포인트 사용 수 구축 복합결제 서비스 세틀뱅크 멤버십 내통장결제 고객 결제 편의성 개선 뿐 가맹점주 입장 수수료 감 결제 시간 단축해 고객 만족 향상 수 며 앞 내통장결제 서비스 제휴처 오프라 부문 지속 확대 것 이 말 한편 세틀뱅크 씬파일러 비롯 다양한 계층 금융 고객들 편의 제 수 현금 기반 결제 서비스 지속적 월 제로페이 연계 약 여 종 모바 지역화폐 할인 가격 구입 수 제로페이 앱 출시 유현석 기자
2021-05-03,"세틀뱅크, `KT멤버십 내통장결제` 뚜레쥬르 매장 확대",멤버십 할 혜택 결제 원스톱 이용 편의점 이 오프라 가맹점 확대 주력 이데일리 이후섭 기 세틀뱅크 공동 구축 멤버십 내통장결제 를 전국 뚜레쥬르 매장 탑재 본격적 오프라 가맹점 확대 일 이번 제휴 멤버십 내통장결제 고객들 전국 뚜레쥬르 오프라 매장 결제 멤버십 할인 원스톱 간편 이용 수 세틀뱅크 온라인 영화 예매 등 이용 수 멤버십 내통장결제 서비스 오프라 결제 분야 확대 첫 제휴처 전국 약 여 개 편의점 매장 결제 서비스 제공 바 세틀뱅크 내통장결제 이용 고객 편의성 제고 멤버십 제휴 브랜드들 대상 지속적 오프라 제휴 가맹점 확대 방침 내통장결제 멤버십 바코드 등 별도 제시 결제 이중 진행 고객 불편함 개선 결제 멤버십 포인트 사용 수 구축 복합결제 서비스 세틀뱅크 관계자 멤버십 내통장결제 고객 결제 편의성 개선 뿐 가맹점주 입장 수수료 감 결제 시간 단축해 고객 만족 향상 수 며 앞 내통장결제 서비스 제휴처 오프라 부문 지속 확대 것 이 말 세틀뱅크 월 제로페이 연계 약 여 종 모바 지역화폐 할인 가격 구입 수 제로페이 앱 출시 이후섭
2021-05-02,"""폴더블폰 40만원 …KT, 삼성 갤폴드 출고 확 내",삼성전자 서초사옥 딜라이트 샵 전시 갤럭시 폴드 연합뉴스 삼성전자 년 월 출시 첫 폴더블 스마트폰 갤럭시 폴드 의 실구매가 처음 만원 일 통신사업자연합회 운영 단말기 지원금 조회 사이트 스마트초이스 전날 삼성전자 갤럭시 폴드 출고가 기존 원 만원 만원 향 갤럭시 폴드 실구매가 만원 갤럭시 폴드 요금제 구간 동일 만원 공시지원금 책정 공시지원금 년 단말기 사용 조건 통신사 지급 지원금 여기 유통망 추가지원금 공시지원금 원 추가 소비자 원 가격 제품 구입 수 갤럭시 폴드 년 첫 출시 당시 출고가가 원 이례적 초고가로 책정 공시지원금 이통사 최고 요금제 기준 최대 만원 불과 실구매 만원 이후 삼성전자 위 아래 갤럭시 플립 갤럭시 폴드 등 후속 폴더블폰 이통 갤럭시 폴드 출고가 공시지원금 확대 이날 기준 유플러스 갤럭시 폴드 출고 원 원 삼성전자 갤럭시 폴드 출고가 거 재고 소진 삼성전자 폴더블폰 대중화 움직임 일환 풀이 출고 가격 변동 조사 통신사 협의 하 진행 삼성전자 올해 하반기 시작 폴더블폰 대중화 목표 삼성전자 지난달 일 올해 분기 실적 발표 이후 진행 컨퍼런스콜 전화회의 년 폴드 플립 라인업 폴더블 대세화 대중화 적극 추진 며 폴드 대화면 엔터테인먼트 경험 생산성 등 바탕 프리미엄 포지셔닝할 것 이 말 업계 삼성전자 하반기 최대 종 폴더블폰 것 예상 삼성전자 하반기 라인업 구체적 말하긴 고객 소리 를 반영해 전작 대비 제품 기능 폼팩터 개선 것 며 글로벌 파트너 전략적 협업 폴더블 에코시스템 강화 등 제품 완성도 고객 경험 향상 수 준비 한편 삼성전자 필두 글로벌 조사들 폴더블폰 시장 경쟁 지속 심화 것 관측 시장조사업체 카운터포인트리서치 폴더블폰 글로벌 출하량 올해 만대 내년 만대 이상 성장 전망 전체 스마트폰 시장 비중 미비 수준 기존 직사각형 바 형태 차세대 폼팩터 특정 기기형태 로 가능성 자체 인정 얘 중국 제조업체 중심 폴더블폰 조사들 화웨 월 처음 삼성전자 동 한 방식 폴더블폰 안 인폴딩 방식 을 채택 폴더블폰 신제품 메이트 를 샤오미 월 약 만원 공격적 출고가로 책정 미믹스 폴드 를 내놨다 업계 올해 하반기 구글 중국 오포 비보 등 폴더블폰 출시 때 시장 경쟁 치열 것 배성수 기자
2021-05-02,기업고객 혁신 'B2B원팀' 출범,기업고객 디지털전환 혁신 제공 다양 분야 전문 기업 기관 원팀 을 출범 일 를 주축 원팀 은 관련 생태계 구성 기업들 시장 성공 경험 사례 공유 시장 규모 생태계 활성화 힘 원팀 은 상반기 내 컨택센터 아웃소싱 교통 실감미디어 고객 등 개 분과 시작 올해 중 엔터프라이즈 부문 핵심 영역 분과 지속 확대 예정 참여 기업 를 비롯 비롯 컨택센터 솔루션 전문 기업 한솔인티큐브 마인드웨어웍스 다이퀘스트 셀바스 베이글소프트 예스피치 컨택센터 운영 아웃소싱 전문기업 메타넷엠플랫폼 등 분야 전문기업 개 산업군 개 기업 콜센터 서비스 품질 평 기관 도 한국 컨택센터 산업 품질경쟁력 향상 목표 참여 김아름 기자
2021-05-02,"기업 고객 혁신 생태계 만든다""…KT, 'B2B 원팀'",원팀 컨택센터 분과 참여 참여 기업 관계자들 출범식 직후 기념 촬영 왼쪽 강락근 다이퀘스트 대표 오훈용 엔터프라이즈 부문 제안 수행 본부장 이상범 메타넷엠플랫폼 전무 배재한 전무 신수정 엔터프라이즈 부문 신수정 한정진 마인드웨어웍스 이사 안충근 센터장 조규형 한솔인티큐브 이사 박정준 엔터프라이즈 부문 기업고객본부장 사진제공 기업 고객 디지털전환 혁신 제공 다양 분야 전문 기업 기관 원팀 을 출범 일 를 주축 원팀 은 관련 생태계 구성 기업들 시장 성공 경험 사례 공유 시장 규모 기업간거래 생태계 활성화 협력 계획 원팀 올해 상반기 내 컨택센터 아웃소싱 교통 실감미디어 비즈 고객 등 개 분과 시작 엔터프라이즈 부문 핵심 영역 분과 지속 확대 예정 원팀 출범 컨택센터 분과 가동 분과 고객 필요 기반 컨택센터 서비스 시장 확대 중소 솔루션 발굴 컨택센터 플랫폼 신규 모델 개발 상생협력체계 조성 등 협업 관계자 중소 고객 지능화 클라우드 솔루션 컨택센터 개발 구축 협업 포함 말 참여 기업 를 비롯해 한솔인티큐브 마인드웨어웍스 다이퀘스트 셀바스 베이글소프트 예스피치 메타넷엠플랫폼 등 분야 전문기업 개 산업군 개 기업 콜센터 서비스 품질 평 기관 도 한국 컨택센터 산업 품질경쟁력 향상 목표 참여 그간 협력 컨택센터 관련 그룹사 비롯 이번 출범식 참여 전문기업 협력 강화 계획 고객사 연결 시너지 전문기업들 참여 지속적 확대 예정 지난해 월 엔터프라이즈 라 브랜드 론칭하 디지털플랫폼기업 로 변화 선언 바 다양한 영역 기업들 협력 강화 빅데이터 클라우드 플랫폼 역량 기반 시장 발굴 확산 박차 신수정 엔터프라이즈 부문 부문장 원팀 출범 다양 영역 기업들 성장 수 생태계 구축 등 상생 실현 며 고객 삶 변화 분야 산업 혁신 리딩해 대한민국 발전 수 노력 말 배성수 기자
2021-05-02,기업 고객 혁신 생태계 구축 ‘B2B 원팀’ 출범,왼쪽 다이퀘스트 강락근 대표 부문 오훈용 제안 수행 본부장 메타넷엠플랫폼 이상범 전무 배재한 전무 부문 신수정 부문장 마인드웨어웍스 한정진 이사 안충근 센터장 한솔인티큐브 조규형 이사 부문 박정준 기업고객본부장 원팀 출범식 직후 기념 촬영 제공 파이낸셜뉴스 기업고객 디지털전환 혁신 제공 다양 분야 전문 기업 기관 원팀 을 출범 일 를 주축 원팀 은 관련 생태계 구성 기업들 시장 성공 경험 사례 공유 시장 규모 생태계 활성화 힘 원팀 은 상반기 내 컨택센터 아웃소싱 교통 실감미디어 고객 등 개 분과 시작 올해 중 엔터프라이즈 부문 핵심 영역 분과 지속 확대 예정 참여 기업 를 비롯 비롯 컨택센터 솔루션 전문 기업 한솔인티큐브 마인드웨어웍스 다이퀘스트 셀바스 베이글소프트 예스피치 컨택센터 운영 아웃소싱 전문기업 메타넷엠플랫폼 등 분야 전문기업 개 산업군 개 기업 콜센터 서비스 품질 평 기관 도 한국 컨택센터 산업 품질경쟁력 향상 목표 참여 김아름 기자
2021-04-30,그룹 5월 가정의달 혜택…VOD·캠핑 쇼핑,올레 디즈니 등 콘텐츠 할 가족 달 테마관 구성 아시아경제 차민영 기 가정 달 고객들 풍성한 경품 혜택 제공 이벤트 준비 일 키즈 콘텐츠부터 시니어 콘텐츠까지 주문형비디오 콘텐츠 무료 할 혜택 집콕 육아 가족 캠핑 할 쿠폰 제공 쇼핑 혜택 멤버십 할인 제공 콘텐츠 풍성 키즈부터 시니어 월 간 올레 키즈랜드 대표 캐릭터들 올레 키즈랜드 캐릭터 페어 를 진행 일 뽀로 폴리 캐리와친구들 등 어린이들 사랑 종 캐릭터 콘텐츠 여 편 무료 할 가격 수 헬로카봇 를 이용 고객 헬로카봇 뱅 인기 완구 베이비버스 를 이용 고객 베이비버스 직업 그림책 권 추첨 증정 이벤트 진행 영화 소울 을 포함 디즈니 대표작 콘텐츠 할인 특별가 소장 수 이벤트 진행 월 일 일 일 올레 의 이벤트 메뉴 소장용 디즈니 콘텐츠 편 이상 구매 이용 고객들 미키 매트 편 이용 고객들 미키 폴딩 카트 수 콘텐츠 구매 후 화 내 리모컨 응모하 미디어 게임 콘텐츠 망라 게임 수 뷰플레이에서 월 일 어린이날 어린이들 인기 크리에이터 유료 콘텐츠 편 무료 제공 가정 달 맞이 이벤트 관련 자세한 내용 올레 홈페이지 확인 수 의 자사 온라인동영상서비스 시즌 다음달 일 월 가정 달 특집관 테마 편성 키즈부터 시니어 전 세대 인기 콘텐츠들 준비 시즌 앱 로그인 누구 무료 이용 가능 시즌 무료 영화 개 추 제공 대상 영화 날씨 아이 히트맨 강철비 정상회담 확장판 나 사랑 나 신부 뿐 가슴 가족 영화 테마관 이외 키즈 인기 캐릭터 아기상어 신비 아파트 헬로 카봇 등 키즈 인기 캐릭터 를 제공 어른 정주행 코스 해리포터 고질라 스파이더맨 마블 등 콘텐츠 서비스 가족 행사 이달 일 다음달 일 기가지니 이용 고객 대상 오은영 박사 기가지 우리아이 칭찬 이벤트 를 진행 이벤트 가정 달 아이들 칭찬 오은영 박사 강연 기가지니 이용 고객 육아 고민 취지 기획 이벤트 기가지니 핑크퐁 칭찬 우리아이 칭찬 칭찬도장 적립 칭찬도장 개 이상 뒤 이벤트 응모하 추첨 오은영 박사 라이브 강연 참여권 명 을 제공 기가지니 핑크퐁 칭찬 서비스 아이 행동 인기 캐릭터 핑크퐁 아이 이름 행동 칭찬 서비스 예 기가지니에 아이 마스크 ㅇㅇ아 외출 때 마스크 최고 최고 라 이야기 식 기가지니 앱 응모 가능 칭찬도장 당첨 확률 칭찬도장 명 오은영 박사 질문 기회 제공 집콕 육아 가족들 키즈랜드 캠핑 을 진행 키즈랜드 캠핑 국내 최다 규모 전국 캠핑장 제휴 대부 등 전국 개 인기 캠핑장 진행 월 명 이상 예약 인기 올레 프라 키즈랜드 요금제 프라 키즈랜드팩 이용 고객 멤버십 무료 일반 고객 박 기준 포인트 이용 수 월 일 평 상시 진행 월 예약고객 추첨 코베아 네스트 년형 리빌쉘텐트 제로웨이스트 피크닉세트 스타벅스 쿠폰 등 증정 자세한 내용 키즈랜드 캠핑 웹사이트 확인 수 쇼핑 혜택 먹거리 반려동물 키즈폰 멤버십에서 가정 달 월 한달 가족 수 혜택 추가 가정 달 퀴즈 이벤트 를 마련 다음달 일 일 온라인 쇼핑몰 프레시몰 원 할인 이마트 원 할 혜택 제공 반려동물 혜택 마련 반려동물용품 전문 온라인몰 펫프렌즈 어바웃펫 을 이용 경우 구매 조건 만원 쿠폰 제공 봄철 차량 사용 것 대비해 오아시스 차량 정비 혜택 에어컨 터 할 엔진오일 에어컨 가스 할 도 마련 이외 테마파크 아쿠아리움 이용권 최대 할 제공 멤버십 앱 닷컴 진행 가정 달 맞이 퀴즈 이벤트 참여 고객들 추첨 엠큐브 자석 큐브블럭 명 을 수 신비 키즈폰 구매 고객들 경품 이벤트 다음달 일 진행 신비 키즈폰 구매 누구 참여 수 경품 추첨 이벤트 사용 후 개 소셜네트워크서비스 작성 참여 후 이벤트 준비 경품이벤트 신비아파트 보드 신비 캐릭터 손 세정제 후드 담요 구성 신비 패키지 명 를 후 이벤트 신비 자전거 명 신비 완구 명 를 제공 신비 키즈폰 올레 키즈랜드 안심박스 신비아파트 캐릭터 사진 수 전용 앱 롤키 앱 기본 탑재 쇼핑 월 가정 달 맞이 친애 그대 프로모션 월 달 동안 진행 쇼핑 모바 라이브 진행 라이브 상품 구매 인증 라이브 방송 중 모바 화 하단 공유하기 를 클릭해 친구 공유 인증 명 추첨 고철남 홍삼스틱 을 증정 쇼핑 월 일 모바 온라인 회원 대상 구매금액 횟수 패밀리 실버 골드 등 개 멤버십 등급 부 신규 가입 고객 할 혜택 제공 실버 등급 이상 고객 최대 할인쿠폰 원권 쿠폰 증정 플레이 를 영화 시리즈 등 여편 콘텐츠 무료 이용 혜택 제공 예정 부모님 핸드폰 선물 방문배송 서비스 공식 온라인 쇼핑몰 샵에서 어버이날 부모님 핸드폰 선물 수 방문배송 을 운영 방문배송 공식 대리점 고객 곳 핸드폰 배송 필름 부착 데이터 이전 전문 케어 서비스 경품 이벤트 내달 일 진행 샵 스마트폰 개통 누구 피크닉 충전기 로지텍 블루투스 키보드 무선 이어폰 라온 무선충전기 중 개 선택 프리미엄 혜택 수 골드바 정관장 에브리타 신비 럭키박스 등 선물 총 명 추첨 증정 텔레캅 다음달 일 일 가정 달 기가아이즈 우리 가족 이벤트 진행 월 중 홈페이지 텔레캅 보안 서비스 가입 상담 문 후 서비스 개시 고객들 중 추첨 한우세트 영화 관람권 등 기프티쇼 증정 차민영 기자
2021-04-29,유플러스 등 ‘5G 융합서비스 모델’ 구축,과기부 억 투자해 개 분야 구축 공군 관제서비스 항만 근무환경 개 등 서울경제 유플러스 등 국내 이동통신사업자 등 참여 융합서비스 발굴 사업 격 진행 과학기술정보통신부 한국지능정보사회진흥원 과 융합서비스 발굴 공공선 적용 사업 시작 일 이번 사업 모바 에지 컴퓨팅 을 기반 를 활용 다양한 융합서비스 모델 공공부문 구축 것 통신망 데이터 중앙 전송 서비스 현장 처리 기술 네트워크 적용 커넥티드 스마트 팩토리 특화 융합서비스 원활 지난해 내년 억 원 예산 투입 올해 억 원 투자 올해 국방 스마트캠퍼스 유플러스 항만 스마트시티 스마트산단 대전테크노파크 헬스케어 등 주관해 개 분야 융합서비스 모델 구축 연말 구축 완료 내년 정식 운영 계획 자율주행로봇 전주시 전주방송공원 앞 설치 스테이션 무인순찰 시작 제공 유플러스 공군 서산비행단 내 자율주행 차량 실시간 관제 서비스 제공 해군사관학교 가상학습 콘텐츠 원격강 등 디지털 가상 교육 환경 구현 유플러스 항만 근무환경 개선 크레인 원격제어 물류창고 자동화 지원 자율주행로봇 등 공원 산업공단 인근 주거지역 환경 관리 모델 구축 이외 대전도시철도공사 스마트쿱 스위트케이 엔텔스 팀그릿 이루온 등 기반 융합서비스 모델 구현 활용 수 개방형 플랫폼 솔루션 개발 실증 기술 상용화 추진 이승원 과기정통부 정보통신산업정책관 창출 융합서비스 경제 사회 전반 디지털 전환 촉진 올해 융합생태계 조성 원년 것 이 전 후방 산업 동반 성장 융합생태계 조성 수 정책적 역량 집중 것 이 말 노현섭 기자
2021-04-29,"‘국방’, LGU+ ‘항만’…5G 융합서비스 모델 연내 구축",과기부 주관 사업 융합서비스 공공부문 적용 직원들 통신 센터 시스템 점검 제공 헤럴드경제 정태 기 세대 네트워크 활용 국방 항만 등 다양한 분야 융복합 서비스 모델 개발 사업 격 추진 과학기술정보통신부 한국지능정보사회진흥원 과 융합서비스 발굴 공공선 적용 사업 시작 일 사업 모바 에지 컴퓨팅 기반 를 활용 다양한 융합 서비스 모델 공공부문 구축 것 년 억원 투입 가운데 올해 억원 투자 이용자 데이터 중앙 서버 물리적 거리 곳 처리 기술 네트워크 적용 커넥티드 스마트 팩토리처럼 초저지연 수 서비스 원활 올해 국방 스마트캠퍼스 유플러스 항만 스마트시티 스마트산단 대전테크노파크 헬스케어 등 주관해 개 분야 융합서비스 모델 구축 유플러스 직원 충남 당진 위치한 공장 기업전용망 서비스 점검 유플러스 제공 사업자 연말 해당 모델 구축 완료 년 정식 운영 계획 대전도시철도공사 스마트쿱 스위트케이 엔텔스 팀그릿 이루온 등 업체 기반 융합서비스 모델 구현 활용 수 개방형 플랫폼 솔루션 개발 실증 기술 상용화 추진 이승원 과기정통부 정보통신산업정책관 다양 융합서비스 발굴 공공부문 선 적용 우리 모델 글로벌 레퍼런스 수 노력 며 전 후방 산업 동반 성장 융합생태계 조성 수 정책적 역량 집중 말
2021-04-29,“윤여정 목소리 '디지코' 알린다” 광고 공개,디지코 변화 신규 광고 편 선공개 배우 윤여정 내레이션 참여 아시아경제 구은모 기 중요 거 은행 데이터 보관 내 데이터 내 나라 클라우드 원더풀 원더풀 디지털 플랫폼 기업 디지코 의 핵심 인공지능 빅데이터 클라우드 기술 서비스 광고 두 편 공개 일 이번 광고 영화 미나리 로 한국인 최초 아카데미 연기상 수상 배우 윤여정씨 목소리 연기 이번 광고 실제 현장 구현 의 의 클라우드 기술 내용 구성 두 광고 배우 윤여정씨 내레이션 클라우드 기술 대화 설명 지난해 문 용산 데이터센터 배경 용산 센터편 광고 대한민국 국민 소중 데이터 기술 해외 서버 국내 안전 대구 메리어트 호텔 실제 로봇 주인공 로봇편 광고 호텔로봇 고객 요청 사항 신속 정확 제공 상황 촬영 지난달 디지털용 초 영상 시리즈 두 영상 편 유튜브 공개 조회수 만회 이상 기록 형식 마케팅기법 관심 김형욱 미래가치추진실장 이번 광고 국민 삶 편리 노력 디지코 의 진정성 의 클라우드 로봇 서비스 고객 다양 가치 부 것 말 구은모 기자
