time,title,context,date
,카카오엔터 “내년 뉴욕증시 상장 검토 바 없어”,시점 등 구체적 내용 파이낸셜뉴스 카카오엔터테인먼트 카카오엔터 일각 제기 내년 뉴욕 증시 상장설 과 관련 검토 바 일 카카오엔터테인먼트 이진수 카카오엔터 대표 외신 인터뷰하 과정 거론 내년 미국 기업공개 선 그 것 카카오엔터 관계자 를 준비 중 시 장소 미정 이 업계 일각 글로벌 마블 등 스토리 엔터테인먼트사 지향 카카오엔터 사업 특성상 쿠팡 해외 상장 가능성 배제 수 견해 지배적 카카오엔터테인먼트 김미희 기자,2021-04-12
,몸집 속 내 카카오엔터 美 상장 검토,연내 국내 상장 계획 쿠팡 성공사례 분위기 반전 자금조달 유리한 곳 선택 것 북미 웹툰 수 등 공격 투 음원유통 멜론 합병 가능성 서울경제 기업공개 를 준비 카카오 엔터테인먼트 카카오엔터 내년 초 국내 미국 증시 상장 검토 쿠팡 미국 증시 상장 성공 글로벌 사업 벌 카카오엔터 한국 뿐 해외 증시 상장 관심 것 카카오엔터 북미 웹툰 웹소설 플랫폼 수 추진 북미 시장 진출 만큼 현지 증시 상장 가능 시나리오 것 업계 분석 이진수 카카오엔터테인먼트 공동대표 사진제공 카카오엔터테인먼트 이진수 카카오엔터 대표 일 현지 시간 블룸버그통신과 인터뷰 카카오엔터 한국 미국 상장 가능성 검토 블룸버그통신 쿠팡 미국 상장 억 달러 조달 것 카카오엔터 미국 증시 상장 검토 영향 대표 쿠팡 상장 카카오엔터 글로벌 잠재력 한국 기업 평가 수 희망 며 년 뒤 기업공개 계획하 카카오엔터 카카오 대표 콘텐츠 계열사 웹툰 웹소설 플랫폼 카카오페이지 음악 영상 엔터테인먼트 콘텐츠 제작 유통 카카오 합병 월 출범 매출 조 원 내외 콘텐츠 기틀 스토리 지식재산권 부터 영상 제작능력 연예 기획사 카카오 콘텐츠 제작 유통 회사 카카오엔터 그동안 연내 국내 증시 상장하 계획 쿠팡 성공사례 등장 분위기 반전 를 개월 가량 자금 조달 수 사업 도움 증시 곳 지 저울질 것 카카오엔터 상장 몸집 속도 대표 블룸버그 인터뷰 카카오엔터 목표 언어 나라 웹툰 플랫폼 구축 것 이 올해 조 원 국내외 자산 계획 이 적극적 인수합병 을 글로벌 영토 확장 것 실제 카카오엔터 억 원 가량 자금 투자 북미 웹소설 플랫폼 래디쉬 수 시도 기존 지분율 이상 북미 웹툰 플랫폼 파스미디어 지분 추 인수 방안 추진 일본 사업 활발 카카오엔터 카카오재팬 운영 일본 위 웹툰 웹소설 플랫폼 픽코마 국산 콘텐츠 공급 카카오 일본 최대 애니메이션 제작사 카도카 지분 를 보유 카카오엔터 카카오 본사 멜론 합병 가능성 카카오 멜론 음원 유통 뿐 이진수 카카오엔터 대표 분할 멜론컴퍼니 대표 만큼 합병 가능성 멜론 지난해 매출 억 원 시장 카카오엔터 멜론 합병 단번 기업가치 가량 수 것 업계 관계자 카카오엔터 웹툰 웹소설 음원 영상 사업 국내외 시장 사업 벌 며 논의 웹툰 웹소설 플랫폼 수 북미 시장 사업 규모 만큼 미국 증시 상장 이익 말 윤민혁 기 박성규 기자,2021-04-12
,기업가치 20조원 카카오엔터 뉴욕증시,이진수 카카오엔터 대표 년 기업공개 준비 중 업계 기업가치 조원 추정 주관사 선정 상장 준비 중 카카오 콘텐츠 자회사 카카오엔터테인먼트 국내 뉴욕증시 상장 가능성 열어놨다 카카오엔터 쿠팡 상장 후 기업가치 평 상승 기대감 반영 경쟁사 네이버웹툰 의식 행보 해석도 이진수 카카오엔터 대표 일 블룸버그 인터뷰 쿠팡 뉴욕 상장 한국 기업 글로벌 가치 평가 예전 며 년 내 기업공개 를 목표 준비 대표 카카오엔터 한국 상장 초점 쿠팡 우버 상장 이후 규모 억달러 약 조원 를 미국 뉴욕증시 조달 말 그 앞 상장 준비 한국 미국 등 다양한 시장 과정 것 이 카카오엔터 지난달 카카오페이지 카카오 합병 탄생 회사 웹툰 웹소설 원천스토리 지식재산 부터 음악 영상 디지털 공연 등 콘텐츠 기획 제작 글로벌 플랫폼 네트워크 엔터테인먼트 글로벌 엔터 산업 경쟁력 결정 합병 카카오엔터 글로벌 웹툰 플랫폼 파스미디어 웹소설 플랫폼 래디쉬 경영권 획득 지난달 공식 출범 카카오엔터 기업가치 조원 것 추정 여기 분사한 멜론 가치 조원 이 것 예측 네이버웹툰 상장 준비 구체적 네이버 북미 왓패드 인수 사업 확장 만큼 뉴욕증시 상장 업계 전망 네이버 전 세계 월 이용자 만명 돌파 자체 웹툰 플랫폼 북미 시장 위 네이버 카카오 글로벌 시장 해외 웹툰 업체 경영권 수 플랫폼 경쟁 격화 글로벌 회계컨설팅 회사 지난해 미국 만화시장 규모 약 조 억원 것 추산 애니메이션 드라마 영화 발생 수익 제외 수치 카카오엔터 관계자 국내 증시 뉴욕증시 상장 검토 수 수준 뿐 해외 상장 계획 것 이동 기 진영화 기자,2021-04-12
,"시그널 카카오엔터 美증시 상장 검토···""20조 원 기업가치 기",이진수 카카오엔터 대표 저 의 쿠팡 것 서울경제 카카오엔터테인먼트 쿠팡 뒤 이 내년 미국 증시 상장 검토 다양 콘텐츠 글로벌 성장 잠재력 보유 만큼 조 원 이상 기업 가치 인정 수 것 기대 일 블룸버그 이진수 카카오엔터테인먼트 대표 쿠팡 성공 사례 카카오엔터 글로벌 잠재력 기업들 평가 수 것 것 이 내년 미국 증시 상장 뉴욕 등 시장 조사 기업가치 최대 억 한화 약 조 원 를 것 카카오엔터 카카오그룹 콘텐츠 자회사 초 웹콘텐츠 플랫폼 카카오페이지 연예기획 음원사업 카카오 합병 출범 대표 올해 국내외 시장 조 원 억 달러 규모 투자 계획 카카오엔터 북미 웹툰 플랫폼 파스미디어 경영권 수 웹소설 플랫폼 래디쉬 수 추진 등 북미 시장 사업 영역 지난달 전자상거래기업 쿠팡 조 원 기업가치 인정 미국 뉴욕 증시 성공적 상장한 이후 마켓컬리 토스 등 국내 대표적 스타트업 회사들 미국 상장 추진 대표 쿠팡 성공 사례 글로벌 잠재력 기업들 해외 시장 평가 수 것 것 이 카카오 웹툰 플랫폼 전 세계 구축 것 이 한편 카카오엔터 가능성 미국 증시 상장 확정 상황 라 김민경 기 김민석 기자,2021-04-12
,카카오 김일두 팀장 입사 10년 대표 명함,자회사 카카오브레인 대표 선 카카오 인공지능 연구 자회사 카카오브레인 딥러닝 알고리즘 연구 를 김일두 팀장 신 대표 세 로 선임 일 김일두 신 대표 년 카카오 소프트웨어 엔지니어 입사 뒤 약 년 관련 다양한 서비스 연구개발 을 년 카카오브레인 딥러닝 알고리즘 연구팀 엔지니어 합류 컴퓨터 비전 데이터 증강 기술 의료진단 등 다양한 기술 분야 담당 년 권위 국제 학회 논문 여 편 등재 국제 머신러닝 기계학습 대회 수상 대표적 연구 수상 사례 신경정보처리시스템 의료진단 분야 김미희 기자,2021-04-12
,"'10년차 엔지니어 출신 김일두, 카카오 AI연구 카카오브레",신 대표 김일두 딥러닝 알고리즘 연구팀장 카카오브레인 시즌 원년 연구 속도감 추진 사업 성장 공격적 것 김일두 카카오브레인 신 대표 제공 카카오 서울경제 카카오 일 인공지능 개발사 카카오브레인 신 대표이사 대 김일두 딥러닝 알고리즘 연구팀장 선임 신 대표 년 생 카카오 소프트웨어 엔지니어 입사 올해 년차 카카오 개발사 대 대표 선임 파격적 인사 단행 것 신 대표 분야 엔지니어 역량 연구자 역량 사업 성장 적임자 판단 때문 올해 카카오브레인 도약 시작 카카오브레인 시즌 의 원년 정의해 원천 기술 연구 리 사회적 영향력 서비스 전개 방침 신 대표 인생 일 이 카카오브레인만 수 선행 연구 기술 개발 진행 년 뒤 아이들 말 말 신 대표 년 카카오 입사 년 관련 다양한 서비스 연구 개발 경험 년 딥러닝 알고리즘 연구팀 엔지니어 합류 컴퓨터 비전 데이터 증강기술 의료진단 등 연구 연구 개발 년 권위 국제 학회 여편 논문 등재 국제 기계학습 분야 대회 여덟 차례 수상 지난해 신경정보처리시스템학회 뉴립스 최신 데이터 증강 기술 연구 학습 연산 시간 이상 줄 결과 연구자들 사이 호평 정혜진 기 정다 기자,2021-04-12
,카카오 88년생 대표 뽑았다…AI 연구자회사,카카오브레인 김일두 신임대표 선 나 세상 것 것 김일두 카카오브레인 신 대표 사진제공 카카오 카카오 인공지능 연구 자회사 카카오브레인 수장 입사 년차 김일두 팀장 임명 일 카카오 이날 카카오브레인 딥러닝 알고리즘 연구팀 팀장 신 대표 선임 공시 년생 올해 세 대표 공학 학사 연세대 공학 석사 학위 뒤 년 카카오 소프트웨어 엔지니어 입사 이후 년 관련 다양한 서비스 개발 대표 년 카카오브레인 딥러닝 알고리즘 연구팀 합류 컴퓨터 비전 데이터 증강 기술 의료 등 기술 연구 대표 년 국제 학회 여편 논문 등재 국제 기계학습 대회 수상 대표적 지난해 신경정보처리시스템학회 뉴립스 학습 연산 시간 이상 줄 최신 데이터 증강 기술 발표 폐암 조 흉부 컴퓨터 단층 촬영 영상 분류 알고리즘 추천 폐 결절 데이터베이스 그랜드 챌린지 우승 카카오 측은 대표 분야 엔지니어 역량 리서치 역량 겸비 이 바탕 카카오브레인 연구 속도감 추진 사업 성장 공격적 예정 이 설명 대표 카카오브레인 로 불가능한영역 적극적 도전 스타트업 마인드 카카오브레인만 수 선행 연구 기술 개발 진행 나 세상 포부 다음 김일두 신 대표 프로필 년생 고려대학교 공학 학사 연세대학교 공학 석사 카카오 카카오브레인 딥러닝 알고리즘 연구팀장 카카오브레인 김승한 매경닷컴 기자,2021-04-12
,88년생 팀장 입사 10년 만 카카오브레인 신 대표,김일두 신 대표 연구 사업 공격적 전개 김일두 카카오브레인 대표 카카오 제공 카카오 인공지능 연구 자회사 카카오브레인 딥러닝 알고리즘 연구팀 김일두 팀장 신 대표 선임 일 년생 고려대 공학 학사 연세대 공학 석사 학위 신 대표 년 카카오 소프트웨어 엔지니어 입사 약 년 관련 다양한 서비스 연구 개발 경험 그 년 카카오브레인 딥러닝 알고리즘 연구팀 엔지니어 합류 컴퓨터 비전 데이터 증강 기술 의료진단 등 다양한 기술 분야 담당 연구 개발 담당 신 대표 년 다수 국제 학회 여편 논문 등재 국제 기계학습 대회 수상 바 대표적 연구 수상 사례 신경정보처리시스템 의료진단 분야 해 신경정보처리시스템학회 뉴립스 최신 데이터 증강 기술 연구 학습 연산 시간 이상 줄 다수 분야연구자 호평 카카오 설명 지난해 폐암 조 흉부 컴퓨터 단층 촬영 영상 분류 알고리즘 추천 우승 카카오 신 대표 연구 사업 성장 공격적 예정 인지능력 등 원천 기술 연구 확대 사회적 영향력 서비스 예정 강조 신 대표 전 세계 기술 상상 이상 진화 며 로 불가능 영역 도전 스타트업 마인드 선행 연구 기술 개발 나 세상 데 라 말 약력 년 출생 년 고려대학교 공학 학사 년 연세대학교 공학 석사 년 년 카카오 년 년 카카오브레인 딥러닝 알고리즘 연구팀장 년 카카오브레인 강경주 한경닷컴 기자,2021-04-12
,"88년생 김일두, 카카오 사업",카카오브레인 김일두 신임대표 선 원천기술 확대 일상 속 서비스 파이낸셜뉴스 카카오 인공지능 연구 자회사 카카오브레인 딥러닝 알고리즘 연구 를 김일두 팀장 신 대표 세 로 선임 일 카카오브레인 김일두 신 대표 카카오 제공 김일두 신 대표 년 카카오 소프트웨어 엔지니어 입사 뒤 약 년 관련 다양한 서비스 연구개발 을 년 카카오브레인 딥러닝 알고리즘 연구팀 엔지니어 합류 컴퓨터 비전 데이터 증강 기술 의료진단 등 다양한 기술 분야 담당 년 권위 국제 학회 논문 여 편 등재 국제 머신러닝 기계학습 대회 수상 대표적 연구 수상 사례 신경정보처리시스템 의료진단 분야 지난해 신경정보처리시스템학회 뉴립스 최신 데이터 증강기술 연구 학습 연산시간 이상 줄 호평 것 카카오 올해 카카오브레인 시즌 로 정의 인지능력 등 원천 기술 연구 확대 사회적 영향력 서비스 전개 목표 대표 전 세계 기술 속 우리 상상 것 이상 진화 며 카카오브레인 로 불가능 영역 적극적 도전 스타트업 마인드 선행 연구 기술 개발 진행 나 세상 포부 인공지능 카카오브레인 김미희 기자,2021-04-12
,카카오·빅히트…2분기 실적개선株 눈,코 실적 기저효과 반영 반도체 건강관리 미디어 분기 대비 이익증가율 듯 삼성전자 하이닉스 관심 연합뉴스 미국 증시 실적 장세 진입 가운데 분기 실적 기대 반영 분석 코 로 분기 실적 기저효과 가격 반영 만큼 직전 분기 대비 분기 실적 종목 주목 만 조언 은행 에너지 업종 분기 지수 상승 주역 은행 에너지 업종 주 상승세 주춤 일 하나금융투자 은행 에너지 업종 월 대비 월 주 상승률 였던 데 월 대비 월 일 주 상승률 였다 대 기간 소프트웨어 미디어 반도체 장비 업종 지수 상승세 은행 에너지 금리 국제유가 상승 코 로 기저효과 지난해 대비 올해 실적 개선 극 것 예상 분야 지난해 하반기 형성 주가 상당 부분 반영 분석 소프트웨어 미디어 반도체 장비 업종 코 기저효과 의존 분기 이익 모멘텀 분명 업종들이 소프트웨어 미디어 분기 전 분기 대비 이익 감소 분기 분기 대비 이익 증가 업종 분기 전 분기 대비 이익 증가 업종 반도체 장비 분기 분기 이익 증가 것 예상 전 분기 대비 이익 증 주목 전 분기 대비 이익 모멘텀 주목 투 전략 한국 증시 적용 수 코 로 실적 기저효과 구간 분석 때문 의 전년 동기 대비 주당순이익 증가율 올해 분기 정점 것 예상 유가증권시장 전년 동기 대비 영업이익 증가율 분기 고점 것 추정 이재 하나금융투 투자전략팀장 전년 대비 올해 실적 개선 기대 주가 반영 점 올해 전 분기 대비 전 반기 대비 실적 극 개선 이익 모멘텀 중요 변수 수 설명 전 분기 비교 이익 증가율 것 업종 반도체 소프트웨어 건강관리 자동차 미디어 교육 등 삼성전자 하이닉스 대표적 김선우 메리츠증권 연구원 분기 삼성전자 잠정 실적 발표 후 삼성전자 본격적 이익 증 사이클 진입 며 분기 스마트폰 사업 일시적 실적 둔화 수 메모리반도체 상승 사이클 덕분 전체 실적 분기 지속적 개선 것 이 전망 이익 구조적 업종 카카오 지난해 분기 연속 영업이익 올해 영업이익 분기 것 전망 이동륜 증권 연구원 유료 콘텐츠 핀테크 엔터테인먼트 모빌리티 등 다양한 분야 공격적 투자가 성과 구간 이 년 다수 자회사 기업공개 점 실적 성장 상장 모멘텀 종목 이 평가 저스틴 비버 아리아 그란데 소속사 이타카홀딩스 수 목표주가 줄 상향 빅히트엔터테인먼트 올해 분기별 영업이익 점진적 것 종목 남효지 투자증권 연구원 인수 이타카홀딩스 올해 실적 부분 것 이 올해 하반기 톱티 아티스트들 위버스 입점 수 효과 것 이 고재연 기자,2021-04-12
